包含以下主要诊断：
A27.900x004 钩端螺旋体病肺出血型
B67.905 胸膜棘球蚴病
B67.906 纵隔棘球蚴病
B69.800x008 胸膜包囊虫症
D17.400x002 胸膜脂肪瘤
D17.400x003 胸腔脂肪瘤
D17.700x019 气管脂肪瘤
D17.700x023 支气管脂肪瘤
D18.000x800 肺血管瘤
D18.000x814 纵隔血管瘤
D18.000x857 胸锁乳突肌血管瘤
D18.100x015 纵隔淋巴管瘤
D18.100x025 胸淋巴管瘤
D18.100x026 胸腺淋巴管瘤
D38.102 气管动态未定肿瘤
D38.104 支气管动态未定肿瘤
D48.115 胸壁结缔组织动态未定肿瘤
E83.104+J99.8* 肺含铁血黄素沉积症
E84.001 肺囊性纤维化
E84.901 胰腺囊性纤维变性
E85.404 淀粉样变支气管损害
E85.407 淀粉样变气管损害
E89.802 后天性胸腺缺失
I00.x00x007+J17.8* 风湿性肺炎
I88.106 慢性肺门淋巴结炎
I88.107 慢性纵隔淋巴结炎
I88.900x002 肺门淋巴结炎
I88.900x008 纵隔淋巴结炎
I89.000x016 胸壁淋巴水肿
I89.000x027 胸导管颈段梗阻
I89.000x028 胸导管胸段梗阻
I89.000x029 肺淋巴管扩张症
I89.003 胸导管梗阻
I89.800x016 原发性乳糜胸
I89.800x017 继发性乳糜胸
I89.800x018 肺淋巴回流淤滞
I89.800x021 纵隔乳糜囊肿
I89.800x023 胸壁乳糜囊肿
I89.804 胸导管断裂
I89.807 乳糜胸
J39.807 气管受压
J39.808 气管软化症
J39.810 气管息肉
J66.800 有机粉尘引起的气道疾病，其他特指的
J68.201 化学性上呼吸道炎症
J68.301 反应性气道功能障碍综合征
J68.400 化学制剂、气体、烟雾和蒸气引起的慢性~~呼吸性情况
J68.800 化学制剂、气体、烟雾和蒸气引起的其他~~呼吸性情况
J68.900 化学制剂、气体、烟雾和蒸气引起的呼吸~~性情况
J95.002 气管造口感染
J95.401 吸入性麻醉引起的化学性肺炎
J95.800x009 主支气管吻合口狭窄
J95.800x021 手术后成人呼吸窘迫综合症
