包含以下主要诊断：
A28.100 猫抓病
A44.100 皮肤和黏膜皮肤的巴尔通体病
A51.300x002 二期早发梅毒疹
A51.300x003 二期晚发梅毒疹
A51.300x004 二期复发梅毒疹
A51.300x005 二期梅毒湿疣
A51.301 皮肤二期梅毒
A51.302 黏膜二期梅毒
A51.303 皮肤梅毒
A51.304 外阴扁平湿疣
A63.000 肛门生殖器(性病性)疣
A63.001 肛门生殖器尖锐湿疣
B07.x00x006 丝状疣
B07.x00x007 吹号手疣
B07.x00x008 镶嵌疣
B07.x00x009 咽喉疣
B07.x00x010 掌疣
B07.x00x011 掌跖疣
B07.x01 扁平疣
B07.x03 寻常疣
B07.x04 疣
B07.x05 指状疣
B08.100 传染性软疣
B08.200 猝发疹[第六病]
B08.200x002 幼儿急疹
B08.300 传染性红斑[第五病]
B35.000 须癣和头癣
B35.000x001 癣菌性须疮
B35.001 头癣
B35.002 须癣
B35.003 脓癣
B35.100 甲癣
B35.100x002 皮肤癣菌性甲床炎
B35.200 手癣
B35.300 脚癣
B35.400 体癣
B35.401 钱癣
B35.500 叠瓦癣
B35.600 股癣
B35.600x002 腹股沟癣
B35.800x002 肉芽肿性皮肤癣菌病
B35.800x003 面癣
B35.800x004 腋毛癣
B35.801 播散性皮真菌病
B35.901 黄癣
B36.000x001 花斑癣[花斑糠疹]
B36.000x003 马拉色菌毛囊炎
B36.001 糠秕孢子性毛囊炎
B36.100 黑癣
B36.100x001 掌肌微黑角膜霉菌病
B36.100x002 黑色小孢子菌病
B36.100x003 黑糠疹
B36.100x004 掌黑癣
B36.200 白癣
B36.300 黑色发结节病
B36.300x002 毛结节菌病
B36.901 皮肤真菌感染
B37.200x003 肢端念珠菌病
B37.201 念珠菌性指甲炎
B37.202 念珠菌性趾甲炎
B37.203 念珠菌性甲沟炎
B37.204 念珠菌性甲床炎
B37.205 皮肤念珠菌病
B38.300 皮肤球孢子菌病
B40.300 皮肤芽生菌病
B40.301+L99.8* 芽生菌性皮炎
