包含以下主要诊断：
D06.000 宫颈内膜原位癌
D06.100 宫颈外膜原位癌
D06.700 宫颈其他部位的原位癌
D06.900 宫颈的原位癌
D06.900x002 子宫颈上皮内瘤变III级[CINIII 级]
D07.000 子宫内膜原位癌
D07.100 外阴原位癌
D07.100x002 外阴上皮内瘤变 III 级[VINIII 级]
D07.200 阴道原位癌
D07.200x002 阴道上皮内瘤变 III 级[VAINIII 级]
D07.301 卵巢原位癌
D07.302 输卵管原位癌
D07.303 子宫体原位癌
D07.304 女性生殖器官原位癌
D17.300x003 阴道脂肪瘤
D17.700x024 子宫体脂肪瘤
D18.000x817 女性生殖器血管瘤
D18.000x824 小阴唇血管瘤
D18.000x853 卵巢血管瘤
D18.000x854 附件血管瘤
D18.000x856 宫颈血管瘤
D25.000 子宫黏膜下平滑肌瘤
D25.000x002 子宫颈粘膜下平滑肌瘤
D25.100x001 子宫肌壁间平滑肌瘤
D25.100x002 子宫颈壁内平滑肌瘤
D25.200 子宫浆膜下层平滑肌瘤
D25.200x002 阔韧带平滑肌瘤
D25.900 子宫平滑肌瘤
D25.900x001 子宫多发性平滑肌瘤
D25.901 宫颈平滑肌瘤
D26.000 宫颈良性肿瘤
D26.100 子宫体良性肿瘤
D26.100x002 子宫腺肌瘤
D26.701 胎盘良性肿瘤
D26.702 胎膜良性肿瘤
D26.900 子宫良性肿瘤
D27.x00 卵巢良性肿瘤
D27.x01 梅格斯综合征
D28.000 外阴良性肿瘤
D28.000x002 阴唇良性肿瘤
D28.100 阴道良性肿瘤
D28.200x002 卵巢冠良性肿瘤
D28.200x003 输卵管良性肿瘤
D28.201 子宫韧带良性肿瘤
D28.202 子宫阔韧带良性肿瘤
D28.203 子宫圆韧带良性肿瘤
D28.204 子宫主韧带良性肿瘤
D28.205 骶子宫韧带良性肿瘤
D28.206 卵巢固有韧带良性肿瘤
D28.700x001 阴蒂良性肿瘤
D28.900 女性生殖器官良性肿瘤
D39.001 子宫肿瘤
D39.002 子宫体动态未定肿瘤
D39.003 子宫体肿瘤
D39.004 子宫颈动态未定肿瘤
D39.005 子宫颈肿瘤
D39.100x001 卵巢多房囊肿
D39.101 卵巢肿瘤
D39.701 外阴动态未定肿瘤
D39.702 外阴肿瘤
D39.703 子宫韧带动态未定肿瘤
D39.704 子宫韧带肿瘤
D39.705 输卵管动态未定肿瘤
D39.706 输卵管肿瘤
D39.707 阴道动态未定肿瘤
D39.708 阴道肿瘤
