包含以下主要诊断：
C45.900 间皮瘤
C46.100 软组织卡波西肉瘤
C46.300 淋巴结卡波西肉瘤
C46.900 卡波西肉瘤
C46.900x002 非洲型卡波西肉瘤
C46.900x003 经典(欧洲)型卡波西肉瘤
C46.900x004 同种异质移植型卡波西肉瘤
C48.103 盆腔腹膜恶性肿瘤
C48.104 网膜恶性肿瘤
C48.105 腹膜壁层恶性肿瘤
C48.200 腹膜恶性肿瘤
C48.201 腹膜腔恶性肿瘤
C49.901 淋巴管恶性肿瘤
C77.202 脾淋巴结继发恶性肿瘤
C77.205 腹膜后淋巴结继发恶性肿瘤
C77.300 腋下和上肢淋巴结继发性的恶性肿瘤
C77.300x001 腋窝淋巴结继发恶性肿瘤
C77.300x003 肱骨内上髁淋巴结继发恶性肿瘤
C77.301 腋下淋巴结继发恶性肿瘤
C77.303 胸壁淋巴结继发恶性肿瘤
C77.400x001 腹股沟淋巴结继发恶性肿瘤
C77.401 下肢淋巴结继发恶性肿瘤
C77.501 髂淋巴结继发恶性肿瘤
C77.502 骶骨淋巴结继发恶性肿瘤
C77.503 耻骨联合前淋巴结继发恶性肿瘤
C77.800 多个部位淋巴结继发性的恶性肿瘤
C77.900 淋巴结恶性肿瘤
C77.900x001 淋巴结继发恶性肿瘤
C78.601 腹膜后继发恶性肿瘤
C79.800x804 躯干继发恶性肿瘤
C79.800x809 胸壁继发恶性肿瘤
C79.800x811 腋下继发恶性肿瘤
C79.800x816 臀部继发恶性肿瘤
C79.800x817 下肢继发恶性肿瘤
C79.800x818 骶尾区继发恶性肿瘤
C79.800x834 腹股沟继发恶性肿瘤
C79.800x837 鞘膜继发恶性肿瘤
C79.800x838 胸导管继发恶性肿瘤
C79.807 胸腔继发恶性肿瘤
C79.809 腹腔继发恶性肿瘤
C79.811 盆腔继发恶性肿瘤
C79.821 会阴继发恶性肿瘤
C79.900x001 广泛转移性恶性肿瘤
C80.900 恶性肿瘤，原发部位未特指
C81.000 结节性淋巴细胞为主型霍奇金淋巴瘤
C81.100 结节性硬化型(经典型)霍奇金淋巴瘤
C81.200 混合细胞型(经典型)霍奇金淋巴瘤
C81.300 淋巴细胞减少型(经典型)霍奇金淋巴瘤
C81.700 经典型霍奇金淋巴瘤，其他类型的
C81.701 霍奇金副肉芽肿
C81.702 霍奇金肉芽肿
C81.703 霍奇金肉瘤
C81.900 霍奇金淋巴瘤，未特指
C81.900x005 皮肤霍奇金淋巴瘤
C82.000 滤泡性淋巴瘤 I 级
C82.100 滤泡性淋巴瘤 II 级
C82.200 滤泡性淋巴瘤 III 级
C82.500 弥漫性滤泡中心细胞淋巴瘤
C82.600 皮肤滤泡中心细胞淋巴瘤
C82.700 滤泡性淋巴瘤，其他类型的
C82.701 恶性淋巴瘤,淋巴细胞性,高分化,结节性
C82.702 恶性淋巴瘤,淋巴细胞性,中分化,结节性
C82.703 恶性淋巴瘤,淋巴细胞性,低分化,结节性
C82.704 恶性淋巴瘤,中心母细胞性,滤泡性
C82.900 滤泡性淋巴瘤
C82.901 恶性淋巴瘤,滤泡中心性
C83.000 小 B 细胞淋巴瘤
C83.002 结节边缘区淋巴瘤
C83.003 脾缘区淋巴瘤
C83.100 曼特尔细胞淋巴瘤
C83.101 中心细胞性淋巴瘤
C83.102 恶性淋巴瘤性息肉病
C83.300 弥漫性大 B 细胞淋巴瘤
C83.300x006 原发中枢神经系统弥漫大 B 细胞淋巴~~瘤
C83.300x007 原发皮肤弥漫大 B 细胞淋巴瘤(腿型)
C83.300x008 老年人 EBV 阳性弥漫大 B 细胞淋巴瘤
C83.300x009 与慢性炎症相关弥漫大 B 细胞淋巴瘤
C83.301 间变型弥漫大 B 细胞淋巴瘤
C83.303 浆母细胞性弥漫大 B 细胞淋巴瘤
C83.304 免疫母细胞型弥漫大 B 细胞淋巴瘤
