包含以下主要诊断：
F11.000 急性阿片类物质中毒引起的精神和行为~~障碍
F11.000x001 阿片类药急性中毒
F11.100 有害性使用阿片类物质引起的精神和行~~为障碍
F11.100x001 阿片类药有害使用
F11.200 使用阿片类物质引起的依赖综合征
F11.200x001 杜冷丁药物依赖
F11.200x003 镇痛药物成瘾
F11.201 吗啡型药物瘾
F11.202 哌替啶药物瘾
F11.203 咖啡型药物瘾
F11.204 海洛因药物瘾
F11.300 使用阿片类物质引起的戒断状态
F11.400 使用阿片类物质引起的戒断状态伴有谵~~妄
F11.500 使用阿片类物质引起的精神性障碍
F11.600 使用阿片类物质引起的遗忘综合征
F11.700 使用阿片类物质引起的残留性和迟发性~~精神病性障碍
F11.800 使用阿片类物质引起的其他精神和行为~~障碍
F11.900 使用阿片类物质引起的精神和行为障碍
F12.000 急性大麻类物质中毒引起的精神和行为~~障碍
F12.000x002 大麻类物质急性中毒
F12.100 有害性使用大麻类物质引起的精神和行~~为障碍
F12.100x001 大麻类物质非成瘾性滥用
F12.200 使用大麻类物质引起的依赖综合征
F12.300 使用大麻类物质引起的戒断状态
F12.400 使用大麻类物质引起的戒断状态伴有谵~~妄
F12.500 使用大麻类物质引起的精神性障碍
F12.600 使用大麻类物质引起的遗忘综合征
F12.700 使用大麻类物质引起的残留性和迟发性~~精神病性障碍
F12.800 使用大麻类物质引起的其他精神和行为~~障碍
F12.900 使用大麻类物质引起的精神和行为障碍
F13.100 有害性使用镇静剂或催眠剂引起的精神~~和行为障碍
F13.800 使用镇静剂或催眠剂质引起的其他精神~~和行为障碍
F14.000 急性可卡因中毒引起的精神和行为障碍
F14.100 有害性使用可卡因引起的精神和行为障~~碍
F14.100x001 可卡因非成瘾性滥用
F14.200 使用可卡因引起的依赖综合征
F14.300 使用可卡因引起的戒断状态
F14.400 使用可卡因引起的戒断状态伴有谵妄
F14.400x001 伴有谵妄的可卡因戒断状态
F14.500 使用可卡因引起的精神性障碍
F14.600 使用可卡因引起的遗忘综合征
F14.700 使用可卡因引起的残留性和迟发性精神~~病性障碍
F14.800 使用可卡因质引起的其他精神和行为障~~碍
F14.900 使用可卡因引起的精神和行为障碍
F15.000 使用其他兴奋剂(包括咖啡因)急性中毒~~引起的精神和行为障碍
F15.000x002 含有咖啡因的兴奋剂急性中毒
F15.000x003 苯丙胺类兴奋剂急性中毒
F15.000x004 氯胺酮急性中毒
