包含以下主要诊断：
A18.200x002 颌下淋巴结结核
A18.200x005 颏下淋巴结结核
A18.201 头颈部结核性淋巴结炎
A18.202 颊淋巴结结核
A18.203 腮腺淋巴结结核
A18.205 颈淋巴结结核
A18.400x018 外耳道结核
A18.400x019 中耳结核
A18.601+H67.0* 结核性中耳炎
A18.800x006+K93.8* 唇结核
A18.800x025+K93.8* 牙龈结核
A18.800x034+K93.8* 结核性口腔溃疡
A18.802+K93.8* 舌结核
A18.803+M63.0* 咀嚼肌结核
A18.804+K93.8* 腮腺结核
A18.805+K93.8* 颌下腺结核
A21.300x002 咽腺型土拉菌病
A36.000 咽白喉
A36.000x002 扁桃体白喉
A36.000x003 白喉性膜性喉炎
A36.000x004 白喉性悬雍垂麻痹
A36.100 鼻咽白喉
A36.200 喉白喉
A36.200x002 白喉性喉麻痹
A36.201 白喉性喉气管炎
A42.200x002 颌骨放线菌病
A42.801 涎腺放线菌病
A48.801 鼻硬结病
A50.500x001 先天性梅毒牙
A51.201 唇下疳
A52.700x003+J99.8* 鼻梅毒
A52.700x004+J99.8* 鼻窦梅毒
A52.703+J99.8* 梅毒性喉炎
A54.500 淋球菌性咽炎
A56.400 咽的衣原体感染
A59.800x001 口腔毛滴虫感染
A63.003 喉尖锐湿疣
A66.501+J99.8* 毁形性鼻咽炎
A69.000 坏死性溃疡性口炎
A69.000x002 走马疳
A69.100x001 奋森咽峡炎
A69.100x002 梭菌螺旋体性咽炎
A69.100x003 急性坏死性溃疡性龈炎
A93.801 疱疹性口炎病毒病
B00.200x001 口腔疱疹
B00.201 疱疹病毒性龈口炎
B00.202 疱疹病毒性咽扁桃体炎
B00.203 疱疹病毒性口炎
B00.204 疱疹病毒性颌下腺炎
B00.205 疱疹病毒性咽炎
B02.801+H62.1* 外耳带状疱疹
B05.300+H67.1* 麻疹并发中耳炎
B05.800x009 麻疹合并上呼吸道感染
B05.801 麻疹并发喉炎
B08.000x003 牛丘疹性口腔炎病毒感染
B08.500 肠病毒性水疱性咽炎
B08.501 疱疹性咽峡炎
B08.802 肠病毒性淋巴结咽炎
B26.804 流行性腮腺炎伴颌下腺炎
B26.900 流行性腮腺炎不伴有并发症
B26.900x001 流行性腮腺炎
B36.902+H62.2* 耳真菌病
B36.903+H62.2* 真菌性外耳道炎
B37.000 念珠菌性口炎
B37.001 口腔念珠菌感染
B37.002 念珠菌性口角炎
B37.003 咽念珠菌感染
B37.200x005+H62.2* 念珠菌性外耳炎
B37.800x084 念珠菌性唇炎
B37.800x088 念珠菌性扁桃体炎
B37.802 念珠菌性中耳炎
B44.200x001+J99.8* 扁桃体曲霉菌病
B44.800x004+H62.2* 外耳道曲霉菌病
B44.800x006 中耳曲霉菌病
B44.801 声带曲霉病
B44.802 耳曲霉病
B48.300x002+K93.8* 地丝菌口炎
B49.x11 外耳道真菌病
B87.300 鼻咽蝇蛆病
B87.300x002+J99.8* 喉蝇蛆病
B87.400x001+H94.8* 耳蝇蛆病
C00.000 外上唇恶性肿瘤
C00.001 外上唇口红区恶性肿瘤
C00.002 外上唇唇红缘恶性肿瘤
C00.100 外下唇恶性肿瘤
C00.101 外下唇口红区恶性肿瘤
C00.102 外下唇唇红缘恶性肿瘤
C00.200 外唇的恶性肿瘤
C00.200x002 外唇唇红缘恶性肿瘤
C00.300 上唇内面恶性肿瘤
C00.301 上唇内面颊侧面恶性肿瘤
C00.302 上唇内面系带恶性肿瘤
C00.303 上唇内面黏膜恶性肿瘤
C00.304 上唇内面口腔面恶性肿瘤
C00.400 下唇内面恶性肿瘤
C00.401 下唇内面颊侧面恶性肿瘤
C00.402 下唇内面系带恶性肿瘤
C00.403 下唇内面黏膜恶性肿瘤
C00.404 下唇内面口腔面恶性肿瘤
C00.500 唇内面的恶性肿瘤
C00.500x002 唇内面黏膜恶性肿瘤
C00.500x003 唇内面口腔面恶性肿瘤
C00.500x004 唇内面系带恶性肿瘤
C00.500x005 唇内面颊侧面恶性肿瘤
C00.600 唇连合的恶性肿瘤
C00.800 唇交搭跨越恶性肿瘤的损害
C00.900 唇恶性肿瘤
C01.x00 舌根恶性肿瘤
C01.x00x003 舌后三分之一恶性肿瘤
C01.x01 舌根背面恶性肿瘤
C02.000 舌背面恶性肿瘤
C02.000x002 舌前三分之二背面恶性肿瘤
C02.100 舌缘恶性肿瘤
C02.100x001 舌尖及侧缘的恶性肿瘤
C02.101 舌尖恶性肿瘤
C02.200 舌腹面恶性肿瘤
C02.200x002 舌前三分之二腹面恶性肿瘤
C02.201 舌系带恶性肿瘤
C02.300 舌前三分之二部位的恶性肿瘤
C02.300x002 舌中三分之一恶性肿瘤
C02.300x003 舌活动部分恶性肿瘤
C02.400 舌扁桃体恶性肿瘤
C02.800 舌交搭跨越恶性肿瘤的损害
C02.900 舌恶性肿瘤
C02.900x002 舌多处恶性肿瘤
C03.000 上牙龈恶性肿瘤
C03.000x002 上颌恶性肿瘤
C03.001 上颌软组织恶性肿瘤
C03.100 下牙龈恶性肿瘤
C03.100x002 下颌恶性肿瘤
C03.101 下颌软组织恶性肿瘤
C03.900 牙龈恶性肿瘤
C03.900x001 颌结缔组织恶性肿瘤
C03.901 颌软组织恶性肿瘤
C04.000 口底前部恶性肿瘤
C04.100 口底侧部恶性肿瘤
C04.800 口底交搭跨越恶性肿瘤的损害
C04.900 口底恶性肿瘤
C05.000 硬腭恶性肿瘤
C05.100 软腭恶性肿瘤
