包含以下主要诊断：
A06.700 皮肤阿米巴病
A18.313+K93.0* 腹部结核性窦道
A18.400x001 播散性粟粒性狼疮
A18.400x006 酒渣样结核疹
A18.400x010 臀部结核
A18.400x013 皮肤结核溃疡
A18.400x014 疣状皮肤结核
A18.400x020 腰部结核性脓肿
A18.400x021 足结核
A18.400x022 肩部结核
A18.401 皮肤结核
A18.402 皮下组织结核
A18.403 皮肤结核性窦道
A18.404 瘰疬性皮肤结核
A18.405 结核性皮肤脓肿
A18.406 腹壁结核
A18.407 皮下组织结核性窦道
A18.408 结核性结节性红斑
A18.409 结核性狼疮
A18.410 寻常性狼疮
A18.411 巴赞病
A18.412 胸壁结核
A18.811 乳腺结核
A20.100 蜂窝织皮下型鼠疫
A20.101 皮肤型鼠疫
A22.000 皮肤炭疽
A26.000 皮肤类丹毒
A28.100 猫抓病
A30.100x003 麻风性穿孔性足溃疡
A31.100 皮肤分枝杆菌感染
A31.100x002 溃疡分枝杆菌感染
A31.101 伯鲁里溃疡
A31.102 海分枝杆菌感染
A32.000 皮肤利斯特菌病
A36.300 皮肤白喉
A42.200 颈面部放线菌病
A42.800x002 放线菌皮肤感染
A42.802 乳腺放线菌病
A43.100 皮肤诺卡菌病
A44.100 皮肤和黏膜皮肤的巴尔通体病
A46.x00 丹毒
A48.000 气性坏疽
A51.300x002 二期早发梅毒疹
A51.300x003 二期晚发梅毒疹
A51.300x004 二期复发梅毒疹
A51.300x005 二期梅毒湿疣
A51.301 皮肤二期梅毒
A51.302 黏膜二期梅毒
A51.303 皮肤梅毒
A51.304 外阴扁平湿疣
A54.809 淋球菌性皮肤病
A60.100x002 肛周皮肤疱疹
A60.101 肛周皮肤疱疹病毒感染
A63.000 肛门生殖器(性病性)疣
A63.001 肛门生殖器尖锐湿疣
A66.300 雅司病角化过度
B00.000 疱疹性湿疹
B00.001 卡波西水疱样疹
B00.100 疱疹病毒性水疱皮炎
B00.100x001 单纯疱疹病毒性水疱皮炎
B00.100x004+H62.1* 耳部单纯疱疹 HSV-Ⅱ型
B00.100x005 唇部单纯疱疹 HSV-Ⅱ型
B00.101 唇单纯疱疹
B00.102 面单纯疱疹
B00.801+L99.8* 疱疹病毒性瘭疽
B00.804+L99.8* 疱疹病毒性甲沟炎
B02.900x001 带状疱疹
B07.x00x006 丝状疣
B07.x00x007 吹号手疣
B07.x00x008 镶嵌疣
B07.x00x009 咽喉疣
B07.x00x010 掌疣
B07.x00x011 掌跖疣
B07.x01 扁平疣
B07.x03 寻常疣
B07.x04 疣
B07.x05 指状疣
B08.100 传染性软疣
B08.200 猝发疹[第六病]
B08.200x002 幼儿急疹
B08.300 传染性红斑[第五病]
B08.800x004 流行性粟疹热
B08.800x007 柯萨奇湿疹
B09.x00x002 黏膜病毒性感染
B09.x01 病毒性皮疹
B26.800x004 流行性腮腺炎并发胸骨前水肿
B26.800x010 流行性腮腺炎并发乳腺炎
B35.000 须癣和头癣
B35.000x001 癣菌性须疮
B35.001 头癣
B35.002 须癣
B35.003 脓癣
B35.100 甲癣
B35.100x002 皮肤癣菌性甲床炎
B35.200 手癣
B35.300 脚癣
B35.400 体癣
B35.401 钱癣
B35.500 叠瓦癣
B35.600 股癣
B35.600x002 腹股沟癣
B35.800x002 肉芽肿性皮肤癣菌病
B35.800x003 面癣
B35.800x004 腋毛癣
B35.801 播散性皮真菌病
B35.901 黄癣
B36.000x001 花斑癣[花斑糠疹]
B36.000x003 马拉色菌毛囊炎
B36.001 糠秕孢子性毛囊炎
B36.100 黑癣
B36.100x001 掌肌微黑角膜霉菌病
B36.100x002 黑色小孢子菌病
B36.100x003 黑糠疹
B36.100x004 掌黑癣
B36.200 白癣
B36.300 黑色发结节病
B36.300x002 毛结节菌病
B36.901 皮肤真菌感染
B37.200x003 肢端念珠菌病
B37.201 念珠菌性指甲炎
B37.202 念珠菌性趾甲炎
B37.203 念珠菌性甲沟炎
B37.204 念珠菌性甲床炎
B37.205 皮肤念珠菌病
B38.300 皮肤球孢子菌病
B40.300 皮肤芽生菌病
B40.301+L99.8* 芽生菌性皮炎
B40.302+L99.8* 芽生菌性脓皮病
B41.800x002 皮肤型副球孢子菌病
B43.000 皮肤着色真菌病
B43.200 皮下棕色真菌病性脓肿和囊肿
B44.800x002 皮肤曲霉菌病
B45.200 皮肤隐球菌病
B46.300x001+L99.8* 皮肤型毛霉菌病
B47.000 真菌性足菌肿
B47.100x001 放线菌性足菌肿
B47.900 足菌肿
B48.000 瘢痕疙瘩性芽生菌病
B55.100x001 皮肤利什曼病[皮肤型黑热病]
B55.200 黏膜皮肤利什曼病
B65.300 尾蚴性皮炎
B66.400x001 皮下组织并殖吸虫病
B69.800x004 皮下组织囊虫病
B69.805 皮肤囊尾蚴病
B72.x00 龙线虫病
B72.x00x001 麦地那龙线虫病
B74.000x002 班氏丝虫性象皮肿
B74.100x001 马来丝虫病
B74.100x002 马来丝虫性象皮肿
B74.200x002 帝汶丝虫性象皮肿
B74.900x003 丝虫性外阴象皮肿
B76.900x003 皮肤蠕虫蚴移行症
B78.100x001+L99.8* 皮肤粪圆线虫病
B85.000 头虱引起的虱病
B85.100 体虱引起的虱病
B85.200 虱病
B85.300 阴虱病
B86.x00 疥疮
