包含以下主要诊断：
B90.000 中枢神经系统结核的后遗症
B90.001 陈旧性结核性脑膜炎
B90.002 结核性脑膜炎后遗症
B90.100 泌尿生殖系结核的后遗症
B90.101 陈旧性肾结核
B90.200 骨和关节结核的后遗症
B90.200x002 陈旧性关节结核
B90.200x003 陈旧性脊柱结核
B90.201 陈旧性骨关节结核病
B90.202 陈旧性骨结核病
B90.800x004 陈旧性肠结核
B90.800x005 陈旧性支气管淋巴结核
B90.800x006 陈旧性心包结核
B90.801 陈旧性颈淋巴结核
B90.802 陈旧性肠系膜淋巴结核
B90.803 陈旧性腹腔结核
B90.804 结核性皮肤瘢痕
B90.901 陈旧性支气管结核
B90.902 陈旧性肺结核
B90.903 陈旧性胸膜结核
B90.904 陈旧性纵隔结核
B91.x00 脊髓灰质炎的后遗症
B92.x00 麻风的后遗症
B94.000 沙眼的后遗症
B94.100 病毒性脑炎的后遗症
B94.101 流行性乙型脑炎后遗症
B94.200 病毒性肝炎的后遗症
B94.201 肝炎后综合征
B94.800x001 破伤风后遗症
B94.800x003 流行性脑脊髓膜炎后遗症
B94.801 带状疱疹后遗症
B94.802 天花后遗症
B94.900 传染病或寄生虫病的后遗症
E89.900 内分泌和代谢紊乱,操作后的
I69.400 脑卒中后遗症
I69.800x002 脑血管病恢复期
I69.801 脑血栓后遗症
I69.802 脑血管病后遗症
J95.900 呼吸性疾患，操作后的
K07.601 陈旧性颞下颌关节脱位
M23.200x092 陈旧性桶柄状撕裂
M23.201 陈旧性前十字韧带损伤
M23.202 陈旧性内侧半月板前角损伤
M23.203 陈旧性后十字韧带损伤
M23.204 陈旧性内侧半月板后角损伤
M23.205 陈旧性膝内侧半月板损伤
M23.206 陈旧性膝内侧副韧带损伤
M23.207 陈旧性膝外侧副韧带损伤
M23.208 陈旧性膝外侧半月板前角损伤
M23.209 陈旧性膝外侧半月板后角损伤
M23.210 陈旧性膝外侧半月板损伤
M23.211 陈旧性膝关节囊韧带损伤
M23.212 陈旧性膝半月板断裂
M23.213 陈旧性膝半月板损伤
M23.214 陈旧性膝韧带损伤
M23.215 陈旧性膝内多发性损伤
