包含以下主要诊断：
C00.000 外上唇恶性肿瘤
C00.001 外上唇口红区恶性肿瘤
C00.002 外上唇唇红缘恶性肿瘤
C00.100 外下唇恶性肿瘤
C00.101 外下唇口红区恶性肿瘤
C00.102 外下唇唇红缘恶性肿瘤
C00.200 外唇的恶性肿瘤
C00.200x002 外唇唇红缘恶性肿瘤
C00.300 上唇内面恶性肿瘤
C00.301 上唇内面颊侧面恶性肿瘤
C00.302 上唇内面系带恶性肿瘤
C00.303 上唇内面黏膜恶性肿瘤
C00.304 上唇内面口腔面恶性肿瘤
C00.400 下唇内面恶性肿瘤
C00.401 下唇内面颊侧面恶性肿瘤
C00.402 下唇内面系带恶性肿瘤
C00.403 下唇内面黏膜恶性肿瘤
C00.404 下唇内面口腔面恶性肿瘤
C00.500 唇内面的恶性肿瘤
C00.500x002 唇内面黏膜恶性肿瘤
C00.500x003 唇内面口腔面恶性肿瘤
C00.500x004 唇内面系带恶性肿瘤
C00.500x005 唇内面颊侧面恶性肿瘤
C00.600 唇连合的恶性肿瘤
C00.800 唇交搭跨越恶性肿瘤的损害
C00.900 唇恶性肿瘤
C01.x00 舌根恶性肿瘤
C01.x00x003 舌后三分之一恶性肿瘤
C01.x01 舌根背面恶性肿瘤
C02.000 舌背面恶性肿瘤
C02.000x002 舌前三分之二背面恶性肿瘤
C02.100 舌缘恶性肿瘤
C02.100x001 舌尖及侧缘的恶性肿瘤
C02.101 舌尖恶性肿瘤
C02.200 舌腹面恶性肿瘤
C02.200x002 舌前三分之二腹面恶性肿瘤
C02.201 舌系带恶性肿瘤
C02.300 舌前三分之二部位的恶性肿瘤
C02.300x002 舌中三分之一恶性肿瘤
C02.300x003 舌活动部分恶性肿瘤
C02.400 舌扁桃体恶性肿瘤
C02.800 舌交搭跨越恶性肿瘤的损害
C02.900 舌恶性肿瘤
C02.900x002 舌多处恶性肿瘤
C03.000 上牙龈恶性肿瘤
C03.000x002 上颌恶性肿瘤
C03.001 上颌软组织恶性肿瘤
C03.100 下牙龈恶性肿瘤
C03.100x002 下颌恶性肿瘤
C03.101 下颌软组织恶性肿瘤
C03.900 牙龈恶性肿瘤
C03.900x001 颌结缔组织恶性肿瘤
C03.901 颌软组织恶性肿瘤
C04.000 口底前部恶性肿瘤
C04.100 口底侧部恶性肿瘤
C04.800 口底交搭跨越恶性肿瘤的损害
C04.900 口底恶性肿瘤
C05.000 硬腭恶性肿瘤
C05.100 软腭恶性肿瘤
C05.200 悬雍垂恶性肿瘤
C05.800 腭交搭跨越恶性肿瘤的损害
C05.900 腭恶性肿瘤
C05.900 腭恶性肿瘤
C05.900x002 口顶恶性肿瘤
C06.000 颊黏膜恶性肿瘤
C06.001 颊内部恶性肿瘤
C06.100 口前庭恶性肿瘤
