包含以下主要手术或操作：
38.0200x003 颈内静脉血栓切除术
38.0202 颈静脉取栓术
38.0301 上肢静脉取栓术
38.0500x003 无名静脉取栓术
38.0502 上腔静脉取栓术
38.0700x004 肝静脉取栓术
38.0702 下腔静脉取栓术
38.0703 肾静脉取栓术
38.0704 门静脉取栓术
38.0705 肠系膜静脉取栓术
38.0900x001 下肢静脉血栓切除术
38.0900x002 下肢静脉探查术
38.0901 股静脉取栓术
38.0902 腘静脉取栓术
38.3200x003 颈静脉部分切除伴吻合术
38.3500x004 肺静脉部分切除伴吻合术
38.3700 腹静脉部分切除术伴吻合术
38.3700x001 门静脉部分切除伴吻合术
38.3700x002 肠系膜静脉部分切除伴吻合术
38.3700x003 下腔静脉部分切除伴吻合术
38.3700x004 髂静脉部分切除伴吻合术
38.3700x005 脾静脉部分切除伴吻合术
38.3701 肾静脉部分切除伴吻合术
38.3900 下肢静脉部分切除术伴吻合术
38.4300x004 腋静脉部分切除伴自体血管置换术
38.4300x005 腋静脉部分切除伴人工血管置换术
38.4303 腋静脉部分切除伴置换术
38.4500x001 上腔静脉部分切除伴人工血管补片~~修补术
38.4500x003 上腔静脉部分切除伴人工血管置换~~术
38.4500x022 锁骨下静脉部分切除伴自体血管置~~换术
38.4700x001 下腔静脉部分切除伴人工血管置换~~术
38.4700x002 门静脉部分切除伴人工血管置换术
38.4700x003 门静脉部分切除伴自体血管置换术
38.4700x004 髂静脉部分切除伴人工血管置换术
38.4700x005 髂静脉部分切除伴自体血管置换术
38.4701 门静脉瘤切除伴置换术
38.4702 下腔静脉部分切除伴置换术
38.4900x001 下肢静脉部分切除伴人工血管置换~~术
38.4900x002 下肢静脉部分切除伴自体血管移植~~术
38.5000 静脉曲张的结扎术和剥脱术
38.5100 颅内血管静脉曲张的结扎术和剥脱术
38.5201 头部静脉曲张的结扎术和剥脱术
38.5202 颈部静脉曲张的结扎术和剥脱术
38.5300 上肢血管静脉曲张的结扎术和剥脱术
38.5500 胸部血管静脉曲张的结扎术和剥脱术
38.5702 阴茎静脉曲张结扎术
38.5900x003 大隐静脉主干激光闭合术
38.5900x005 下肢静脉剥脱术
38.5900x008 大隐静脉高位结扎电凝术
38.5901 大隐静脉高位结扎和剥脱术
38.5902 大隐静脉曲张结扎术
38.5903 大隐静脉曲张剥脱术
38.5904 小隐静脉曲张结扎术
38.5905 小隐静脉曲张剥脱术
38.5906 小隐静脉高位结扎和剥脱术
38.5907 大隐静脉曲张分段切除术
38.6000x010 静脉内异物取出术
38.6200x002 颈静脉瘤切除术
38.6200x003 颈静脉扩张切除术
38.6200x007 颈外静脉瘤切除术
38.6200x009 颈静脉病损切除术
38.6500x002 头臂静脉病损切除术[无名静脉病损~~切除术]
38.6500x005 上腔静脉病损切除术
38.6501 无名静脉病损切除术
38.6700x005 腹腔静脉瘤切除术
38.6701 下腔静脉病损切除术
38.6703 肾静脉病损切除术
38.6705 肠系膜上静脉病损切除术
38.6706 髂静脉病损切除术
38.6901 下肢静脉病损切除术
38.7x00x009 上腔静脉封堵术
38.7x01 腔静脉结扎术
38.7x02 腔静脉折叠术
38.7x03 上腔静脉滤器置入术
38.7x04 下腔静脉滤器置入术
38.8200x005 颈内静脉结扎术
38.8200x006 颈前静脉结扎术
38.8202 颈静脉结扎术
38.8500x016 奇静脉结扎术
38.8700x001 腹部静脉结扎术
38.8700x002 卵巢动静脉高位结扎术
38.8700x008 子宫动静脉高位结扎术
38.8700x009 腹腔镜下卵巢动静脉高位结扎术
38.8700x011 腹腔镜下门静脉结扎术
38.8701 肠系膜静脉结扎术
38.8702 子宫静脉高位结扎术
38.8703 肾静脉结扎术
38.8704 门静脉结扎术
38.8705 阴茎静脉结扎术
38.8901 下肢静脉结扎术
38.9200 脐静脉导管插入术
38.9300 静脉导管插入术
38.9300x201 颈静脉插管术
38.9300x202 经皮颈静脉肝内门静脉-腔静脉置管~~术
38.9300x701 肝静脉插管术
38.9300x702 肾静脉插管术
38.9300x901 大隐静脉插管术
38.9301 经外周静脉穿刺中心静脉置管术
38.9302 颈内静脉穿刺中心静脉置管术
38.9303 锁骨下静脉穿刺中心静脉置管术
