包含以下主要诊断：
A18.000x002+M90.0* 腭骨结核
A18.000x003+M90.0* 颌骨结核
A18.000x004+H75.0* 乳突结核
A18.000x006+M90.0* 颧骨结核
A18.000x015+M01.1* 结核性风湿病[篷塞病]
A18.000x034+M90.0* 肢体骨结核
A18.000x035+M90.0* 骨结核病
A18.000x042+M90.0* 第三楔骨结核
A18.000x057+M49.0* 骶骨结核
A18.000x058+M68.0* 腱鞘结核
A18.000x060+M90.0* 胸骨结核
A18.000x062+M68.0* 结核性腱鞘炎
A18.001+M90.0* 骨结核
A18.003+M90.0* 鼻骨结核
A18.004+M90.0* 下颌结核
A18.014+M90.0* 肋骨结核
A18.015+M90.0* 耻骨结核
A18.016+M90.0* 肱骨结核
A18.017+M90.0* 桡骨结核
A18.018+M90.0* 尺骨结核
A18.019+M90.0* 掌骨结核
A18.020+M90.0* 指骨结核
A18.021+M90.0* 股骨结核
A18.022+M90.0* 胫骨结核
A18.023+M90.0* 腓骨结核
A18.024+M90.0* 跟骨结核
A18.025+M90.0* 楔骨结核
A18.026+M90.0* 趾骨结核
A18.041+M68.0* 滑膜结核
A18.042+M68.0* 肌腱结核
A18.800x010+M63.0* 肌结核
A18.800x022+M63.0* 上臂内侧横纹肌结核
A18.800x027+M63.0* 腰大肌结核性脓肿
A18.800x028+M63.0* 腰肌结核
A18.810+M63.0* 胸大肌结核
A18.819+M36.8* 结缔组织结核
A51.400x002+M90.1* 二期梅毒性骨膜炎
A51.400x007+M63.0* 二期梅毒性肌炎
A52.700x008+M68.0* 梅毒性滑膜炎
A52.700x009+M68.0* 梅毒性腱鞘炎
A52.700x010+M63.0* 梅毒性肌炎
A52.707+M90.2* 骨梅毒
A54.402+M73.0* 淋球菌性滑囊炎
A54.404+M68.0* 淋球菌性滑膜炎
A54.405+M68.0* 淋球菌性腱鞘炎
A66.600 雅司病的骨和关节损害
B45.300 骨隐球菌病
B58.800x002+M63.1* 弓形虫肌炎
B67.200x001+M90.2* 骨细粒棘球蚴病
B67.600x003 骨泡型棘球蚴病
B69.800x003 肌肉囊虫病
B69.803 骨囊虫病
B69.804 肌肉囊尾蚴病
B89.x00x002+G73.4* 寄生虫病并发肌病
B99.x00x004+G73.4* 感染性疾病并发肌病
D18.000x846 锁骨血管瘤
D18.000x860 膝关节血管瘤
D18.000x861 踝关节血管瘤
D18.009 肌内血管瘤
D48.900x013+M63.8* 肿瘤相关性肌炎
D48.904+M36.0* 肿瘤相关性皮肌炎
D86.803+M63.3* 结节病性肌炎
E23.000x001+G73.5* 垂体功能减退性肌病
E85.000 非神经病性家族遗传性淀粉样变
E85.001 家族性地中海热
E85.900 淀粉样变
E85.900x003 斑疹性淀粉样变性
I00.x00x004 急性风湿热
I00.x00x005 急性风湿性关节炎
I00.x01 风湿性关节炎
I02.900x001 风湿性舞蹈症[小舞蹈症]
I02.900x003 慢性风湿性舞蹈症
K50.902+M07.4* 克罗恩病性关节病
K51.904+M07.5* 溃疡性结肠炎性关节病
K52.913+M07.6* 肠病性关节炎
L40.501+M07.3* 银屑病性关节炎
L87.100 反应性穿通性胶原病
M00.800 关节炎和多关节炎，其他特指的细菌性病~~原体引起的
M02.300 赖特尔病
M02.800 反应性关节病，其他的
M05.000 费尔蒂综合征
M05.303+G73.7* 类风湿性关节炎相关性肌病
M05.308 累及全身类风湿性关节炎
M05.800 血清反应阳性的类风湿性关节炎,其他的
M05.900 血清反应阳性的类风湿性关节炎
M05.900x093 累及内脏的类风湿性关节炎
M06.000 血清反应阴性的类风湿性关节炎
M06.001 复发性血清阴性对称性滑膜炎伴凹陷性~~水肿
