包含以下主要手术或操作：
38.0603 肾动脉取栓术
38.0703 肾静脉取栓术
38.8608 肾动脉结扎术
38.8703 肾静脉结扎术
39.7901 经导管肾血管栓塞术
55.0100x010 肾被膜下血肿清除术
55.0101 肾探查术
55.0102 肾切开取石术
55.0103 肾切开异物取出术
55.0104 肾切开引流术
55.0105 肾囊肿去顶术
55.0106 腹腔镜下肾囊肿去顶术
55.0107 肾血肿清除术
55.0109 腹腔镜下肾探查术
55.0110 腹腔镜下肾切开引流术
55.0111 腹腔镜下肾切开取石术
55.0200 肾造口术
55.0201 腹腔镜下肾造口术
55.0300x005 经皮肾造口术
55.0300x006 经皮肾镜异物取出术
55.0300x007 经皮肾镜取石术(II 期)(同次住院)
55.0301 经皮肾盂造口取石术
55.0302 经皮肾镜取石术
55.1100x001 肾盂切开探查术
55.1100x002 输尿管镜下肾盂旁囊肿切开引流术
55.1101 肾盂切开取石术
55.1102 肾盂切开引流术
55.1103 肾盂造口结石切除术
55.1104 肾窦切开取石术
55.1105 肾盏切开取石术
55.1106 肾盏切开探查术
55.1107 肾盂囊肿开窗术
55.1108 腹腔镜下肾盂旁囊肿去顶术
55.1109 腹腔镜下肾盂切开取石术
55.1200 肾盂造口术
55.1200x001 肾盂内 T 管引流术
55.2101 经皮肾镜检查术
55.2300x001 超声引导下肾穿刺活检
55.2302 内镜下肾盂活组织检查
55.2400 开放性肾活组织检查
55.3100 肾病损袋形缝合术[造袋术]
55.3200x001 肾病损射频消融术
55.3301 超声引导下肾病损射频消融术
55.3302 经皮肾镜肾病损消融术
55.3400x001 腹腔镜下肾病损射频消融术
55.3400x001 腹腔镜下肾病损射频消融术
55.3501 输尿管镜下肾病损消融术
55.3900x001 副肾切除术
55.3900x003 肾病损切除术
55.3900x004 腹腔镜下肾病损切除术
55.3901 经皮肾病损冷冻治疗术
55.3902 经尿道输尿管镜肾病损激光切除术
55.3903 经皮肾镜肾盂病损电切术
55.8201 肾盂造口闭合术
55.8202 肾造口闭合术
55.8301 肾瘘修补术
55.8400 肾带蒂扭转的复位术
55.8500 马蹄形肾联合部切开术
55.8501 腹腔镜马蹄肾峡部分离术
55.8600x006 腹腔镜下肾盏-输尿管吻合术
55.9100 肾包膜剥脱术
55.9100x003 肾囊肿切除术
55.9200x002 经皮肾脓肿抽吸术
55.9200x006 经皮移植肾囊肿抽吸术
55.9200x007 经皮肾血肿抽吸术
55.9201 肾穿刺引流术
55.9202 肾包膜下积液穿刺引流术
55.9203 肾穿刺术
55.9204 移植肾穿刺术
55.9205 经皮肾周脓肿抽吸术
55.9206 经皮肾囊肿抽吸术
