包含以下主要诊断：
A34.x00 产科破伤风
O10.001 妊娠合并原有特发性高血压
O10.101 妊娠合并原有高血压性心脏病
O10.201 妊娠合并原有高血压性肾病
O10.301 妊娠合并原有高血压性心脏病和肾病
O10.401 妊娠合并原有继发性高血压
O10.900x001 妊娠合并原有高血压
O11.x01 慢性高血压并发子痫前期
O12.000 妊娠水肿
O12.100 妊娠蛋白尿
O12.200 妊娠水肿伴有蛋白尿
O13.x00 妊娠[妊娠引起的]高血压
O13.x01 妊娠期短暂性高血压
O14.000x001 轻度先兆子痫
O14.000x002 中度先兆子痫
O14.100x002 重度子痫前期
O14.200 HELLP 综合征
O14.900 子痫前期
O15.001 产前子痫
O15.101 产时子痫
O15.900 子痫
O16.x00 孕产妇高血压
O22.000 妊娠期下肢静脉曲张
O22.101 妊娠期会阴静脉曲张
O22.102 妊娠期外阴静脉曲张
O22.103 妊娠期阴道静脉曲张
O22.200 妊娠期血栓性浅静脉炎
O22.300 妊娠期深静脉血栓形成
O22.400 妊娠期痔
O22.500 妊娠期大脑静脉血栓形成
O22.801 妊娠期子宫旁静脉曲张
O22.900 妊娠期静脉并发症
O22.901 妊娠期静脉炎
O22.902 妊娠期静脉血栓形成
O23.001 妊娠期肾盂肾炎
O23.101 妊娠期膀胱炎
O23.200 妊娠期尿道感染
O23.400 妊娠期泌尿道感染
O23.500 妊娠期生殖道感染
O23.500x001 妊娠期宫腔感染
O23.500x002 妊娠期输卵管炎
O23.500x007 妊娠期细菌性阴道病
O23.500x009 妊娠期前庭大腺脓肿
O23.500x010 妊娠期输卵管卵巢炎
O23.501 妊娠合并盆腔炎
O23.502 妊娠合并盆腔粘连
O23.503 妊娠合并输卵管坏死
O23.504 妊娠期宫颈炎
O23.505 妊娠期外阴炎
O23.506 妊娠期阴道炎
O23.901 妊娠期泌尿生殖道感染
O24.000 妊娠期伴原有的 1 型糖尿病
O24.000x021 妊娠合并原有 1 型糖尿病(胰岛素治~~疗)
O24.100 妊娠期伴原有的 2 型糖尿病
O24.100x011 妊娠合并原有 2 型糖尿病(非胰岛素~~治疗)
O24.100x021 妊娠合并原有 2 型糖尿病(胰岛素治~~疗)
O24.200x001 妊娠合并原有营养不良性糖尿病
O24.300x001 妊娠合并原有糖尿病
O24.301 妊娠期伴原有糖尿病性酮症
O24.400 妊娠期发生的糖尿病
O24.900 妊娠糖尿病
O25.x00 妊娠期营养不良
O25.x01 产褥期营养不良
O26.000 妊娠期体重增加过度
O26.100 妊娠期体重增加过低
O26.200 习惯性流产者的妊娠医疗
O26.300 具有子宫内避孕装置的妊娠
O26.400 妊娠疱疹
O26.501 妊娠期并发低血压综合征
O26.600x010 妊娠合并肝脓肿
O26.600x011 妊娠合并肝炎
O26.601 妊娠合并肝病
O26.602 妊娠合并肝功能衰竭
O26.603 妊娠合并肝损害
O26.604 妊娠合并肝硬化
