包含以下主要手术或操作：
34.0200x003 胸腔镜中转开胸探查术
34.0301 胸腔术后再切开止血术
35.0100x002 经皮主动脉瓣探查术
35.0101 主动脉瓣闭式扩张术
35.0200x003 经皮二尖瓣探查术
35.0201 二尖瓣闭式扩张术
35.0300x002 经皮肺动脉瓣探查术
35.0301 肺动脉瓣闭式扩张术
35.0400x001 三尖瓣探查术
35.0401 三尖瓣闭式扩张术
35.0501 经导管主动脉瓣植入术
35.0502 经导管主动脉瓣置换术
35.0600x001 经胸主动脉瓣支架置入术
35.0600x002 经心尖主动脉瓣生物瓣膜置换术
35.0701 经导管肺动脉瓣植入术
35.0800x001 经胸肺动脉瓣支架置入术
35.1100x003 主动脉瓣修补术
35.1100x004 主动脉瓣切开探查术
35.1100x005 胸腔镜下主动脉瓣成形术
35.1101 主动脉瓣成形术
35.1200x001 二尖瓣修补术
35.1200x002 二尖瓣切开扩张术
35.1200x003 二尖瓣切开探查术
35.1201 二尖瓣成形术
35.1202 胸腔镜下二尖瓣成形术
35.1300x002 肺动脉瓣切开扩张术
35.1300x004 肺动脉瓣修补术
35.1300x005 胸腔镜下肺动脉瓣成形术
35.1301 肺动脉瓣成形术
35.1400x001 三尖瓣修补术
35.1400x002 三尖瓣下移矫治术[Ebstein 畸形]
35.1400x003 三尖瓣切开扩张术
35.1400x006 三尖瓣环缩术
35.1401 三尖瓣成形术
35.1402 胸腔镜下三尖瓣成形术
35.2100x002 自体肺动脉移植术[Ross 手术]
35.2100x003 主动脉瓣置换伴升主动脉置换术~~[Wheat's 手术]
35.2100x004 主动脉根部扩大伴主动脉瓣生物瓣~~膜置换术
35.2100x005 胸腔镜下主动脉瓣生物瓣膜置换术
35.2101 主动脉瓣生物瓣膜置换术
35.2200x002 主动脉根部扩大伴主动脉瓣机械瓣~~膜置换术
35.2200x004 胸腔镜下主动脉瓣机械瓣膜置换术
35.2201 主动脉瓣机械瓣膜置换术
35.2300x002 二尖瓣生物瓣膜置换术(保留瓣下结~~构)
35.2301 二尖瓣生物瓣膜置换术
35.2302 胸腔镜下二尖瓣生物瓣置换术
35.2400x002 二尖瓣机械瓣膜置换术(保留瓣下结~~构)
35.2401 二尖瓣机械瓣膜置换术
35.2402 胸腔镜下二尖瓣机械瓣膜置换术
35.2500x002 胸腔镜下肺动脉瓣生物瓣膜置换术
35.2501 肺动脉瓣生物瓣膜置换术
35.2600x002 胸腔镜下肺动脉瓣机械瓣膜置换术
35.2601 肺动脉瓣机械瓣膜置换术
35.2701 三尖瓣生物瓣膜置换术
35.2702 胸腔镜下三尖瓣生物瓣膜置换术
35.2801 三尖瓣机械瓣膜置换术
35.2802 胸腔镜下三尖瓣机械瓣膜置换术
35.3100x001 心脏乳头肌切开术
35.3101 心脏乳头肌修补术
35.3200x003 腱索移植术
35.3201 腱索修补术
35.3202 腱索切断术
35.3300x001 二尖瓣瓣环成形术
35.3300x002 三尖瓣瓣环成形术
35.3300x003 三尖瓣瓣环折叠术
35.3400x001 右心室动脉圆锥切除术
35.3400x003 右室流出道疏通术
35.3400x004 左室流出道疏通术
35.3400x005 跨肺动脉瓣右室流出道肺动脉补片~~修补术
35.3400x006 右室漏斗部病损切除术
35.3400x007 右室流出道修补术
35.3400x008 左室流出道修补术
35.3500x002 主动脉瓣下狭窄切开术
35.3500x003 二尖瓣下环切除术
35.3500x004 二尖瓣上环切除术
35.3500x005 肺动脉瓣上环切除术
35.3500x006 主动脉瓣上环切除术
35.3500x007 主动脉瓣下膈膜切除术
35.3500x008 主动脉瓣下狭窄切除术
35.3500x009 主动脉瓣瓣上狭窄矫治术
35.3501 主动脉瓣膜下环切除术
35.3901 主动脉窦修补术
35.4100x001 房间隔缺损扩大术
35.4100x002 卵圆孔缺损扩大术
35.4101 房间隔造口术
35.4200x002 房间隔开窗术
35.4200x003 经皮房间隔造口术
35.4200x005 室间隔开窗术
35.4200x006 室间隔缺损扩大术
35.4200x009 经皮室间隔完整的肺动脉闭锁射频~~打孔及球囊扩张成形术
35.4201 布莱洛克-汉隆手术
35.5100x001 房间隔缺损人造补片修补术
35.5100x002 经胸房间隔缺损闭式封堵术
35.5100x003 卵圆孔未闭人造补片修补术
35.5101 卵圆孔未闭假体修补术
35.5200x001 经皮房间隔缺损封堵术
35.5200x002 经皮卵圆孔未闭封堵术
35.5200x002 经皮卵圆孔未闭封堵术
35.5201 房间隔缺损闭式封堵术
35.5300x001 室间隔缺损人造补片修补术
35.5300x003 经胸室间隔缺损闭式封堵术
35.5301 室间隔缺损假体修补术
35.5400x003 心内膜垫缺损人造补片矫治术
35.5400x004 部分型心内膜垫缺损人造补片矫治~~术
35.5400x005 房室通道人造补片修补术
35.5400x006 完全型心内膜垫缺损人造补片矫治~~术
35.5500x001 经皮室间隔缺损封堵术
35.5500x001 经皮室间隔缺损封堵术
35.6100x001 胸腔镜下房间隔缺损组织补片修补~~术
35.6101 房间隔缺损组织补片修补术
35.6102 卵圆孔未闭组织补片修补术
35.6201 室间隔缺损组织补片修补术
35.6300x002 心内膜垫缺损组织补片矫治术
35.6300x003 部分型心内膜垫缺损组织补片矫治~~术
35.6300x004 完全型心内膜垫缺损组织补片矫治~~术
35.6300x005 移行型心内膜垫缺损组织补片矫治~~术
35.7100x002 卵圆孔未闭修补术
35.7100x003 房间隔部分闭合术
35.7100x004 房间隔开窗闭合术
35.7100x005 房间隔膨出瘤修补术
35.7100x007 人工房间隔再造术
35.7100x008 单心房矫治术
35.7100x009 房间隔缺损修补术
35.7101 胸腔镜下房间隔缺损修补术
35.7200x001 室间隔缺损修补术
35.7200x002 多发室间隔缺损修补术
35.7201 胸腔镜下室间隔缺损修补术
35.7300x002 心内膜垫缺损矫治术
35.7300x003 右房右室异常通道修补术
35.7300x004 部分型心内膜垫缺损矫治术
35.7300x005 房室通道修补术
35.7300x006 完全型心内膜垫缺损矫治术
35.7300x007 移行型心内膜垫缺损矫治术
35.7301 胸腔镜下心内膜垫缺损修补术
35.8100x001 法乐氏四联症根治术
35.8100x002 法乐氏三联症根治术
35.8100x003 法乐氏三联症矫治术
35.8100x004 法乐氏五联症根治术
35.8100x005 右室流出道补片修补术
35.8100x006 左室流出道补片修补术
35.8200x006 部分型肺静脉畸形引流矫治术
35.8200x008 胸腔镜下肺静脉畸形引流矫治术
35.8200x009 左心房一肺静脉干吻合术
35.8200x010 部分型肺静脉畸形引流心内直视修~~复术
35.8200x011 混合型肺静脉畸形引流心内直视修~~复术
35.8200x012 完全型肺静脉畸形引流心内直视修~~复术
35.8201 完全肺静脉异位引流矫正术
35.8300x004 肺动脉干全部矫正术
35.8300x005 永存动脉干修补术
35.8301 肺动脉干全部修补术
35.8302 肺动脉干全部矫正术伴室间隔缺损假体~~修补术
35.8303 肺动脉干全部修补术伴右室代替肺动脉~~供血建造术
35.8304 主动脉-肺动脉间隔缺损修补术
35.8305 肺动脉干加宽术
35.8307 完全动脉干矫正术
35.8308 完全动脉干矫正伴室间隔缺损假体置入~~术
35.8309 共同动脉干矫正术
35.8400x001 大血管转位矫正术
35.8400x002 Nikaidoh 手术
35.8400x003 双动脉根部调转术
35.9101 马斯塔德手术
35.9102 心房内调转术
35.9200x001 右心室-肺动脉分流术[Rastelli 手~~术]
35.9200x003 右心室—肺动脉外通道置换术
35.9200x004 单源化手术
35.9200x005 右室双出口矫治术
35.9201 拉斯特里氏手术
35.9202 REV 手术
35.9300x002 心室内隧道修补术
35.9300x003 左心室-主动脉隧道修补术
35.9300x005 Damus-Kaye-Stansel 手术
35.9301 左心室双出口直视修复术
35.9302 左心室尖-主动脉分流术
35.9400x003 右心耳-肺动脉不带瓣管道吻合术
35.9400x004 右心耳-肺动脉带瓣管道吻合术
35.9400x005 右心耳-肺动脉直接吻合术
35.9400x006 半方坦手术[半 Fontan 手术]
35.9401 方坦手术
35.9402 改良方坦手术
35.9500x001 人造心脏瓣膜重新缝合术
35.9500x003 主动脉瓣瓣周漏修补术
35.9500x004 二尖瓣瓣周漏修补术
35.9500x005 三尖瓣瓣周漏修补术
35.9501 心脏间隔补片再缝合术
35.9900x001 三尖瓣瓣膜切除术(非瓣膜置换)
35.9900x002 三尖瓣闭合术(单心室)
36.0300x002 冠状动脉内膜剥脱术
36.0300x003 冠状动脉内膜剥脱术伴补片移植术
36.0300x006 冠状动脉开口成形术
36.0301 冠状动脉内膜切除术
36.0302 冠状动脉内膜切除伴补片修补术
36.0303 冠状动脉血栓切除术
36.1000x001 主动脉-冠状动脉搭桥术
36.1000x002 带蒂左冠状动脉移植术
36.1100 一根冠状动脉的(主动脉)冠状动脉旁路~~移植
36.1200 二根冠状动脉的(主动脉)冠状动脉旁路~~移植
36.1300 三根冠状动脉的(主动脉)冠状动脉旁路~~移植
36.1400 四根或以上冠状动脉的(主动脉)冠状动~~脉旁路移植
36.1500 单乳房内动脉-冠状动脉旁路移植
36.1600 双乳房内动脉-冠状动脉旁路移植
36.1700x001 胃网膜动脉-冠状动脉搭桥术
36.1900x001 左锁骨下动脉-左冠状动脉吻合术
36.2x00 动脉植入的心脏血管再形成术
36.3100x001 心肌激光打孔术
36.3900x001 心脏网膜固定术
36.3901 心肌细胞移植术
36.9100 冠状血管动脉瘤修补术
36.9900x002 冠状动脉探查术
