包含以下主要诊断：
S00.102 额部血肿
S07.000 面部挤压伤
S07.100 颅骨挤压伤
S07.800 头部其他部位的挤压伤
S07.900 头部挤压伤
S08.900 头部的创伤性切断
S09.100x001 头部肌肉损伤
S09.700 头部多处损伤
S11.800x011 颈部开放性损伤伴颈椎骨折
S11.800x021 颈部开放性损伤伴颈椎脱位
S18.x00x001 砍头
S19.700 颈部多处损伤
S21.100x002 胸骨前区开放性损伤
S21.101 开放性肋部前壁损伤
S21.200x001 背部开放性损伤
S21.200x002 胸壁外部开放性损伤
S21.201 开放性胸后壁损伤
S21.202 开放性肋后壁损伤
S21.203 开放性肩胛间区损伤
S21.700 胸壁多处开放性伤口
S21.800x011 胸部开放性损伤伴骨折
S21.800x021 胸部开放性损伤伴脱位
S21.800x031 胸部开放性损伤伴胸内损伤
S21.900x001 胸壁开放性损伤
S21.900x003 创伤性胸部异物
S21.901 开放性胸部损伤
S23.300 胸椎扭伤和劳损
S29.800 胸部其他特指的损伤
S30.201 创伤性会阴血肿
S31.000x003 骶骨区开放性损伤
S31.000x004 骨盆开放性损伤
S31.000x005 下背开放性损伤
S31.000x006 臀部开放性损伤伴异物
S31.003 开放性会阴损伤
S31.004 开放性臀部损伤
S31.005 开放性腰背部损伤
S31.006 臀部异物
S31.100 腹壁开放性伤口
S31.100x002 腹上部开放性损伤
S31.100x003 胁腹开放性损伤
S31.100x005 髂区开放性损伤
S31.100x007 阴部开放性损伤
S31.101 开放性季肋部损伤
S31.102 开放性腹股沟损伤
S31.700 腹部、下背和骨盆多处开放性伤口
S31.800x003 创放性腹部异物
S31.800x011 下背开放性损伤伴骨折
S31.800x012 骨盆开放性损伤伴骨折
S31.800x021 下背开放性损伤伴脱位
S31.800x022 骨盆开放性损伤伴脱位
S31.800x031 腹部开放性损伤伴腹内器官损伤
S31.801 开放性腹部损伤
S31.802 开放性腹部异物
S31.803 阴道直肠贯通伤
S31.804 创伤性肛括约肌裂伤
S31.805 创伤性肛门裂伤
S37.700 多个盆腔器官损伤
S37.900 盆腔器官的损伤
S38.100x002 腹部挤压伤
S38.100x003 下背挤压伤
S38.100x004 骨盆挤压伤
S38.101 腹部、下背和骨盆挤压伤
S38.300x001 躯干切断
S38.300x002 腹部切断
S38.301 创伤性腹背部切断
S38.302 创伤性下背切断
S38.303 创伤性骨盆切断
S39.600 腹内器官伴有盆腔器官的损伤
S39.700 腹部、下背和骨盆其他多处损伤
S39.900x002 下背损伤
S39.900x004 腹股沟损伤
S39.903 会阴损伤
S39.907 腹部损伤
S39.908 盆腔损伤
S41.000 肩开放性伤口
S41.000x002 肩胛带开放性损伤
S41.100 上臂开放性伤口
S41.700 肩和上臂多处开放性伤口
S41.800x001 腋窝开放性损伤
S41.800x011 肩部开放性损伤伴骨折
S41.800x012 上臂开放性损伤伴骨折
S41.800x021 肩部开放性损伤伴脱位
S41.800x022 上臂开放性损伤伴脱位
S41.802 开放性肩带损伤
S47.x00x002 肩部挤压伤
S47.x01 上臂挤压伤
S48.000 肩关节处创伤性切断
S48.100x001 上臂切断
S49.900x001 肩部损伤
S51.000 肘开放性伤口
S51.700 前臂多处开放性伤口
S51.800x011 前臂开放性损伤伴骨折
S51.800x021 前臂开放性损伤伴脱位
S57.000 肘挤压伤
S57.900 前臂的挤压伤
S58.000x001 肘创伤性切断
S58.100x001 肘和腕关节之间水平创伤性切断
S58.900x001 前臂创伤性切断
S61.000x001 手指开放性损伤
S61.000x002 拇指开放性损伤
S61.100x001 手指开放性损伤伴指甲损伤
S61.100x002 拇指开放性损伤伴指甲损伤
S61.700 腕和手多处开放性伤口
S61.800x011 腕和手开放性损伤伴骨折
S61.800x012 手部开放性损伤伴骨折
S61.800x013 腕部开放性损伤伴骨折
S61.800x021 腕和手开放性损伤伴脱位
S61.800x022 手部开放性损伤伴脱位
S61.800x023 腕部开放性损伤伴脱位
S61.800x081 手掌开放性损伤
S61.900 腕和手的开放性伤口
S61.900x002 腕部开放性损伤
S61.900x004 手部爆炸伤
S67.000x001 拇指挤压伤
S67.000x003 手指碾挫伤
S67.001 手指挤压伤
S67.800x001 腕部挤压伤
S67.800x003 手部碾挫伤
S67.801 手挤压伤
S68.000x002 拇指不全切断
S68.100x002 单指完全离断
S68.400x001 手腕部创伤性切断
