包含以下主要诊断：
A04.000x001 新生儿肠致病性大肠杆菌肠炎
A04.100x002 新生儿肠毒性大肠杆菌肠炎
A04.200x002 新生儿肠侵袭性大肠杆菌肠炎
A04.301 新生儿肠出血性大肠杆菌肠炎
A04.400x003 新生儿肠粘附性大肠杆菌肠炎
A04.402 新生儿大肠杆菌肠炎
A09.900x005 新生儿腹泻
A33.x00 新生儿破伤风
A54.301+H13.1* 淋球菌性新生儿眼炎
E55.000x006 新生儿佝偻病
E84.101+P75* 囊性纤维化性胎粪性肠梗阻
G00.902 新生儿化脓性脑膜炎
L00.x01 新生儿天疱疮
L01.006 新生儿大疱性脓疱疮
P05.001 低体重儿
P05.100 小于胎龄
P05.102 足月小样低体重儿
P05.200 胎儿营养不良
P05.900 胎儿生长缓慢
P05.900x001 胎儿宫内生长迟缓
P07.000 极低出生体重（小于 999 克）
P07.001 极低出生体重儿(500-999 克)
P07.002 极低出生体重儿（小于 499 克）
P07.100 其他低出生体重（1000-2499 克）
P07.101 低出生体重儿（1500-2499 克）
P07.102 低出生体重儿（1000-1499 克）
P07.200 极度不成熟
P07.200x011 未成熟儿(孕期小于 24 整周)
P07.200x021 未成熟儿(孕期等于或大于 24 整周以~~上,但小于 28 整周)
P07.300 早产婴儿，其他的
P07.300x001 早产儿
P07.300x011 早产儿(孕期等于或大于 28 整周,但~~小于 32 整周)
P07.300x021 早产儿(孕期等于或大于 32 整周,但~~小于 37 整周)
P08.000 特大婴儿
P08.100x001 大于胎龄儿
P08.100x002 巨大儿
P08.200x002 过期产儿
P10.000 产伤引起的硬膜下出血
P10.100 产伤引起的大脑出血
P10.200 产伤引起的脑室内出血
P10.300 产伤引起的蛛网膜下隙出血
P10.400 产伤引起的脑幕撕裂
P10.800 产伤引起的其他颅内撕裂和出血
P10.901 产伤致新生儿颅内出血
P11.000 产伤引起的脑水肿
P11.100 产伤引起的其他特指的脑损害
P11.101 产伤致新生儿脑白质损伤
P11.200 产伤引起的脑损害
P11.300 面神经产伤
P11.400 脑神经的产伤，其他的
P11.500x002 新生儿脊髓损伤
P11.500x003 新生儿脊柱损伤
P11.900x001 新生儿中枢神经系统损伤
P12.000x001 新生儿头颅血肿
P12.100 产伤引起的热带毛孢子菌病
P12.201 产伤引起的帽状腱膜下血肿
P12.300 产伤引起的头皮挫伤
P12.400 新生儿头皮监测性损伤
P12.801 产伤致新生儿头皮水肿
P12.900 头皮产伤
P13.000 产伤引起的颅骨骨折
P13.100 颅骨的其他产伤
P13.200 股骨产伤
P13.300 长骨的产伤，其他的
P13.301 产伤致新生儿肱骨骨折
P13.400 产伤引起的锁骨骨折
P13.800 骨骼其他部位的产伤
P13.801 产伤致新生儿肋骨骨折
P13.900 骨骼产伤
P14.000 产伤引起的埃尔布麻痹
P14.100 产伤引起的克隆普克麻痹
P14.200 产伤引起的膈神经麻痹
P14.300 臂丛神经的产伤，其他的
P14.800x001 新生儿喉返神经麻痹
P14.800x002 新生儿桡神经麻痹
P14.900 周围神经系统的产伤
P15.000 肝的产伤
P15.100 脾的产伤
P15.201 产伤致新生儿斜颈
P15.300 眼的产伤
P15.400 面部产伤
P15.500 外生殖器产伤
P15.600 产伤引起的皮下脂肪坏死
P15.800x004 新生儿软组织挤压伤
P15.801 产伤致新生儿咽部损伤
P15.802 产伤致新生儿肛门裂伤
P15.803 产伤致新生儿足挫伤
P15.804 产伤致新生儿皮肤损伤
P15.900 产伤
P15.901 新生儿挤压综合征
P20.000 在产程开始前首先察觉到的子宫内低氧~~症
P20.100 在产程和分娩中首先察觉到的子宫内低~~氧症
P20.900 子宫内低氧症
P20.901 新生儿子宫内低氧酸中毒
P21.000 严重的出生窒息
P21.101 新生儿中度出生窒息
P21.102 新生儿轻度出生窒息
P21.900 出生窒息
P21.900x002 新生儿低氧血症
P22.000 新生儿呼吸窘迫综合征
P22.000x001 新生儿肺透明膜病
P22.100x003 新生儿肺水肿
P22.101 新生儿湿肺
P22.801 新生儿呼吸困难
P22.900 新生儿的呼吸窘迫
P23.000x001 新生儿病毒性肺炎
P23.100 衣原体性先天性肺炎
P23.200 葡萄球菌性先天性肺炎
P23.300 B 族链球菌性先天性肺炎
P23.400 大肠杆菌性先天性肺炎
P23.500 假单胞菌性先天性肺炎
P23.600 先天性肺炎，其他细菌性病原体引起的
P23.600x001 新生儿支原体肺炎
P23.600x002 新生儿流感嗜血杆菌肺炎
