包含以下主要手术或操作：
00.1000 化学治疗物质植入
01.0100 脑池穿刺
01.0100x002 小脑延髓池穿刺术
01.0200x001 经脑室分流导管脑室穿刺术
01.0900x002 脑室穿刺术
01.0900x003 前囟门穿刺术
01.0900x004 硬脑膜下腔穿刺抽吸术
01.0900x005 小脑穿刺术
01.0900x006 颅内血肿硬通道穿刺引流术
01.0900x007 立体定向颅内血肿穿刺引流术
01.0900x008 脑脓肿穿刺引流术
01.0900x009 脑室钻孔引流术
01.0901 颅内穿刺引流术
01.1100x001 经皮脑膜活检
01.1300x001 经皮脑活检
01.1300x002 立体定向脑活检
01.1301 神经导航下颅内病变活组织检查
01.1600x001 脑氧分压监护探头置入术
01.1700x001 脑温探头置入术
01.2500x003 颅骨清创术
01.2501 颞骨全切除术
01.2502 颞骨部分切除术
01.2503 颅骨部分切除术
01.2504 颅骨死骨切除术
01.2505 眶板眶顶切除术
01.2506 颅骨骨碎片取除术
01.2507 茎突截短术
04.0200x006 鼻内镜下三叉神经切断术
04.0200x007 三叉神经射频毁损术
04.0200x007 三叉神经射频毁损术
04.0200x007 三叉神经射频毁损术
04.0200x008 三叉神经半月节球囊压迫术
04.0200x008 三叉神经半月节球囊压迫术
04.0300x002 闭孔神经切断术
04.0300x013 翼管神经切断术
04.0300x014 眶神经切断术
04.0300x015 枕大神经切断术
04.0300x016 臂丛神经切断术
04.0300x017 正中神经切断术
04.0300x018 腹股沟区神经切断术
04.0300x019 胫前神经切断术
04.0300x020 胫后神经切断术
04.0300x021 腓肠神经切断术
04.0304 周围神经切断术
04.0305 指神经切断术
04.0306 趾神经切断术
04.0307 运动神经切断术
04.0308 坐骨神经切断术
04.0309 胫神经肌支切断术
04.0310 腓神经切断术
04.0400x025 牙槽神经探查术
04.0400x029 胸背神经探查术
04.0400x030 舌神经探查术
04.0400x031 足神经探查术
04.0405 喉返神经探查术
04.0407 舌下神经探查术
04.0408 周围神经探查术
04.0409 颈丛神经探查术
04.0410 臂丛神经探查术
04.0411 腰丛神经探查术
04.0412 骶丛神经探查术
04.0413 膈神经探查术
04.0414 坐骨神经探查术
04.0415 腋神经探查术
04.0416 肌皮神经探查术
04.0417 肩胛上神经探查术
04.0418 正中神经探查术
04.0419 尺神经探查术
04.0420 桡神经探查术
04.0421 指神经探查术
04.0422 肋间神经探查术
04.0423 股神经探查术
04.0424 胫神经探查术
04.0425 腓总神经探查术
04.0426 足底神经探查术
04.0500 半月神经节切除术
04.0600x001 颅神经节切除术
04.0600x002 周围神经节切除术
04.0700x030 神经内镜下经鼻腔视神经管减压术
04.0700x031 鼻内镜下视神经病损切除术
04.0700x032 鼻内镜下筛前神经烧灼术
04.0700x033 筛前神经烧灼术
04.0700x034 蝶腭神经烧灼术
04.0700x035 嗅神经病损切除术
04.0700x036 动眼神经病损切除术
04.0700x037 滑车神经病损切除术
04.0700x038 外展神经病损切除术
04.0700x039 舌咽神经病损切除术
04.0700x040 迷走神经病损切除术
04.0700x041 舌下神经病损切除术
04.0700x042 副神经病损切除术
04.0700x043 下颌神经病损切除术
04.0700x044 肋间神经病损切除术
04.0700x045 纵隔神经病损切除术
04.0700x046 腹膜后神经病损切除术
