包含以下主要诊断：
A18.300x009+K93.0* 腹腔结核
A18.300x013+K93.0* 结核性胃结肠瘘
A18.300x014+K93.0* 结核性直肠瘘
A18.300x015+K93.0* 膈下结核性脓肿
A18.300x016 腹膜后结核
A18.302+K93.0* 阑尾结核
A18.303+K93.0* 肠结核
A18.304+K93.0* 结核性肠炎
A18.305+K93.0* 结肠结核瘤
A18.306+K93.0* 结核性肛瘘
A18.307+K93.0* 肛周结核
A18.308 腹腔淋巴结结核
A18.309 结核性腹腔积液
A18.310 腹膜后淋巴结结核
A18.311+K93.0* 腹膜结核
A18.312+K93.0* 腹部结核性脓肿
A18.313+K93.0* 腹部结核性窦道
A18.314+K67.3* 结核性腹膜炎
A18.315+K93.0* 肠系膜结核
A18.316+K93.0* 肠系膜淋巴结结核
A18.812+K93.8* 胃结核
A52.710+K67.2* 梅毒性腹膜炎
A54.807+K67.1* 淋球菌性腹膜炎
A74.801+K67.0* 衣原体腹膜炎
B37.800x091 念珠菌性腹膜炎
B46.200x001+K93.8* 胃肠型毛霉菌病
B66.501 肠吸虫病
B77.000x001+K93.8* 肠蛔虫病
B77.001+K93.8* 蛔虫性肠穿孔
B82.000 肠道蠕虫病
B82.900 肠道寄生虫病
B82.901 肠寄生虫性脓肿
B87.800x002+K93.8* 肠蝇蛆病
D12.000 盲肠良性肿瘤
D12.000x002 回盲瓣良性肿瘤
D12.001 回盲部良性肿瘤
D12.100 阑尾良性肿瘤
D12.200 升结肠良性肿瘤
D12.300 横结肠良性肿瘤
D12.301 结肠肝曲良性肿瘤
D12.302 结肠脾曲良性肿瘤
D12.400 降结肠良性肿瘤
D12.500 乙状结肠良性肿瘤
D12.600 结肠良性肿瘤
D12.601 家族性息肉病
D12.602 结肠腺瘤样息肉病
D12.603 大肠良性肿瘤
D12.700 直肠乙状结肠连接处良性肿瘤
D12.800 直肠良性肿瘤
D12.900x001 肛门良性肿瘤
D12.901 肛管良性肿瘤
D13.000 食管良性肿瘤
D13.100 胃良性肿瘤
D13.101 贲门良性肿瘤
D13.200 十二指肠良性肿瘤
D13.301 小肠良性肿瘤
D13.302 空肠良性肿瘤
D13.303 回肠良性肿瘤
D13.304 麦克尔憩室良性肿瘤
D13.900 消化系统内不明确部位的良性肿瘤
D13.900x003 消化道多发息肉综合征
D13.902 肠良性肿瘤
D17.500 腹腔内器官良性脂肪瘤样肿瘤
D17.500x001 肠系膜脂肪瘤
D17.500x003 肠脂肪瘤
D17.500x004 腹腔脂肪瘤
D17.500x005 盆腔脂肪瘤
D17.500x007 回盲部脂肪瘤
D17.500x008 胃脂肪瘤
D17.500x009 十二指肠球部脂肪瘤
D17.700x017 贲门脂肪瘤
D17.700x022 食管脂肪瘤
D17.700x027 肛旁脂肪瘤
D17.701 腹膜脂肪瘤
D17.702 腹膜后脂肪瘤
D18.000x040 贲门血管瘤
D18.000x041 肠系膜血管瘤
D18.000x042 肠血管瘤
D18.000x043 结肠血管瘤
D18.000x045 食道血管瘤
D18.000x046 小肠血管瘤
D18.000x801 腹膜后血管瘤
D18.000x825 肛门血管瘤
D18.000x838 上消化道血管瘤
D18.000x859 腹股沟血管瘤
D18.012 腹腔血管瘤
D18.100x001 肠系膜淋巴管瘤
D18.106 腹腔淋巴管瘤
D19.100 腹膜间皮组织良性肿瘤
D20.000 腹膜后腔良性肿瘤
D20.100 腹膜良性肿瘤
D20.101 网膜良性肿瘤
D20.102 肠系膜良性肿瘤
D36.700x014 腹部良性肿瘤
D36.700x018 直肠膀胱隔良性肿瘤
D36.700x019 直肠阴道隔良性肿瘤
D36.707 腹腔良性肿瘤
D36.708 腹股沟良性肿瘤
D36.901 多发性腺瘤样息肉
D37.100x001 贲门交界性肿瘤
D37.100x002 胃交界性肿瘤
D37.100x003 胃角交界性肿瘤
D37.101 胃肿瘤
D37.102 贲门动态未定肿瘤
D37.103 贲门肿瘤
D37.200x001 十二指肠交界性肿瘤
D37.200x002 小肠交界性肿瘤
D37.200x003 空肠交界性肿瘤
D37.200x004 回肠交界性肿瘤
D37.201 小肠肿瘤
D37.202 十二指肠动态未定肿瘤
D37.203 十二指肠肿瘤
D37.204 空肠动态未定肿瘤
D37.205 空肠肿瘤
D37.206 回肠动态未定肿瘤
D37.207 回肠肿瘤
D37.300x001 阑尾交界性肿瘤
D37.301 阑尾肿瘤
D37.400x001 结肠交界性肿瘤
D37.400x002 乙状结肠交界性肿瘤
D37.401 结肠肿瘤
D37.402 升结肠动态未定肿瘤
D37.403 升结肠肿瘤
D37.404 横结肠动态未定肿瘤
D37.405 横结肠肿瘤
D37.406 降结肠动态未定肿瘤
D37.407 降结肠肿瘤
D37.408 乙状结肠动态未定肿瘤
D37.409 乙状结肠肿瘤
D37.410 盲肠动态未定肿瘤
D37.411 盲肠肿瘤
D37.500x001 直肠交界性肿瘤
D37.500x002 直肠乙状结肠连接部交界性肿瘤
D37.501 直肠肿瘤
D37.502 直肠乙状结肠交界处动态未定肿瘤
D37.503 直肠乙状结肠交界处肿瘤
D37.606 壶腹部动态未定肿瘤
D37.607 壶腹部肿瘤
D37.700x001 肠交界性肿瘤
D37.700x002 食管交界性肿瘤
D37.700x007 肛管交界性肿瘤
D37.701 食管动态未定肿瘤
D37.702 食管肿瘤
D37.707 肠动态未定肿瘤
D37.708 肠肿瘤
D37.709 肛门动态未定肿瘤
D37.710 肛门肿瘤
