包含以下主要诊断：
A01.001+K77.0* 伤寒性肝炎
A06.400+K77.0* 阿米巴肝脓肿
A18.301 肝门淋巴结结核
A18.814+K77.0* 肝结核
A50.000x002+K77.0* 早期先天性梅毒性肝炎
A51.400x008+K77.0* 二期梅毒性肝炎
A52.700x007+K77.0* 梅毒性肝病
B00.802+K77.0* 疱疹病毒性肝炎
B00.803+K77.0* EB 病毒性肝炎
B05.800x003+K77.0* 麻疹并发肝炎
B25.100+K77.0* 巨细胞病毒性肝炎
B26.802+K77.0* 流行性腮腺炎性肝炎
B44.803 肝曲霉病
B54.x00 疟疾
B54.x00x003+K77.0* 疟疾性肝炎
B58.100+K77.0* 弓形虫肝炎
B65.900x004+K77.0* 血吸虫性门静脉高压
B65.900x010+K77.0* 肝血吸虫病
B65.903+K77.0* 血吸虫性肝炎
B66.100x001+K77.0* 中华肝吸虫病
B66.301 肝片吸虫病
B67.000x001+K77.0* 肝细粒棘球蚴病
B67.500x001+K77.0* 肝泡型棘球蚴病
B67.800x001+K77.0* 肝棘球蚴病[肝包虫病]
D13.400 肝良性肿瘤
D13.401 肝内胆管良性肿瘤
D13.500x001 胆管良性肿瘤
D13.500x003 法特壶腹良性肿瘤
D13.501 胆囊良性肿瘤
D17.700x015 肝脂肪瘤
D18.013 肝血管瘤
D37.600x003 肝交界性肿瘤
D37.600x004 肝胆管交界性肿瘤
E80.400 吉尔伯特综合征
E80.500 克里格勒-纳贾综合征
E80.501 葡萄糖醛酸转移酶缺乏
E80.600x005 体质性高胆红素血症
E80.600x006 胆红素排泄障碍
E80.600x007 肝炎后高胆红素血症
E80.600x008 家族性肝内胆汁淤积症[Byler 病]
E80.601 迪宾-约翰逊综合征
E80.602 先天性高胆红素血症
E80.603 罗托综合征
E83.102 肝含铁血黄素沉积症
E85.415+K77.8* 淀粉样变肝损害
I72.800x072 肝动脉假性动脉瘤
I72.809 肝动脉瘤
I74.800x016 肝动脉闭塞
I74.803 肝动脉栓塞
I74.804 肝动脉血栓形成
I77.000x017 肝动静脉瘘
I77.100x011 肝动脉狭窄
I81.x00 门静脉血栓形成
