包含以下主要诊断：
D48.900x005+M90.6* 肿瘤引起的变形性骨炎
D86.800x006+M14.8* 结节病性关节病
E03.900x005+M14.5* 甲状腺功能减退性关节炎
E05.900x005+M14.5* 甲状腺毒症性关节病
E10.600x011+M14.6* 1 型糖尿病性夏科关节病
E10.600x012+M14.2* 1 型糖尿病性手关节综合征
E10.600x015+M14.2* 1 型糖尿病性肩关节周围炎
E10.601+M14.2* 1 型糖尿病性关节病
E10.602+M14.6* 1 型糖尿病神经病性关节病
E11.600x011+M14.6* 2 型糖尿病性夏科关节病
E11.600x012+M14.2* 2 型糖尿病性手关节综合征
E11.600x015+M14.2* 2 型糖尿病性肩关节周围炎
E11.601+M14.2* 2 型糖尿病性关节病
E11.602+M14.6* 2 型糖尿病神经病性关节病
E14.600x011+M14.6* 糖尿病性夏科关节病
E14.600x012+M14.2* 糖尿病性手关节综合征
E14.600x015+M14.2* 糖尿病性肩关节周围炎
E14.600x016+M14.2* 糖尿病性骨关节病
E21.300x003+M14.1* 甲状旁腺功能亢进症性晶体~~性关节病
E22.000x006+M14.5* 肢端肥大症性关节病
E83.100x006+M14.5* 血色素沉着型关节病
E83.300x008+M90.8* 维生素 D 依赖性佝偻病
E83.300x012+M90.8* 维生素 D 抵抗性骨软化
E83.307+M90.8* 低磷性骨软化症
E83.308+M90.8* 低磷性佝偻病
E88.902+M90.8* 代谢性骨病
L40.502+M09.0* 银屑病性幼年型关节炎
M02.000 肠旁路术后关节病
M02.100 痢疾后关节病
M02.200 免疫后关节病
M02.201 血清性关节炎
M02.900 反应性关节病
M05.900 血清反应阳性的类风湿性关节炎
M06.000 血清反应阴性的类风湿性关节炎
M06.001 复发性血清阴性对称性滑膜炎伴凹陷性水~~肿
M06.400 炎性多关节病
M06.800 类风湿性关节炎，其他特指的
M06.800x051 类风湿性髋关节炎
M06.800x071 类风湿性足关节炎
M06.900 类风湿性关节炎
M06.906 类风湿性膝关节关节炎
M06.909 类风湿性多部位关节炎
M08.000 幼年型类风湿性关节炎
M08.001 幼年型类风湿因子阴性关节炎
M08.200 幼年型关节炎伴有全身性发病
M08.201 幼年型斯蒂尔病
M08.800x091 幼年型特发性关节炎
M10.000 特发性痛风
M10.000x094 原发性痛风
M10.002 痛风性关节炎
M10.003 痛风性滑囊炎
M10.100 铅性痛风
M10.200 药物性痛风
M10.300 肾功能损害引起的痛风
M10.900 痛风
M10.900x093 痛风石
M10.901 痛风体质
M10.902+H62.8* 耳痛风石
M10.903 痛风结节
M11.000 羟磷灰石沉着病
M11.100 家族性软骨钙沉着
M11.201 软骨钙质沉着
M11.900 结晶性关节病
M12.000 慢性风湿病后关节病[雅库综合征]
M12.100 卡斯钦-贝克病[大骨节病]
M12.200 绒毛结节性滑膜炎(色素沉着的)
M12.200x011 肩关节色素沉着绒毛结节性滑膜炎
M12.200x021 肘关节色素沉着绒毛结节性滑膜炎
M12.200x031 腕关节色素沉着绒毛结节性滑膜炎
M12.200x051 髋关节色素沉着绒毛结节性滑膜炎
M12.200x061 膝色素沉着绒毛结节性滑膜炎
M12.200x071 踝关节色素沉着绒毛结节性滑膜炎
M12.400 间歇性关节积水
M12.500 创伤性关节病
M12.500x011 肩关节创伤性关节病
M12.500x021 肘关节创伤性关节病
M12.500x031 腕关节创伤性关节病
M12.500x051 髋关节创伤性关节病
M12.500x061 膝关节创伤性关节病
M12.500x071 踝关节创伤性关节病
M12.801 短暂性关节炎(病)
M13.000 多关节炎
M13.100 单关节炎
M13.100x011 胸锁关节炎
M13.800x001 变应性关节炎
M13.802 更年期关节炎
M13.900 关节炎
M15.000 原发性全身性(骨)关节病
M15.100 赫伯登结节(伴有关节病)
M15.200 布沙尔结节(伴有关节病)
M15.300 继发性多发性关节病
M15.301 创伤后多关节病
M15.400 侵蚀性(骨)关节病
M15.401 糜烂性骨关节病
M15.900 多关节病
M15.900x003 重度多关节病
M15.901 萎缩性多关节炎
M15.902 全身性骨关节炎
M16.000 原发性双侧髋关节病
M16.101 原发性单侧髋关节病
M16.200 发育异常导致的双侧髋关节病
M16.301 发育异常性单侧髋关节病
M16.400 创伤后双侧髋关节病
M16.501 创伤后单侧髋关节病
M16.600 继发性双侧髋关节病，其他的
M16.701 继发性单侧髋关节病
M16.900 髋关节病
M16.900x002 双侧髋关节骨性关节病
M16.900x011 髋关节周围炎
M16.900x012 髋关节退行性病变
M16.901 老年性髋关节病
M17.000 原发性双侧膝关节病
M17.101 原发性单侧膝关节病
M17.200 创伤后双侧膝关节病
M17.301 创伤后单侧膝关节病
M17.400 继发性双侧膝关节病，其他的
M17.500x002 独眼征(膝 CYCLOPS 形成)
M17.501 继发性单侧膝关节病
M17.900 膝关节病
M17.900x002 膝关节退行性病变
M17.900x003 双侧膝关节骨性关节病
M17.900x004 单侧膝关节骨性关节病
M18.000 双侧第一腕掌关节的原发性关节病
M18.101 单侧第一腕掌关节原发性关节病
M18.200 双侧第一腕掌关节的创伤后关节病
M18.301 单侧第一腕掌关节创伤后关节病
M18.400x001 继发性双侧第一腕掌关节病
M18.501 单侧第一腕掌关节继发性关节病
M18.900 第一腕掌关节的关节病
M18.900x002 双侧腕关节骨性关节病
M19.001 原发性关节病
M19.101 创伤后关节病
M19.201 继发性关节病
M19.800 关节病，其他特指的
M19.900 关节病
M19.900x092 重度骨关节病
M19.900x093 指骨关节病
M19.900x094 趾骨关节病
M19.900x095 跖骨关节病
M19.900x096 距下关节骨性关节病
M19.900x097 跖趾关节骨性关节病
