包含以下主要手术或操作：
38.7x01 腔静脉结扎术
38.7x02 腔静脉折叠术
38.7x03 上腔静脉滤器置入术
38.7x04 下腔静脉滤器置入术
54.1202 近期开腹术后腹腔止血术
54.4x10 腹腔镜下盆腔腹膜病损切除术
54.6101 腹壁切口裂开缝合术
65.0100x002 腹腔镜下卵巢切开探查术
65.0103 腹腔镜卵巢脓肿切开引流术
65.0105 腹腔镜卵巢囊肿开窗术
65.0900x003 卵巢切开探查术
65.0900x003 卵巢切开探查术
65.0900x004 卵巢切开血肿清除术
65.0903 卵巢脓肿切开引流术
65.0905 卵巢囊肿开窗术
65.1200x001 直视下卵巢活检术
65.1201 卵巢活组织检查
65.1300 腹腔镜卵巢活组织检查
65.2100 卵巢囊肿袋形缝合术[造袋术]
65.2200 卵巢楔形切除术
65.2300 腹腔镜卵巢囊肿袋形缝合术[造袋术]
65.2400 腹腔镜卵巢楔形部分切除术
65.2500x003 腹腔镜下卵巢病损烧灼术
65.2500x005 腹腔镜下卵巢囊肿穿刺术
65.2500x011 腹腔镜下卵巢电凝术
65.2501 腹腔镜卵巢病损切除术
65.2502 腹腔镜卵巢病损破坏术
65.2503 腹腔镜卵巢黄体切除术
65.2504 腹腔镜卵巢黄体破坏术
65.2505 腹腔镜卵巢部分切除术
65.5300 腹腔镜双侧卵巢切除术
65.6100 双侧输卵管卵巢切除术
65.6101 经阴道双侧输卵管卵巢切除术
65.6300 腹腔镜双侧卵巢和输卵管切除术
65.6301 双侧输卵管卵巢切除术，经阴道+腹腔镜
65.7100x001 卵巢单纯缝合术
65.7300x001 输卵管-卵巢成形术
65.7400 腹腔镜卵巢单纯缝合术
65.7600 腹腔镜输卵管卵巢成形术
65.7900x008 腹腔镜下卵巢破裂修补术
65.7900x009 腹腔镜下卵巢破裂止血术
65.7901 卵巢成形术
65.7902 卵巢固定术
65.7903 卵巢悬吊术
65.7904 腹腔镜卵巢悬吊术
65.7905 腹腔镜卵巢成形术
65.8100 腹腔镜卵巢和输卵管粘连松解术
65.8101 腹腔镜卵巢粘连松解术
65.8102 腹腔镜输卵管粘连松解术
65.8900x001 输卵管-卵巢粘连松解术
65.8901 卵巢粘连松解术
65.8902 输卵管粘连松解术
65.9100 卵巢抽吸术
65.9101 腹腔镜卵巢穿刺抽吸术
65.9300 卵巢囊肿手法破裂术
65.9500 卵巢扭转松解术
65.9900x006 腹腔镜下卵巢穿刺取卵术
