包含以下主要诊断：
A01.000x016+I41.0* 伤寒并发中毒性心肌炎
A18.808+I32.0* 结核性心包炎
A18.809+I32.0* 结核性心包积液
A18.818+I79.8* 结核性腹主动脉炎
A18.820+I39.8* 心内膜结核
A18.821+I41.0* 心肌结核
A32.802+I39.8* 利斯特菌性心内膜炎
A36.802+I41.0* 白喉性心肌炎
A38.x00x002+I41.0* 猩红热并发急性心肌炎
A39.500 脑膜炎球菌性心脏病
A39.501+I32.0* 脑膜炎球菌性心包炎
A39.502+I39.8* 脑膜炎球菌性心内膜炎
A39.503+I41.0* 脑膜炎球菌性心肌炎
A39.504+I52.0* 脑膜炎球菌性心炎
A52.000+I98.0* 心血管梅毒
A52.000x001+I52.0* 梅毒性冠状动脉口狭窄
A52.000x006+I39.1* 梅毒性主动脉瓣狭窄
A52.000x007+I39.1* 梅毒性主动脉瓣狭窄关闭不~~全
A52.000x011+I39.0* 梅毒性二尖瓣狭窄
A52.002+I79.1* 梅毒性主动脉炎
A52.003+I79.0* 梅毒性主动脉动脉瘤
A52.004+I39.1* 梅毒性主动脉瓣关闭不全
A52.005+I52.0* 梅毒性心脏病
A52.006+I39.8* 梅毒性心内膜炎
A52.007+I41.0* 梅毒性心肌炎
A52.008+I32.0* 梅毒性心包炎
A52.009+I39.3* 梅毒性肺动脉反流
A54.802+I39.8* 淋球菌性心内膜炎
A54.804+I41.0* 淋球菌性心肌炎
A54.805+I32.0* 淋球菌性心包炎
B01.800x001+I41.1* 水痘并发心肌炎
B25.803+I41.1* 巨细胞病毒性心肌炎
B26.803+I41.1* 流行性腮腺炎并心肌炎
B33.200 病毒性心炎
B33.200x001+I32.1* 柯萨奇病毒性心包炎
B33.200x002+I39.8* 柯萨奇病毒性心内膜炎
B33.200x004+I41.1* 柯萨奇病毒性心肌炎
B33.201+I41.1* 新生儿无菌性心肌炎
B37.600+I39.8* 念珠菌性心内膜炎
B49.x15 真菌性心包炎
B57.001+I98.1* 急性查加斯病累及心血管
B57.002+I41.2* 急性查加斯病伴心肌炎
B57.201+I98.1* 心血管介入性慢性查加斯病
B57.202+I41.2* 慢性查加斯病性心肌炎
B57.202+I41.2* 慢性查加斯病性心肌炎
B58.800x001+I41.2* 弓形虫心肌炎
C38.000 心脏恶性肿瘤
C38.000x004 心室恶性肿瘤
C38.001 心包恶性肿瘤
C38.002 心房恶性肿瘤
C45.200 心包间皮瘤
C49.300x006 上腔静脉恶性肿瘤
C49.402 下腔静脉恶性肿瘤
C49.900x001 结缔组织恶性肿瘤
C75.400 颈动脉体恶性肿瘤
C75.500x001 主动脉体恶性肿瘤
C75.501 节旁体恶性肿瘤
C79.800x807 心包继发恶性肿瘤
C79.800x819 腹主动脉继发恶性肿瘤
C79.800x830 血管继发恶性肿瘤
C79.800x830 血管继发恶性肿瘤
C79.800x830 血管继发恶性肿瘤
C79.800x863 恶性心包积液
C79.808 心脏继发恶性肿瘤
D15.100 心脏良性肿瘤
D15.101 心房良性肿瘤
D15.102 心室良性肿瘤
D15.103 心包良性肿瘤
D15.104 心肌良性肿瘤
D15.105 心内膜良性肿瘤
D15.106 心外膜良性肿瘤
D18.000x001 血管瘤
D18.000x003 节段性血管瘤病
D18.000x004 蓝色橡皮大疱性痣综合征
D18.000x005 溃疡残毁性血管瘤病
D18.000x822 盆腔血管瘤
D18.000x835 心房血管瘤
D18.000x836 胸壁血管瘤
D18.000x837 肺动脉瓣下血管瘤
D18.000x840 心包血管瘤
D18.000x841 心室血管瘤
D18.010 动静脉血管瘤
D20.000x002 腹主动脉旁良性肿瘤
D21.300x005 大血管良性肿瘤
D21.400 腹部结缔组织和其他软组织良性肿瘤
D21.400x004 下腔静脉良性肿瘤
D35.600x001 主动脉体良性肿瘤
D44.601 颈动脉体肿瘤
D44.700 主动脉体和其他节旁体动态未定或动态未~~知的肿瘤
D44.700x002 主动脉体交界性肿瘤
D44.700x003 颈静脉体交界性肿瘤
D44.700x004 颈静脉球交界性肿瘤
D44.701 主动脉体肿瘤
D44.702 颈静脉球动态未定肿瘤
D44.703 颈静脉球肿瘤
D48.100x008 颈静脉交界性肿瘤
D48.100x024 血管交界性肿瘤
D48.711 心脏动态未定肿瘤
D48.712 心脏肿瘤
D86.800x005+I41.8* 结节病性心肌炎
E03.900x004+I43.8* 甲状腺功能减退性心脏病
E05.900x004+I43.8* 甲状腺毒性心脏病
E05.900x004+I43.8* 甲状腺毒性心脏病
E05.903+I43.8* 甲状腺功能亢进性心脏病
E10.400x311+G99.0* 1 型糖尿病性体位性低血压
E10.502+I79.2* 1 型糖尿病性心肌病
E10.700x011 1 型糖尿病性多发性微血管并发症
E10.700x022 1 型糖尿病性高血压
E10.700x023 1 型糖尿病性肥胖症性高血压
E11.500x021+I79.2* 2 型糖尿病性周围血管病及坏~~疽
E11.501+I79.2* 2 型糖尿病性周围血管病变
E11.502+I79.2* 2 型糖尿病性心肌病
E11.700x022 2 型糖尿病性高血压
E11.700x023 2 型糖尿病性肥胖症性高血压
E13.500x241+I79.2* 继发性糖尿病大血管病变
E13.500x541+I79.2* 青少年发病的成人型糖尿病~~大血管病变
E14.500x031+I43.8* 糖尿病性缺血性心肌病
E14.500x032+I43.8* 糖尿病性心肌病
E14.700x022 糖尿病性高血压
E14.700x023 糖尿病性肥胖症性高血压
E16.800x101 糖耐量受损伴肥胖型高血压
E16.800x102 糖耐量受损伴高血压
E63.901+I43.2* 营养性心肌病
E74.006+K77.8* 肝糖原贮积症
E74.008+I43.1* 心脏糖原贮积症
E76.300x002+I52.8* 粘多糖贮积性心脏病
E83.103 血色病性心肌病
E85.408 淀粉样变血管损害
E85.416+I43.1* 淀粉样变心脏损害
E88.907+I43.1* 代谢性心肌病
I01.000 急性风湿性心包炎
I01.100 急性风湿性心内膜炎
I01.200 急性风湿性心肌炎
I01.800x001 急性风湿性全心炎
I01.900 急性风湿性心脏病
I02.000x001 风湿性舞蹈病伴急性风湿性心脏病
I02.900x001 风湿性舞蹈症[小舞蹈症]
I02.900x003 慢性风湿性舞蹈症
I05.000 二尖瓣狭窄
I05.000x001 风湿性二尖瓣狭窄
I05.100 风湿性二尖瓣关闭不全
I05.200 二尖瓣狭窄伴有关闭不全
I05.200x001 风湿性二尖瓣狭窄伴关闭不全
I05.800 二尖瓣疾病，其他的
I05.900 二尖瓣疾病
I05.900x001 风湿性二尖瓣病
I06.000 风湿性主动脉瓣狭窄
I06.100 风湿性主动脉瓣关闭不全
I06.200 风湿性主动脉瓣狭窄伴有关闭不全
I06.800x001 其他风湿性主动脉瓣疾病
I06.900 风湿性主动脉瓣疾病
I07.000 三尖瓣狭窄
I07.000x001 风湿性三尖瓣狭窄
I07.100 三尖瓣关闭不全
I07.100x001 风湿性三尖瓣关闭不全
I07.200 三尖瓣狭窄伴有关闭不全
I07.200x001 风湿性三尖瓣狭窄伴关闭不全
I07.800 三尖瓣疾病,其他的
I07.900 三尖瓣疾病
I07.900x001 风湿性三尖瓣病
I08.000 二尖瓣和主动脉瓣的疾患
I08.000x001 风湿性二尖瓣主动脉瓣联合瓣膜病
I08.000x002 风湿性二尖瓣狭窄伴主动脉瓣关闭不~~全
I08.000x003 风湿性二尖瓣关闭不全伴主动脉瓣狭~~窄
I08.000x004 风湿性二尖瓣关闭不全伴主动脉瓣狭~~窄关闭不全
I08.000x005 风湿性二尖瓣狭窄伴主动脉瓣狭窄关~~闭不全
I08.000x006 风湿性二尖瓣狭窄关闭不全伴主动脉~~瓣关闭不全
I08.000x007 风湿性二尖瓣及主动脉瓣关闭不全
I08.000x008 风湿性二尖瓣及主动脉瓣狭窄伴关闭~~不全
I08.000x009 风湿性二尖瓣及主动脉瓣狭窄
I08.000x010 风湿性二尖瓣狭窄关闭不全伴主动脉~~瓣狭窄
I08.001 二尖瓣狭窄伴主动脉瓣关闭不全
I08.002 二尖瓣关闭不全伴主动脉瓣狭窄
I08.003 二尖瓣关闭不全伴主动脉瓣狭窄关闭不全
I08.004 二尖瓣狭窄伴主动脉瓣狭窄关闭不全
I08.005 二尖瓣狭窄关闭不全伴主动脉瓣关闭不全
I08.006 二尖瓣及主动脉瓣关闭不全
I08.007 二尖瓣及主动脉瓣狭窄伴关闭不全
I08.008 二尖瓣及主动脉瓣狭窄
I08.009 二尖瓣狭窄关闭不全伴主动脉瓣狭窄
I08.100 二尖瓣和三尖瓣的疾患
I08.100x001 风湿性二尖瓣三尖瓣联合瓣膜病
I08.100x002 风湿性二尖瓣狭窄伴三尖瓣关闭不全
I08.100x003 风湿性二尖瓣狭窄关闭不全伴三尖瓣~~关闭不全
I08.100x004 风湿性二尖瓣及三尖瓣关闭不全
I08.100x005 风湿性二尖瓣及三尖瓣狭窄
I08.101 二尖瓣狭窄伴三尖瓣关闭不全
I08.102 二尖瓣狭窄关闭不全伴三尖瓣关闭不全
I08.103 二尖瓣及三尖瓣关闭不全
