1、严重并发症或合并症（MCC）
表 2-1-1 严重并发症或合并症（MCC）
疾病编码 疾病名称 排除内容
A01.100 副伤寒甲 表 2-3-1
A01.200 副伤寒乙 表 2-3-1
A01.300 副伤寒丙 表 2-3-1
A01.400 副伤寒 表 2-3-1
A02.000 沙门菌肠炎 表 2-3-1
A02.000x005 婴儿沙门菌肠炎 表 2-3-1
A02.000x006 C群沙门菌肠炎 表 2-3-1
A02.000x007 B群沙门菌肠炎 表 2-3-1
A02.000x009 沙门菌小肠炎 表 2-3-1
A02.000x010 猪霍乱沙门菌肠炎 表 2-3-1
A02.001 阿哥拉沙门菌肠炎 表 2-3-1
A02.002 沙门菌伦敦血清型肠炎 表 2-3-1
A02.003 沙门菌胃肠炎 表 2-3-1
A02.004 鼠伤寒沙门菌肠炎 表 2-3-1
A02.100 沙门菌脓毒症 表 2-3-1
A02.100x002 鼠伤寒沙门菌脓毒症 表 2-3-1
A02.101 猪霍乱沙门菌脓毒症 表 2-3-1
A02.200 局限性沙门菌感染 表 2-3-1
A02.201+J17.0* 沙门菌肺炎 表 2-3-1
A02.202+M01.3* 沙门菌关节炎 表 2-3-1
A02.203+G01* 沙门菌脑膜炎 表 2-3-1
A02.204+M90.2* 沙门菌骨髓炎 表 2-3-1
A02.205+N16.0* 沙门菌性肾小管-间质病变 表 2-3-1
A02.800 沙门菌感染，其他特指的 表 2-3-1
A03.200 波氏志贺菌引起的细菌性痢疾 表 2-3-1
A03.200x001 鲍氏志贺菌痢疾 表 2-3-1
A04.600 小肠结肠耶尔森菌性小肠炎 表 2-3-1
A04.600x001 耶尔森菌肠炎 表 2-3-1
A04.700 艰难梭状芽孢杆菌性小肠结肠炎 表 2-3-1
A04.700x002 抗生素相关性肠炎 表 2-3-1
A04.701 艰难梭状芽孢杆菌性食物中毒 表 2-3-1
A04.702 伪膜性结肠炎 表 2-3-1
A05.100 肉毒中毒 表 2-3-1
A05.200 食物媒介的产气荚膜梭状芽孢杆菌［韦尔希梭状芽孢杆菌］食物中毒 表 2-3-1
1071
疾病编码 疾病名称 排除内容
A05.200x002 急性出血性坏死性肠炎 表 2-3-1
A05.202 急性坏死性肠炎 表 2-3-1
A05.300 食物媒介的副溶血性弧菌食物中毒 表 2-3-1
A05.300x001 副溶血性弧菌食物中毒 表 2-3-1
A05.400 食物媒介的蜡样芽孢杆菌食物中毒 表 2-3-1
A05.400x001 蜡样芽孢杆菌食物中毒 表 2-3-1
A06.300 肠道阿米巴瘤 表 2-3-1
A06.300x001 阿米巴肉芽肿 表 2-3-1
A06.400+K77.0* 阿米巴肝脓肿 表 2-3-1
A06.500+J99.8* 阿米巴肺脓肿 表 2-3-1
A06.500x002+J99.8* 肺阿米巴病[阿米巴肺脓肿] 表 2-3-1
A06.501+J99.8* 阿米巴肝肺脓肿 表 2-3-1
A06.502+J17.3* 阿米巴肝肾囊肿伴肺炎 表 2-3-1
A06.600+G07* 阿米巴脑脓肿 表 2-3-1
A06.700 皮肤阿米巴病 表 2-3-1
A17.000+G01* 结核性脑膜炎 表 2-3-2
A17.000x001+G05.0* 结核性脊膜炎 表 2-3-2
A17.000x005+G01* 蛛网膜结核病 表 2-3-2
A17.000x006+G01* 结核性脑膜粘连 表 2-3-2
A17.001+G01* 结核性脑脊髓膜炎 表 2-3-2
A17.100+G07* 脑膜结核瘤 表 2-3-2
A17.100x001+G07* 脑脊膜结核瘤 表 2-3-2
A17.800 神经系统的其他结核 表 2-3-2
A17.800x007+G05.0* 结核性脊髓脊膜炎 表 2-3-2
A17.801+G07* 脑结核瘤 表 2-3-2
A17.802+G07* 结核性脑肉芽肿 表 2-3-2
A17.803+G05.0* 结核性脑膜脑炎 表 2-3-2
A17.804+G05.0* 结核性脑炎 表 2-3-2
A17.805+G07* 结核性脑脓肿 表 2-3-2
A17.806+G07* 脊髓结核 表 2-3-2
A17.807+G94.0* 结核性脑积水 表 2-3-2
A17.900+G99.8* 神经系统结核 表 2-3-2
A17.900x001+G99.8* 中枢神经系统结核 表 2-3-2
A19.100 多个部位的急性粟粒型结核 表 2-3-2
A20.000 腺鼠疫[腹股沟淋巴结鼠疫] 表 2-3-3
A20.000x001 腺鼠疫 表 2-3-3
A20.100 蜂窝织皮下型鼠疫 表 2-3-3
A20.101 皮肤型鼠疫 表 2-3-3
A20.200 肺鼠疫 表 2-3-3
A20.300 脑膜炎型鼠疫 表 2-3-3
A20.700 脓毒症型鼠疫 表 2-3-3
A20.800 鼠疫，其他形式的 表 2-3-3
A20.800x004 肠鼠疫 表 2-3-3
1072
疾病编码 疾病名称 排除内容
A20.800x005 眼鼠疫 表 2-3-3
A20.801 顿挫性鼠疫 表 2-3-3
A20.802 无症状鼠疫 表 2-3-3
A20.803 轻型鼠疫 表 2-3-3
A20.900 鼠疫 表 2-3-3
A20.900x002 鼠疫菌病[鼠疫耶尔森菌病] 表 2-3-3
A21.300 胃肠土拉菌病 表 2-3-3
A21.300x002 咽腺型土拉菌病 表 2-3-3
A21.301 腹部土拉菌病 表 2-3-3
A22.700 炭疽性脓毒症 表 2-3-3
A22.900 炭疽 表 2-3-3
A23.000 马耳他布氏菌病 表 2-3-3
A23.000x001 羊布氏杆菌病 表 2-3-3
A23.100 流产布氏菌病 表 2-3-3
A23.100x001 牛布氏菌病 表 2-3-3
A23.200 猪布氏菌病 表 2-3-3
A23.300 犬布氏菌病 表 2-3-3
A23.800 布氏菌病，其他的 表 2-3-3
A23.900 布氏菌病 表 2-3-3
A23.900x001 布氏杆菌病[波状热] 表 2-3-3
A23.900x003 布氏杆菌性葡萄膜炎 表 2-3-3
A23.900x004 慢性布氏杆菌病 表 2-3-3
A23.900x005+G05.0* 布氏杆菌性脑炎 表 2-3-3
A23.900x006 布氏杆菌多发性神经根神经病 表 2-3-3
A23.901+M49.1* 布氏菌病脊柱炎 表 2-3-3
A23.902+M01.3* 布氏菌病关节炎 表 2-3-3
A23.903+N16.0* 布氏菌病肾小管-间质病变 表 2-3-3
A24.000 鼻疽 表 2-3-3
A24.000x002 马皮疽伯克霍尔德菌感染 表 2-3-3
A24.001 鼻疽假单胞菌感染性鼻疽 表 2-3-3
A24.002 鼻疽伯克霍德菌感染性鼻疽 表 2-3-3
A24.100 急性和暴发性类鼻疽 表 2-3-3
A24.100x002 类鼻疽脓毒症 表 2-3-3
A24.100x003 类鼻疽肺炎 表 2-3-3
A24.101 急性类鼻疽 表 2-3-3
A24.102 暴发性类鼻疽 表 2-3-3
A26.700 丹毒丝菌脓毒症 表 2-3-3
A26.700x001 类丹毒脓毒症 表 2-3-3
A27.000 出血性黄疸钩端螺旋体病 表 2-3-3
A33.x00 新生儿破伤风 表 2-3-4
A34.x00 产科破伤风 表 2-3-4
A35.x00 破伤风，其他的 表 2-3-4
A35.x00x001 破伤风 表 2-3-4
1073
疾病编码 疾病名称 排除内容
A39.000+G01* 脑膜炎球菌性脑膜炎 表 2-3-4
A39.000x004+G01* 双球菌性脑膜炎 表 2-3-4
A39.000x005+G01* 脑膜炎球菌性蛛网膜炎 表 2-3-4
A39.000x006+G01* 流行性脑脊髓膜炎轻型 表 2-3-4
A39.000x007+G01* 流行性脑脊髓膜炎普通型 表 2-3-4
A39.000x008+G01* 流行性脑脊髓膜炎暴发型 表 2-3-4
A39.001+G01* 普通型流行性脑脊髓膜炎 表 2-3-4
A39.002+G01* 暴发型流行性脑脊髓膜炎 表 2-3-4
A39.003+G01* 流行性脑脊髓膜炎 表 2-3-4
A39.100+E35.1* 沃-弗综合征 表 2-3-4
A39.500 脑膜炎球菌性心脏病 表 2-3-4
A39.501+I32.0* 脑膜炎球菌性心包炎 表 2-3-4
A39.502+I39.8* 脑膜炎球菌性心内膜炎 表 2-3-4
A39.503+I41.0* 脑膜炎球菌性心肌炎 表 2-3-4
A39.504+I52.0* 脑膜炎球菌性心炎 表 2-3-4
A40.000 A族链球菌性脓毒症 表 2-3-4
A40.100 B族链球菌性脓毒症 表 2-3-4
A40.200 D族链球菌和肠球菌所致脓毒症 表 2-3-4
A40.300 肺炎链球菌性脓毒症 表 2-3-4
A40.800 链球菌性脓毒症，其他的 表 2-3-4
A40.900 链球菌性脓毒症 表 2-3-4
A40.901+N08.0* 链球菌性脓毒症性肾小球病变 表 2-3-4
A40.903+N16.0* 链球菌性脓毒症性肾小管-间质病变 表 2-3-4
A41.000 金黄色葡萄球菌性脓毒症 表 2-3-4
A41.100 葡萄球菌性脓毒症，其他特指的 表 2-3-4
A41.100x002 表皮葡萄球菌脓毒症 表 2-3-4
A41.101 凝固酶阴性葡萄球菌脓毒症 表 2-3-4
A41.200 葡萄球菌性脓毒症 表 2-3-4
A41.300 流感嗜血杆菌性脓毒症 表 2-3-4
A41.400 厌氧菌性脓毒症 表 2-3-4
A41.400x001 产气荚膜杆菌脓毒症 表 2-3-4
A41.500 革兰氏阴性病原体性脓毒症，其他的 表 2-3-4
A41.500x083 革兰阴性杆菌脓毒症 表 2-3-4
A41.500x087 粘球杆菌脓毒症 表 2-3-4
A41.501 大肠杆菌脓毒症 表 2-3-4
A41.502 铜绿假单胞菌脓毒症 表 2-3-4
A41.503 克雷伯杆菌脓毒症 表 2-3-4
A41.504 阴沟肠杆菌脓毒症 表 2-3-4
A41.505 变形杆菌脓毒症 表 2-3-4
A41.506 不动杆菌属性脓毒症 表 2-3-4
A41.800 脓毒症，其他特指的 表 2-3-4
A41.800x002 JK组棒状杆菌脓毒病 表 2-3-4
A41.801 枯草杆菌脓毒症 表 2-3-4
1074
疾病编码 疾病名称 排除内容
A41.802 类酵母菌脓毒症 表 2-3-4
A41.803 新型隐球菌脓毒症 表 2-3-4
A41.804 真菌脓毒症 表 2-3-4
A41.805 革兰阳性菌脓毒症 表 2-3-4
A41.806 微球菌属性脓毒症 表 2-3-4
A41.807 肠球菌性脓毒症 表 2-3-4
A41.900 脓毒症 表 2-3-4
A41.900x004 内毒素血症 表 2-3-4
A41.902+N08.0* 脓毒症性肾小球病变 表 2-3-4
A41.904+N16.0* 脓毒症性肾小管-间质病变 表 2-3-4
A42.000 肺放线菌病 表 2-3-4
A42.200 颈面部放线菌病 表 2-3-4
A42.200x002 颌骨放线菌病 表 2-3-4
A42.700 放线菌病性脓毒症 表 2-3-4
A42.800 放线菌病，其他形式的 表 2-3-4
A42.800x002 放线菌皮肤感染 表 2-3-4
A42.800x003+G01* 放线菌脑膜炎 表 2-3-4
A42.801 涎腺放线菌病 表 2-3-4
A42.802 乳腺放线菌病 表 2-3-4
A42.803 肝放线菌病 表 2-3-4
A42.804 盆腔放线菌病 表 2-3-4
A42.805 阴道放线菌病 表 2-3-4
A43.000 肺诺卡菌病 表 2-3-4
A43.000x001+J99.8* 肺诺卡菌肺炎 表 2-3-4
A43.100 皮肤诺卡菌病 表 2-3-4
A43.800 诺卡菌病，其他形式的 表 2-3-4
A43.800x001 播散性奴卡菌病 表 2-3-4
A43.801 脑诺卡菌病 表 2-3-4
A43.802 肾诺卡菌病 表 2-3-4
A43.900 诺卡菌病 表 2-3-4
A48.000 气性坏疽 表 2-3-4
A48.100 军团病 表 2-3-4
A48.100x001 嗜肺军团菌肺炎 表 2-3-4
A48.100x003 军团菌性脑炎 表 2-3-4
A48.200 非肺炎性军团病[庞蒂亚克热] 表 2-3-4
A48.300 中毒性休克综合征 表 2-3-4
A48.400 巴西紫热 表 2-3-4
A69.200 莱姆病 表 2-3-6
A69.200x002+G63.0* 莱姆病性神经病 表 2-3-6
A70.x00 鹦鹉热衣原体感染 表 2-3-7
A78.x00 Q热 表 2-3-8
A80.000 急性麻痹性脊髓灰质炎，与接种有关 表 2-3-9
A80.100 急性麻痹性脊髓灰质炎，（外地）移入性野病毒 表 2-3-9
1075
疾病编码 疾病名称 排除内容
A80.200 急性麻痹性脊髓灰质炎，本土性野病毒 表 2-3-9
A80.300 急性麻痹性脊髓灰质炎，其他的 表 2-3-9
A80.300x001 脊髓灰质炎瘫痪型 表 2-3-9
A80.301 急性麻痹性脊髓灰质炎 表 2-3-9
A80.400 急性非麻痹性脊髓灰质炎 表 2-3-9
A80.400x001 脊髓灰质炎无瘫痪型 表 2-3-9
A80.400x002 脊髓灰质炎顿挫型 表 2-3-9
A80.900 急性脊髓灰质炎 表 2-3-9
A81.000 克罗伊茨费尔特-雅各布病 表 2-3-9
A81.000x002 亚急性海绵状脑病 表 2-3-9
A81.000x004 可传播性海绵状脑病 表 2-3-9
A81.000x006 常染色体显性遗传朊蛋白病 表 2-3-9
A81.000x007 家族性致死性睡眠症 表 2-3-9
A81.001+F02.1* 克罗伊茨费尔特-雅各布病性痴呆 表 2-3-9
A81.100 亚急性硬化性全脑炎 表 2-3-9
A81.101 亚急性包涵体脑炎 表 2-3-9
A81.200 进行性多灶性白质脑病 表 2-3-9
A81.200x001 播散性坏死性脑白质病 表 2-3-9
A81.900 中枢神经系统的非典型病毒感染 表 2-3-9
A82.900 狂犬病 表 2-3-9
A83.000 日本脑炎 表 2-3-9
A83.000x001 流行性乙型脑炎 表 2-3-9
A83.000x002 流行性乙型脑炎轻型 表 2-3-9
A83.000x003 流行性乙型脑炎普通型 表 2-3-9
A83.000x004 流行性乙型脑炎重型 表 2-3-9
A83.000x005 流行性乙型脑炎极重型 表 2-3-9
A84.000 远东蜱媒介的脑炎[俄罗斯春-夏型脑炎] 表 2-3-9
A84.000x001 森林脑炎 表 2-3-9
A84.900 蜱媒介的病毒性脑炎 表 2-3-9
A85.000+G05.1* 肠病毒性脑炎 表 2-3-9
A85.000x002+G05.1* 柯萨奇病毒性脑炎 表 2-3-9
A85.000x003+G05.1* 埃可病毒性脑炎 表 2-3-9
A85.001+G05.1* 肠病毒性脑脊髓炎 表 2-3-9
A85.100+G05.1* 腺病毒性脑炎 表 2-3-9
A85.101+G05.1* 腺病毒性脑脊髓炎 表 2-3-9
A85.200 节肢动物媒介的病毒性脑炎 表 2-3-9
