包含以下主要诊断：
I60.000 颈动脉弯管和杈的蛛网膜下出血
I60.000x001 颈内动脉虹吸弯和分叉部蛛网膜下腔出血
I60.000x002 颈内动脉分叉段动脉瘤破裂伴蛛网膜下腔出血
I60.000x003 颈内动脉眼动脉段动脉瘤破裂伴蛛网膜下腔出血
I60.000x004 脉络膜前动脉动脉瘤破裂伴蛛网膜下腔出血
I60.000x006 颈内动脉海绵窦段动脉瘤破裂伴蛛网膜下腔出血
I60.000x007 颈内动脉床突段动脉瘤破裂伴蛛网膜下腔出血
I60.000x008 颈内动脉背侧动脉瘤破裂伴蛛网膜下腔出血
I60.001 颈动脉动脉瘤破裂伴蛛网膜下隙出血
I60.100 大脑中动脉的蛛网膜下出血
I60.101 大脑中动脉瘤破裂伴蛛网膜下腔出血
I60.200 前交通动脉的蛛网膜下出血
I60.200x002 大脑前-前交通动脉瘤破裂伴蛛网膜下腔出血
I60.200x003 大脑前动脉近侧段（A1）动脉瘤破裂伴蛛网膜下腔出血
I60.200x004 大脑前动脉近侧段（A2）动脉瘤破裂伴蛛网膜下腔出血
I60.200x005 大脑前动脉远侧段（A2-A5）动脉瘤破裂伴蛛网膜下腔出血
I60.200x007 胼胝体动脉瘤破裂伴蛛网膜下腔出血
I60.201 前交通动脉瘤破裂伴蛛网膜下腔出血
I60.300 后交通动脉的蛛网膜下出血
I60.301 后交通动脉瘤破裂伴蛛网膜下腔出血
I60.400 基底动脉的蛛网膜下出血
I60.400x002 椎动脉与基底动脉结合部动脉瘤破裂伴蛛网膜下腔出血
I60.400x003 基底动脉顶端动脉瘤破裂伴蛛网膜下腔出血
I60.400x004 基底动脉干动脉瘤破裂伴蛛网膜下腔出血
I60.401 基底动脉瘤破裂伴蛛网膜下腔出血
I60.500x003 椎动脉动脉瘤破裂伴蛛网膜下腔出血
I60.500x004 脊髓前动脉瘤破裂伴蛛网膜下腔出血
I60.600x001 大脑后动脉动脉瘤破裂伴蛛网膜下腔出血
I60.600x003 小脑前下动脉动脉瘤破裂伴蛛网膜下腔出血
I60.600x004 小脑上动脉动脉瘤破裂伴蛛网膜下腔出血
I60.600x005 迷路动脉动脉瘤破裂伴蛛网膜下腔出血
I60.600x006 多发颅内动脉瘤破裂伴蛛网膜下腔出血
I60.600x007 颅内镜像动脉瘤破裂伴蛛网膜下腔出血
I60.600x008 脑干前非动脉瘤出血[中脑周围非动脉瘤性出血]
I60.601 小脑后下动脉动脉瘤破裂伴蛛网膜下隙出血
I60.602 垂体上动脉动脉瘤破裂伴蛛网膜下腔出血
I60.700x001 脑动脉瘤破裂伴蛛网膜下腔出血
I60.701 颅内动脉瘤破裂伴蛛网膜下隙出血
I60.800x002 脑动脉畸形伴蛛网膜下腔出血
I60.800x003 脑静脉畸形伴蛛网膜下腔出血
I60.800x004 脑海绵状血管畸形伴蛛网膜下腔出血
I60.800x005 脑干海绵状血管畸形伴蛛网膜下腔出血
I60.800x006 小脑幕下海绵状血管畸形伴蛛网膜下腔出血
I60.800x008 硬脑膜动静脉瘘伴蛛网膜下腔出血
I60.800x010 脑动脉夹层伴蛛网膜下腔出血
I60.800x013 脊髓动静脉畸形伴蛛网膜下腔出血
I60.800x014 脊髓髓周动静脉瘘伴蛛网膜下腔出血
I60.800x015 颅脑肿瘤伴蛛网膜下腔出血
I60.801 脑动静脉畸形破裂伴蛛网膜下腔出血
I60.802 脑膜出血
I60.900x004 脑实质出血继发蛛网膜下腔出血
I60.900x005 感染性颅内动脉瘤破裂伴蛛网膜下腔出血
I60.900x006 蛛网膜下腔出血
I61.000x006 胼胝体出血
I61.000x007 尾状核头出血
I61.000x008 壳核出血
I61.000x009 尾状核出血
I61.000x011 最外囊出血
I61.001 豆状核出血
I61.002 大脑皮质下出血
I61.003 豆纹动脉出血
I61.004 基底节出血
I61.005 内囊出血
I61.006 外囊出血
I61.100x001 顶叶出血
I61.100x002 多处脑叶出血
I61.100x003 额叶出血
I61.100x004 额颞叶出血
I61.100x005 枕叶出血
I61.100x006 颞叶出血
I61.100x007 额顶叶脑出血
I61.100x008 顶枕叶脑出血
I61.100x009 额顶枕叶脑出血
I61.100x010 额颞顶叶脑出血
I61.100x011 额颞顶枕叶脑出血
I61.100x012 额颞枕叶脑出血
I61.100x013 颞顶叶脑出血
I61.100x014 颞枕叶脑出血
I61.101 脑叶出血
I61.200x001 大脑半球出血
I61.300x002 脑干出血
