包含以下主要诊断：
H34.000 短暂性视网膜动脉阻塞
H34.100 视网膜中央动脉阻塞
H34.200 视网膜动脉阻塞,其他的
H34.200x002 视网膜血管痉挛
H34.200x004 视网膜粥样栓塞[侯兰荷思特斑]
H34.200x005 视网膜微栓塞
H34.201 视网膜部分性动脉阻塞
H34.202 视网膜分支动脉阻塞
H34.203 视网膜动脉供血不足
H34.204 视网膜动脉栓塞
H34.800 视网膜血管阻塞，其他的
H34.800x001 颞上支静脉阻塞
H34.801 视网膜分支静脉阻塞
H34.802 视网膜静脉阻塞
H34.803 视网膜中心性静脉阻塞
H34.804 视网膜部分性静脉阻塞
H34.900 未特指的视网膜血管阻塞
H34.900x001 视网膜血管阻塞
H35.000 背景性视网膜病变和视网膜血管改变
H35.000x014 视网膜血管白鞘
H35.000x017 缺血性视网膜病变
H35.000x019 急性区域性隐匿性外层视网膜病变
H35.000x020 IRVAN 综合征
H35.000x021 中心性渗出性脉络膜视网膜病
H35.001 视网膜血管病变
H35.002 视网膜静脉周围炎
H35.007 视网膜血管曲张
H35.008 视网膜血管炎
H35.009 视网膜微动脉瘤
H35.011 视网膜大动脉瘤
H35.012 视网膜新生血管
H35.013 视网膜动脉炎
H35.014 视网膜静脉炎
H46.x00 视神经炎
H46.x01 球后视神经炎
H46.x02 视盘炎
H47.000 视神经疾患，不可归类在他处者
H47.000x009 视神经病
H47.001 视神经麻痹
H47.002 视神经鞘膜内出血
H47.003 视神经受压
H47.004 缺血性视神经病变
H47.006 肯尼迪综合征
H47.200 视神经萎缩
H47.200x003 原发性视神经萎缩
H47.200x004 继发性视神经萎缩
H47.300x005 视盘血管炎[视神经乳头静脉炎]
H47.301 视神经盘玻璃疣
H47.302 视盘前膜
H47.303 假性视盘水肿
H47.304 视盘肿物
H47.500 视路疾患,其他的
H47.500x002 视放射病变
H47.500x003 视束病变
H47.500x004 外侧膝状体病变
H47.600x001 枕叶病变
H49.001 动眼神经炎
H49.201 展神经炎
H49.300 全部（外部）眼肌麻痹
H49.400 进行性眼外肌麻痹
H49.400x001 慢性进行性眼外肌麻痹
H49.800 麻痹性斜视，其他的
H49.800x002 麻痹性外斜视
H49.800x007 眼外肌麻痹
H49.801 卡恩斯-塞尔综合征
H49.803 眶上裂综合征
H49.804 眼内直肌麻痹
H49.805 眼上斜肌麻痹
H49.806 眼上直肌麻痹
H49.808 眼外直肌麻痹
H49.809 眼下斜肌麻痹
H49.810 眼下直肌麻痹
H49.900 麻痹性斜视
H49.901 先天性麻痹性斜视
H50.000 会聚性共同性斜视
H50.000x002 共同性内斜视
