包含以下主要手术或操作：
77.0701 胫骨死骨去除术
77.0702 腓骨死骨去除术
77.0800x001 跟骨死骨切除术
77.0800x002 距骨死骨切除术
77.0801 跗骨死骨去除术
77.0802 跖骨死骨去除术
77.0900x004 足骨死骨去除术
77.0903 趾骨死骨去除术
77.1700x001 胫骨开窗引流术
77.1700x002 胫骨切开异物去除术
77.1700x003 腓骨开窗引流术
77.1701 胫骨切开引流术
77.1702 胫骨减压术
77.1703 腓骨切开引流术
77.1800x001 距骨减压术
77.1801 跗骨切开引流术
77.1802 跗骨减压术
77.1803 跖骨切开引流术
77.1900x001 胫腓骨骺开放术
77.1903 趾骨切开引流术
77.2600 髌骨楔形骨切开术
77.2800x001 跗骨截骨术
77.2800x003 舟骨截骨术
77.2800x004 骰骨截骨术
77.2800x005 距骨截骨术
77.2801 跗骨楔形切骨术
77.2900x005 趾骨截骨术
77.2903 趾骨楔形截骨术
77.3600 髌骨切断术
77.3701 胫骨切断术
77.3702 腓骨切断术
77.3801 跗骨切断术
77.3802 跖骨切断术
77.3907 趾骨切断术
77.5100 �囊肿切除术伴软组织矫正术和第一跖骨切开术
77.5301 McBride 手术
77.5400x001 小趾囊肿切除矫正术
77.5600x002 锤状趾矫正术
77.5700x001 爪形趾矫正术
77.5800x007 巨趾矫正术
77.5800x008 裂趾成形术
77.5801 翘趾修补术
77.5802 叠交趾修补术
77.5900x002 凯勒手术（Keller 术）
77.6701 胫骨病损切除术
77.6702 腓骨病损切除术
77.6801 跗骨病损切除术
77.6802 跖骨病损切除术
77.6900x007 跟骨病损切除术
77.6900x020 距骨病损切除术
77.6900x047 足骨病损切除术
77.6903 趾骨病损切除术
77.7600 髌骨切除术用作移植物
77.7701 胫骨切除术用作移植物
77.7702 腓骨切除术用作移植物
77.7800 跗骨和跖骨切除术用作移植物
77.7900x001 跟骨取骨术
77.7900x006 趾骨取骨术
77.8700x003 腓骨小头切除术
77.8700x004 关节镜下胫骨部分切除术
77.8701 胫骨部分切除术
77.8702 腓骨部分切除术
77.8801 跗骨部分切除术
77.8802 跖骨部分切除术
77.8900x026 足骨部分切除术
77.8900x027 跟骨部分切除术
77.8900x028 副舟骨切除术
77.8904 趾骨部分切除术
77.9701 胫骨全部切除术
77.9702 腓骨全部切除术
77.9801 跗骨切除术
77.9802 距骨切除术
77.9803 Kidner 手术
77.9804 跖骨切除术
77.9805 籽骨切除术
77.9903 趾骨全部切除术
78.0700x004 胫骨人工骨植骨术
78.0700x005 带血管蒂腓骨移植术
78.0700x006 腓骨人工骨植骨术
78.0701 胫骨植骨术
78.0702 腓骨植骨术
78.0800x001 距骨植骨术
78.0800x002 距骨人工骨植骨术
78.0801 跗骨植骨术
78.0802 跖骨植骨术
78.0900x001 跟骨植骨术
78.0900x014 跟骨人工骨植骨术
78.0900x021 趾骨人工骨植骨术
78.0903 趾骨植骨术
78.1701 胫骨外固定术
78.1702 腓骨外固定术
78.1801 跗骨外固定术
78.1802 跖骨外固定术
78.1903 趾骨外固定术
78.2501 布朗特手术
78.2701 胫骨缩短术
78.2702 腓骨缩短术
78.2800 跗骨和跖骨缩短术
78.2902 趾骨短缩术
78.3701 胫骨延长术
78.3702 腓骨延长术
78.3800x001 跗骨延长术
78.3800x002 跖骨延长术
78.4700x001 胫骨结节移位术
78.4701 胫骨成形术
78.4702 腓骨成形术
78.4801 跗骨成形术
78.4802 跖骨成形术
78.4900x001 跟骨修补术
78.4900x006 趾骨矫正术
78.4903 趾骨成形术
78.5600x001 髌骨钢板内固定术
78.5600x002 髌骨钢针内固定术
78.5600x003 髌骨螺钉内固定术
78.5601 髌骨内固定术
78.5700x003 腓骨螺钉内固定术
78.5700x004 腓骨髓内针内固定术
78.5700x005 胫骨钢板内固定术
78.5700x006 胫骨钢针内固定术
78.5700x007 胫骨螺钉内固定术
78.5700x008 胫骨髓内针内固定术
78.5700x009 腓骨钢板内固定术
78.5700x010 腓骨钢针内固定术
78.5700x011 膝关节镜下后交叉韧带止点撕脱骨折固定术
78.5700x012 膝关节镜下胫骨髁间棘骨折固定术
78.5700x013 关节镜下胫骨钢丝内固定术
78.5701 胫骨内固定术
78.5702 腓骨内固定术
78.5800x002 跗骨钢针内固定术
78.5800x003 跗骨螺钉内固定术
78.5800x005 跖骨钢板内固定术
78.5800x006 跖骨钢针内固定术
78.5800x007 跖骨螺钉内固定术
78.5800x008 跖骨髓内针内固定术
78.5800x009 跗骨钢板内固定术
78.5801 跗骨内固定术
78.5802 跖骨内固定术
78.5900x020 趾骨钢板内固定术
78.5900x034 趾骨钢针内固定术
78.5900x035 趾骨螺钉内固定术
78.5900x036 趾骨髓内针内固定术
78.5903 趾骨内固定术
78.7600 髌骨折骨术
78.7701 胫骨折骨术
78.7702 腓骨折骨术
78.7801 跗骨折骨术
78.7802 跖骨折骨术
78.7903 趾骨折骨术
78.9600 髌骨生长刺激器的置入
78.9701 胫骨生长刺激器的置入
78.9800 跗骨和跖骨生长刺激器的置入
79.0601 胫骨骨折闭合性复位术
79.0602 腓骨骨折闭合性复位术
79.0603 踝关节骨折闭合性复位术
79.0604 髌骨骨折闭合性复位术
79.0700x002 距骨骨折闭合复位术
79.0700x005 跟骨骨折闭合复位术
79.0701 跗骨骨折闭合性复位术
79.0702 跖骨骨折闭合性复位术
79.0801 趾骨骨折闭合性复位术
79.1600x004 胫骨骨折闭合复位髓内针内固定术
79.1600x006 胫骨骨折闭合复位螺钉内固定术
79.1600x007 踝关节骨折闭合复位髓内针内固定术
79.1600x008 踝关节骨折闭合复位钢针内固定术
79.1600x009 腓骨骨折闭合复位髓内针内固定术
79.1600x010 腓骨骨折闭合复位钢针内固定术
79.1600x011 腓骨骨折闭合复位螺钉内固定术
79.1600x012 胫骨骨折闭合复位钢板内固定术
79.1600x013 踝关节骨折闭合复位螺钉内固定术
79.1600x014 腓骨骨折闭合复位钢板内固定术
79.1601 胫骨骨折闭合复位内固定术
79.1602 腓骨骨折闭合复位内固定术
79.1603 踝关节骨折闭合复位内固定术
