包含以下主要手术或操作：
34.4x01 胸壁病损切除术
34.4x03 胸腔镜下胸壁病损切除术
82.0101 手部腱鞘松解术
82.0102 手腱鞘切开探查术
82.0103 手部肌腱切开异物去除术
82.0200x001 手部肌肉切开减压术
82.0201 手部肌肉异物去除术
82.0401 掌间隙切开引流术
82.0402 鱼际间隙切开引流术
82.1100x002 侧腱束切断术
82.1101 手部肌腱切断术
82.1200x002 掌筋膜切断术
82.1201 手部筋膜切断术
82.1202 手部筋膜粘连松解术
82.1900x002 手部肌肉松解术
82.1901 手部肌肉切断术
82.2100 手腱鞘病损切除术
82.2101 手部腱鞘囊肿切除术
82.2200 手肌肉病损切除术
82.2900x001 手部软组织病损切除术
82.3200x001 手肌腱切取术
82.3301 手部腱鞘切除术
82.3500x001 掌腱膜部分切除术
82.3500x002 掌腱膜切除术
82.3501 掌腱膜挛缩松解术
82.3600x001 手部肌肉切除术
82.3601 手部肌肉清创术
82.4100 手腱鞘缝合术
82.4200 手屈肌腱延迟性缝合术
82.4300x001 手部肌腱延迟性缝合术
82.4301 手部伸肌腱延迟性缝合术
82.4400x001 屈腕肌腱缝合术
82.4400x002 屈指肌腱缝合术
82.4500x001 拇长伸肌腱缝合术
82.4500x009 伸指总肌腱缝合术
82.4500x010 伸指肌腱侧束缝合术
82.4500x011 伸指肌腱中央束缝合术
82.4500x012 伸腕肌腱缝合术
82.4500x013 伸指肌腱缝合术
82.4501 手部伸肌腱缝合术
82.4601 手部筋膜缝合术
82.4602 手部肌肉缝合术
82.5100 手肌腱前徙术
82.5200 手肌腱后徙术
82.5301 手部肌腱止点重建术
82.5401 手部肌肉止点重建术
82.5501 手部肌腱延长术
82.5502 手部肌腱缩短术
82.5600x002 手部自体肌腱移植术
82.5600x003 手部异体肌腱移植术
82.5600x004 手部带腱帽异体肌腱移植术
82.5600x005 手部带鞘管异体肌腱移植术
82.5601 手部肌腱移植术
82.5602 对掌肌成形术
82.5700x001 手部肌腱移位术
82.5801 手部肌肉移植术
82.5900x001 手部肌肉移位术
82.7201 手肌肉移植物的整形术
82.7202 手筋膜移植物整形术
82.7900x001 手肌腱移植的整形术
82.7901 手肌腱硅条成形术
82.8500x001 手部肌腱固定术
82.8500x002 屈指浅肌腱近指间关节固定术
82.8600x001 手部肌腱成形术
82.8600x006 手指肌腱成形术
