包含以下主要诊断：
M24.309 足关节病理性脱位
M24.310 足关节病理性不全脱位
M24.407 复发性手骨间关节脱位
M24.408 复发性手骨间关节不全脱位
M24.812 尺骨撞击综合征
M84.000x043 掌骨骨折连接不正
M84.000x074 足骨骨折连接不正
M84.100x044 腕骨骨折不连接
M84.100x075 趾骨骨折不连接
M87.200 以前创伤引起的骨坏死
M87.201 外伤后腕舟骨骨质疏松及萎缩
S51.901 开放性前臂损伤
S52.000x002 尺骨近端骨折
S52.000x012 尺骨鹰嘴骨骺分离
S52.000x021 尺骨冠突骨折
S52.000x091 尺骨近端多发性骨折
S52.010 开放性尺骨上端骨折
S52.100x001 桡骨近端骨折
S52.100x002 桡骨近端骨骺分离
S52.100x012 桡骨头骨骺分离
S52.100x091 桡骨近端多发性骨折
S52.101 桡骨头骨折
S52.102 桡骨颈骨折
S52.110 开放性桡骨上端骨折
S52.200 尺骨干骨折
S52.200x011 孟氏骨折
S52.201 尺骨骨折
S52.210 开放性尺骨干骨折
S52.211 开放性尺骨骨折
S52.300 桡骨干骨折
S52.300x011 盖氏骨折
S52.310 开放性桡骨干骨折
S52.400x001 桡尺骨骨干骨折
S52.410 开放性尺骨桡骨骨干骨折
S52.500x001 桡骨远端骨折
S52.500x002 桡骨茎突骨折
S52.500x003 桡骨远端骨骺分离
S52.500x011 科雷骨折
S52.500x021 巴顿骨折
S52.500x022 史密斯骨折
S52.500x091 桡骨关节内骨折
S52.501 屈曲型桡骨下端骨折
S52.502 伸直型桡骨下端骨折
S52.510 开放性桡骨下端骨折
S52.600x001 尺骨远端骨折伴桡骨远端骨折
S52.600x002 尺骨茎突骨折伴桡骨远端骨折
S52.610 开放性尺骨桡骨远端骨折
S52.700 前臂多处骨折
S52.701 尺骨桡骨闭合性骨折
S52.710 开放性多发性前臂骨折
S52.711 开放性尺骨桡骨骨折
S52.800x002 尺骨远端骨骺分离
S52.801 桡骨骨折
S52.802 尺骨茎突骨折
S52.803 尺骨头骨折
S52.804 尺骨下端骨折
S52.810 开放性前臂特指部位骨折
S52.811 开放性桡骨骨折
S52.812 开放性尺骨茎突骨折
S52.814 开放性尺骨下端骨折
S52.900 前臂骨折
S53.000 桡骨头脱位
S53.000x003 桡骨头半脱位
S53.001 桡肱关节脱位
S53.002 尺桡关节脱位
S53.200x001 桡侧副韧带断裂
S53.300x001 尺侧副韧带断裂
S53.400x012 桡侧副韧带扭伤
S53.400x021 尺侧副韧带扭伤
