包含以下主要诊断：
M22.000 复发性髌骨脱位
M22.100 复发性髌骨不全脱位
M22.200x001 髌股关节病
M22.201 髌骨关节病
M22.300x001 髌骨不稳定
M22.301 髌骨滑脱
M22.400 髌骨软骨软化
M22.801 髌骨外侧过度挤压综合征
M22.802 髌骨畸形
M23.000x031 膝内侧半月板囊肿
M23.000x061 膝外侧半月板囊肿
M23.001 膝半月板囊肿
M23.100 盘状半月板（先天性）
M23.300x061 膝外侧半月板紊乱
M23.300x062 膝内侧半月板紊乱
M23.301 内侧半月板前角损伤
M23.302 内侧半月板后角损伤
M23.303 内侧半月板损伤
M23.304 外侧半月板前角损伤
M23.305 外侧半月板后角损伤
M23.306 外侧半月板损伤
M23.307 半月板变性
M23.308 半月板损伤
M23.309 半月板运动过度
M23.310 遗留的半月板
M23.311 复发性半月板紊乱
M23.500x091 膝前内侧旋转不稳定
M23.800x001 膝后外复合体损伤
M23.801 前十字韧带松弛
M23.802 后十字韧带松弛
M23.803 内侧副韧带松弛
M23.804 外侧副韧带松弛
M23.805 膝关节囊韧带松弛
M23.806 膝韧带松弛
M23.807 弹响膝
M23.808 膝关节滑膜嵌顿
M23.809 膝韧带囊肿
M23.810 膝关节锁定
M23.811 膝关节粘连
M23.812 髌韧带粘连
M23.900 膝关节内紊乱
M24.101 关节软骨变性
M24.300x091 关节病理性脱位
M24.303 髋关节病理性脱位
M24.305 膝关节病理性脱位
M24.306 膝关节病理性不全脱位
M24.307 踝关节病理性脱位
M24.308 踝关节病理性不全脱位
M24.311 自发性关节脱位
M24.401 复发性肩关节脱位
M24.402 复发性肩关节不全脱位
M24.403 复发性肘关节脱位
M24.404 复发性肘关节不全脱位
M24.405 复发性腕关节脱位
M24.406 复发性腕关节不全脱位
M24.409 复发性髋关节脱位
M24.410 复发性髋关节不全脱位
M24.411 复发性膝关节脱位
M24.412 复发性膝关节不全脱位
M24.414 复发性踝关节脱位
M24.415 复发性踝关节不全脱位
M24.416 关节习惯性脱位
M24.417 关节习惯性不全脱位
M84.000x062 髌骨骨折连接不正
M84.000x063 腓骨骨折连接不正
M84.100x012 肩胛骨骨折不连接
M84.100x062 胫骨骨折不连接
M84.100x063 髌骨骨折不连接
M84.100x073 踝关节骨折不连接
M84.100x074 距骨骨折不连接
M89.201 软骨内骨生长迟缓
M89.202 多发性偏心性多中心骨化
M94.000 肋骨与肋软骨连接处综合征[蒂策]
M94.001 肋骨软骨炎
S22.800 骨性胸廓其他部位的骨折
S22.810 开放性胸廓特指部位骨折
S23.400 肋骨和胸骨扭伤和劳损
S23.401 胸骨扭伤和劳损
S23.500 胸部其他和未特指部位的扭伤和劳损
S23.501 胸部扭伤
S33.200x001 尾骨脱位
S33.200x002 骶骨脱位
S33.200x003 骶髂关节脱位
S33.300x001 耻骨联合脱位
S33.300x004 骨盆脱位
S33.400 耻骨联合创伤性破裂
S33.600x001 骶髂关节扭伤
S33.700x001 骶尾韧带劳损
S39.000x002 腹部肌腱损伤
S39.000x004 下背肌腱损伤
S39.000x006 骨盆肌腱损伤
S42.000 锁骨骨折
S42.000x011 锁骨胸骨端骨折
S42.000x021 锁骨干骨折
S42.000x031 锁骨肩峰端骨折
S42.000x091 锁骨多发性骨折
S42.010 开放性锁骨骨折
S42.100 肩胛骨骨折
S42.100x011 肩胛骨体骨折
S42.100x021 肩峰骨折
S42.100x031 肩胛骨喙突骨折
S42.100x041 肩胛骨颈和肩关节盂骨折
S42.100x042 肩关节盂骨折
S42.100x091 肩胛骨多发性骨折
S42.110 开放性肩胛骨骨折
S42.200x001 肱骨近端骨折
