包含以下主要诊断：
A18.000x018+M49.0* 脊椎结核并椎旁脓肿
A18.000x047+M49.0* 结核性脊柱前凸
A18.000x048+M49.0* 结核性脊柱侧弯
A18.000x049+M49.0* 脊柱骨脓肿[结核性脊柱骨脓肿]
A18.000x066+M49.0* 颈椎结核性截瘫
A18.005+M49.0* 颈椎结核
A18.006+M49.0* 胸椎结核
A18.007+M49.0* 腰椎结核
A18.008+M90.0* 腰椎结核性窦道
A18.009+M49.0* 脊柱结核
A18.010+M49.0* 脊柱结核性脓肿
A18.011+M49.0* 结核性脊柱后凸
A18.012+M49.0* 脊柱结核性截瘫
A18.013+M49.0* 结核性脊柱裂
A23.901+M49.1* 布氏菌病脊柱炎
M24.203 项韧带肥厚
M24.204 黄韧带肥厚
M24.205 寰枢横韧带松弛
M24.301 自发性寰枢椎脱位
M24.302 自发性寰枢椎半脱位
M40.000 姿势性脊柱后凸
M40.000x091 青年型姿势性脊柱后凸
M40.100 继发性脊柱后凸，其他的
M40.100x051 继发性胸腰段脊柱后凸
M40.101 强直性脊柱炎后凸畸形
M40.200x021 颈椎后凸
M40.200x041 胸椎后凸
M40.200x061 腰椎后凸
M40.201 脊柱后凸
M40.300 直背综合征
M40.401 后天性脊柱前凸
M40.402 姿势性脊柱前凸
M40.500 脊柱前凸
M40.501 鞍状背
M41.000 婴儿特发性脊柱侧弯
M41.101 青少年特发性脊柱侧弯
M41.200 特发性脊柱侧弯，其他的
M41.300 胸源性脊柱侧弯
M41.400 神经肌肉性脊柱侧弯
M41.400x091 脊髓灰质炎后脊柱侧弯
M41.401 麻痹性脊柱侧弯
M41.500 继发性脊柱侧弯，其他的
M41.501 创伤性脊柱侧弯
M41.800 脊柱侧弯，其他形式的
M41.900 脊柱侧弯
M41.900x061 腰椎侧弯
M41.901 脊柱后侧凸
M42.900 脊柱骨软骨病
M43.001 枕寰枢椎滑脱
M43.002 颈椎滑脱
M43.003 颈椎胸椎滑脱
M43.004 胸椎滑脱
M43.005 胸椎腰椎滑脱
M43.006 腰椎滑脱
M43.007 腰骶部脊椎滑脱
M43.008 骶尾部滑脱
M43.009 腰椎峡部裂
M43.100x011 后天性寰枢椎滑脱
M43.100x021 颈椎前移
M43.100x041 胸椎前移
M43.100x061 腰椎前移
M43.100x062 后天性腰椎滑脱
M43.100x071 腰骶脊椎前移
M43.100x091 后天性脊椎滑脱
M43.101 创伤性脊椎前移
M43.102 变性性脊椎前移
M43.201 寰枢椎关节强硬
M43.202 骶髂关节强硬
M43.203 后天性脊柱关节强硬
M43.300 复发性寰枢不完全性脱位伴有脊髓病
M43.400 复发性寰枢不完全性脱位，其他的
M43.501 复发性颈椎不完全性脱位
