包含以下主要手术或操作：
08.2200x003 眼睑小病损切除术
08.2201 睑板腺病损切除术
09.7300x001 泪小管成形术
09.7300x004 泪道重建术
09.7301 泪小管吻合术
18.2100x006 耳前瘘管切除术
18.2101 耳前病损切除术
18.2900x003 耳廓病损切除术
18.2900x009 外耳道病损切除术
18.2900x016 耳廓皮肤和皮下坏死组织切除清创术
18.2900x017 耳廓皮肤和皮下组织非切除性清创
18.2901 外耳病损切除术
18.2902 外耳病损烧灼术
18.2903 外耳病损冷冻术
18.2904 外耳病损刮除术
18.2905 外耳病损电凝术
18.2907 副耳切除术
18.3100 外耳病损根治性切除术
18.3900x003 耳廓切除术
18.3901 外耳切断术
20.5100x002 耳后病损切除术
21.3200x010 鼻皮肤和皮下坏死组织切除清创术
21.3200x011 鼻皮肤和皮下组织非切除性清创
21.3201 鼻部皮肤病损切除术
21.4x00 鼻部分切除术
21.7200 鼻骨折开放性复位术
21.7200x001 内镜下鼻骨骨折切开复位术
21.8100 鼻裂伤缝合术
27.0x01 颌间隙引流术
27.0x02 面部引流术
27.0x03 颌下切开引流术
27.0x04 颊部切开引流术
27.0x05 颏下切开引流术
27.0x06 口底切开引流术
27.0x08 咽旁间隙切开引流术
27.0x09 唇切开引流术
27.0x10 面部脓肿引流术
27.0x11 翼腭窝切开异物取出术
27.4200 唇病损广泛切除术
27.4300x010 唇部皮肤和皮下坏死组织切除清创术
27.4300x011 唇部皮肤和皮下组织非切除性清创
27.4301 唇病损切除术
27.4302 唇病损激光烧灼术
29.2x00x001 鳃裂囊肿切除术
29.5200x002 鳃裂瘘管切除术
31.7400x001 气管造口扩张术
34.0102 胸壁切开异物取出术
34.4x01 胸壁病损切除术
34.7101 胸壁清创缝合术
34.7900x001 胸壁修补术
38.6000x011 躯干部血管瘤切除术
38.6300x001 肱动脉瘤切除术
38.6301 上肢动脉瘤切除术
38.6302 上肢血管病损切除术
38.6800x002 下肢动脉病损切除术
38.6801 腘动脉瘤切除术
38.6802 股动脉瘤切除术
39.9800x001 伤口止血术
39.9801 手术后伤口止血术
40.0x01 淋巴管探查术
40.2100 深部颈淋巴结切除术
40.2300 腋淋巴结切除术
40.2400 腹股沟淋巴结切除术
40.2900x002 单纯淋巴结切除术
40.2900x008 颌下淋巴结切除术
40.2900x020 腹壁淋巴管瘤(囊肿)切除术
40.2901 锁骨上淋巴结切除术
40.2910 淋巴管瘤切除术
40.3x00x001 淋巴结扩大性区域性切除术
40.3x00x002 淋巴结区域性切除术
40.9x00x016 淋巴管瘤注射术
54.0x00x001 骶部脓肿切开引流术
54.0x00x002 腹壁窦道切开引流术
54.0x00x004 腹壁脓肿切开引流术
54.0x00x006 腹膜外脓肿切开引流术
54.0x00x010 腹壁血肿清除术
54.0x00x013 腹股沟脓肿切开引流术
54.0x00x021 腹膜外血肿清除术
54.0x00x022 脐脓肿切开引流术
54.0x03 腹壁异物取出术
54.3x00x004 腹壁窦道扩创术
54.3x00x010 腹壁伤口扩创术
54.3x00x011 腹壁伤口清创术
54.3x00x027 脐病损切除术
54.3x01 腹壁病损切除术
54.3x03 腹股沟病损切除术
54.3x04 脐切除术
54.3x05 盆腔壁病损切除术
54.3x06 腹壁清创术
54.3x07 腹壁脐尿管囊肿切除术
54.4x00x012 骶尾部病损切除术
54.4x00x047 腰骶病损切除术
54.6301 腹壁裂伤缝合术
54.7200x001 腹壁补片修补术
61.3x00x005 阴囊皮肤和皮下坏死组织切除清创术
61.3x00x006 阴囊皮肤和皮下组织非切除性清创
61.3x02 阴囊部分切除术
61.3x03 阴囊病损切除术
61.3x04 阴囊象皮病复位术
