包含以下主要诊断：
E00.000 先天性碘缺乏综合征，神经病型
E00.000x002 神经病型地方性呆小病
E00.100 先天性碘缺乏综合征，黏液水肿型
E00.100x002 黏液水肿型地方性呆小病
E00.100x003 甲状腺功能减退型地方性呆小病
E00.200 先天性碘缺乏综合征，混合型
E00.200x002 混合型地方性呆小病
E00.900 先天性碘缺乏综合征
E00.900x002 先天性碘缺乏性甲状腺功能减退症
E00.900x004 地方性克汀病
E00.900x005 散发性克汀病
E00.901 呆小病
E01.000 碘缺乏相关性弥漫性（地方性）甲状腺肿
E01.000x002 碘缺乏相关性弥漫性锁骨下甲状腺肿
E01.000x003 碘缺乏相关性弥漫性胸骨后甲状腺肿
E01.100 碘缺乏相关性多结节性（地方性）甲状腺肿
E01.100x002 碘缺乏相关性多结节性胸骨后甲状腺肿
E01.100x003 碘缺乏相关性结节性甲状腺肿
E01.200 碘缺乏相关性（地方性）甲状腺肿
E01.200x001 幼年期缺碘性甲状腺肿
E01.201 地方性甲状腺肿
E01.800x002 后天性碘缺乏性甲状腺功能减退症
E01.801 碘性甲状腺功能减退
E02.x00 临床症状不明显［亚临床］的碘缺乏性甲状腺功能减退症
E03.000 先天性甲状腺功能减退症伴有弥漫性甲状腺肿
E03.000x002 先天性非毒性甲状腺肿
E03.000x004 先天性实质的甲状腺肿
E03.001 先天性甲状腺肿
E03.100 先天性甲状腺功能减退症不伴有甲状腺肿
E03.100x001 先天性甲状腺萎缩
E03.100x002 甲状腺发育不全伴黏液性水肿
E03.100x004 先天性甲状腺功能不全
E03.101 甲状腺发育不良
E03.200x003 外源性物质引起的甲状腺功能减退症
E03.201 药物性甲状腺功能减退症
E03.202 医源性甲状腺功能减退症
E03.300 感染后甲状腺功能减退症
E03.400 甲状腺萎缩（后天性）
E03.801 继发性甲状腺功能减退症
E03.802 原发性甲状腺功能减退症
E03.900 甲状腺功能减退症
E03.900x006 亚临床甲状腺功能减退
E03.901 黏液性水肿
E04.000 非毒性弥漫性甲状腺肿
E04.001 单纯性甲状腺肿
E04.100 非毒性单个甲状腺结节
E04.100x005 非毒性单结节性甲状腺肿
E04.101 甲状腺结节
E04.102 甲状腺囊肿
E04.103 胸骨后甲状腺囊肿
E04.104 胶性结节甲状腺肿
E04.200 非毒性多结节性甲状腺肿
E04.200x001 囊性甲状腺肿
E04.200x003 非毒性多个甲状腺结节
E04.201 甲状腺肿伴囊性变
E04.801 青春期甲状腺肿
E04.900x001 甲状腺肿
E04.900x006 甲状腺锥叶代偿性肿大
E04.901 胸骨后甲状腺肿
E04.902 结节性甲状腺肿
E04.903 胸骨后结节性甲状腺肿
E04.904 锁骨下甲状腺肿
E05.000 甲状腺毒症伴有弥漫性甲状腺肿
E05.001 弥漫性甲状腺肿伴甲状腺功能亢进症
E05.003 毒性弥漫性甲状腺肿
E05.100 甲状腺毒症伴有毒性单个甲状腺结节
E05.200 甲状腺毒症伴有毒性多结节性甲状腺肿
E05.200x004 高功能腺瘤伴甲状腺功能亢进症
E05.201 毒性结节性甲状腺肿
E05.202 结节性甲状腺肿伴甲状腺功能亢进症
E05.203 自主性高功能性甲状腺腺瘤伴甲状腺功能亢进症
E05.300 来自异位甲状腺组织的甲状腺毒症
E05.301 异位甲状腺肿
E05.302 纵隔甲状腺肿
E05.400 人为甲状腺毒症
E05.400x001 医源性甲状腺功能亢进症
E05.500 甲状腺危象
E05.800x001 TSH 依赖性甲状腺功能亢进症
E05.800x005 亚临床甲状腺功能亢进
E05.801 促甲状腺激素分泌过度
E05.802 碘原性甲状腺功能亢进症
E05.804 药物性甲状腺功能亢进症
E05.805 原发性甲状腺功能亢进症
E05.806 促甲状腺激素不适当分泌综合征
E05.900x001 甲状腺功能亢进症
E05.905 亚临床甲状腺功能亢进症
E06.000 急性甲状腺炎
E06.000x003 化脓性甲状腺炎
E06.001 急性化脓性甲状腺炎
E06.002 甲状腺脓肿
E06.100 亚急性甲状腺炎
E06.100x001 亚急性肉芽肿性甲状腺炎
E06.100x002 亚急性甲状腺炎[德奎尔万甲状腺炎]
E06.100x003 亚急性巨细胞性甲状腺炎
E06.100x004 亚急性非化脓性甲状腺炎
E06.200 慢性甲状腺炎伴有短暂性甲状腺毒症
E06.300 自身免疫性甲状腺炎
E06.300x001 短暂性桥本甲状腺毒症
E06.300x004 淋巴瘤性甲状腺肿
E06.300x005 淋巴细胞性甲状腺炎
E06.301 淋巴细胞性甲状腺肿
E06.303 淋巴瘤性甲状腺瘤
E06.304 桥本甲状腺炎
E06.400 药物性甲状腺炎
E06.400x002 医源性甲状腺炎
E06.500x001 慢性侵袭性甲状腺炎
E06.500x002 慢性纤维性甲状腺炎
E06.500x004 甲状腺炎性包块
E06.501 里德尔甲状腺炎
E06.502 慢性甲状腺炎
E06.900 甲状腺炎
E07.000 降钙素分泌过多
E07.000x001 高降钙素血症
E07.000x002 甲状腺降钙素分泌过多
E07.001 甲状腺 C 细胞增生
E07.100 激素生成障碍性甲状腺肿
E07.100x002 彭德莱综合征[家族性呆小聋哑症]
E07.100x003 家族性激素生成障碍性甲状腺肿
E07.800x001 甲状腺出血
E07.800x003 甲状腺功能正常的病态综合征
E07.800x004 甲状腺激素不敏感综合征[T4 抵抗综合征]
E07.800x007 甲状腺结合球蛋白异常
E07.800x009 甲状腺梗死
E07.800x011 甲状腺不典型增生
E07.801 甲状腺激素抵抗综合征
E07.802 甲状腺钙化
E07.803 甲状腺囊肿出血
E07.804 低 T3 综合征
E07.805 手术后甲状腺瘘
E07.806 甲状腺病态综合征
E07.901 甲状腺肿物
E15.x00x001 低血糖性昏迷
E15.x00x002 非糖尿病引起的药物性胰岛素性昏迷
E15.x00x004 胰岛素分泌过多伴低血糖性昏迷
E16.000x001 药物性低血糖
E16.100x001 反应性低血糖症[餐后低血糖症]
E16.100x002 高胰岛素血症
E16.100x004 胰岛β细胞增生
E16.100x005 功能性非高胰岛素性低血糖
E16.100x006 功能性胰岛素分泌过多
E16.100x010 自身免疫性胰岛素综合征
E16.100x013 婴儿持续性高胰岛素血症性低血糖
E16.101 反应性低血糖症
E16.102 自身免疫性低血糖症
E16.103 功能性高胰岛素血症
E16.104 功能性非胰岛素性低血糖
E16.105 胰岛素自身免疫综合征
E16.106 婴儿低血糖症
E16.109 酒精性低血糖症
E16.110 先天性高胰岛素性低血糖血症
E16.112 先天性高胰岛素血症
E16.200 低血糖
E16.300 高血糖素分泌增多
E16.300x001 胰腺内分泌细胞增生伴胰升糖素过多
E16.300x002 胰升糖素分泌过多
E16.301 胰高血糖素血症
E16.800x001 胰腺胰多肽分泌过多
E16.800x002 胰腺生长抑素分泌过多
E16.800x003 胰腺血管活性肠肽分泌过多
E16.800x004 胰腺生长激素释放激素分泌过多
E16.800x006 A 型胰岛素抵抗综合征
E16.800x007 B 型胰岛素抵抗综合征
E16.800x103 糖耐量受损伴内脏脂肪沉积增加
E16.800x104 糖耐量受损伴胰岛素抵抗
E16.800x105 糖耐量受损伴黑棘皮症或血脂障碍或高胰岛素血症或肥胖症
E16.800x901 糖耐量受损
E16.801 胰岛素抵抗
E16.802 胰腺生长抑素增加
E16.804 自身免疫性胰岛素受体病
E16.900x002 胰腺内分泌细胞增生
E16.901 胰岛细胞增生症
E20.000 特发性甲状旁腺功能减退症
E20.100 假性甲状旁腺功能减退症
E20.801 继发性甲状旁腺功能减退症
E20.802 先天性甲状旁腺功能减退症
E20.900 甲状旁腺功能减退症
E20.901 甲状旁腺性手足搐搦
E21.000 原发性甲状旁腺功能亢进症
E21.000x007 股骨囊性纤维性骨炎
E21.001 甲状旁腺增生
E21.002 全身囊性纤维性骨炎
E21.003 下颌骨囊性纤维性骨炎
E21.004 脊柱囊性纤维性骨炎
E21.005 上肢骨囊性纤维性骨炎
E21.006 下肢骨囊性纤维性骨炎
E21.100x001 继发性甲状旁腺功能亢进
E21.201 三发性甲状旁腺功能亢进症
E21.300 甲状旁腺功能亢进症
E21.300x002 甲状旁腺激素升高
E21.301 甲状旁腺功能亢进危象
E21.400x001 甲状旁腺出血
E21.400x003 甲状旁腺炎
E21.401 甲状旁腺囊肿
E21.402 甲状旁腺囊肿出血
E21.500 甲状旁腺的疾患
E22.000x001 垂体性巨人症
E22.000x002 生长激素生成过多
E22.000x005 垂体生长激素瘤
E22.001 肢端肥大症
E22.002 生长激素过度分泌综合征
E22.100 高催乳素血症
E22.200 抗利尿激素分泌失调综合征
E22.801 垂体多分泌功能瘤
E22.802 中枢性性早熟
E22.900 垂体功能亢进
