包含以下主要诊断：
D35.700 内分泌腺良性肿瘤，其他特指的
D44.800 累及多个腺体动态未定或动态未知的肿瘤
E10.500x021+I79.2* 1型糖尿病性周围血管病及坏疽
E10.500x043 1型糖尿病性下肢溃疡
E10.500x044 1型糖尿病性足坏疽
E10.500x045 1型糖尿病性急性皮肤坏疽
E10.500x046 1型糖尿病性细菌性坏疽
E10.500x047 1型糖尿病性溶血性坏疽
E10.500x048 1型糖尿病性富尼埃坏疽
E10.500x049 1型糖尿病性曼莱尼坏疽
E10.500x051 1型糖尿病性下肢感染
E10.501+I79.2* 1型糖尿病性周围血管病变
E10.503 1型糖尿病性足病
E10.504 1型糖尿病性溃疡
E10.505 1型糖尿病性坏疽
E10.600x910 1型糖尿病性肌坏死
E10.600x911 1型糖尿病性坏死性筋膜炎
E10.600x920 1型糖尿病性无菌性肌坏死
E10.600x930 1型糖尿病性缺血性肌坏死
E10.700x031 1型糖尿病性足溃疡和周围血管病
E10.700x032 1型糖尿病性足溃疡和周围神经病
E11.400x311+G99.0* 2型糖尿病性体位性低血压
E11.500x043 2型糖尿病性下肢溃疡
E11.500x044 2型糖尿病性足坏疽
E11.500x045 2型糖尿病性急性皮肤坏疽
E11.500x046 2型糖尿病性细菌性坏疽
E11.500x047 2型糖尿病性溶血性坏疽
E11.500x048 2型糖尿病性富尼埃坏疽
E11.500x049 2型糖尿病性曼莱尼坏疽
E11.500x051 2型糖尿病性下肢感染
E11.503 2型糖尿病足病
E11.504 2型糖尿病性溃疡
E11.505 2型糖尿病性坏疽
E11.600x910 2型糖尿病性肌坏死
E11.600x911 2型糖尿病性坏死性筋膜炎
E11.600x920 2型糖尿病性无菌性肌坏死
E11.600x930 2型糖尿病性缺血性肌坏死
E11.700x031 2型糖尿病性足溃疡和周围血管病
E11.700x032 2型糖尿病性足溃疡和周围神经病
E12.500 营养不良相关性糖尿病伴有周围循环并发症
E14.500x011+I79.2* 糖尿病性周围血管病
E14.500x021+I79.2* 糖尿病性周围血管病及坏疽
E14.500x041 糖尿病性溃疡
E14.500x042 糖尿病性坏疽
E14.500x043 糖尿病性下肢溃疡
E14.500x044 糖尿病性足坏疽
E14.500x045 糖尿病性急性皮肤坏疽
E14.500x046 糖尿病性细菌性坏疽
E14.500x047 糖尿病性溶血性坏疽
E14.500x048 糖尿病性富尼埃坏疽
E14.500x049 糖尿病性曼莱尼坏疽
E14.500x050 糖尿病足
E14.500x051 糖尿病性下肢感染
E14.600x910 糖尿病性肌坏死
E14.600x911 糖尿病性坏死性筋膜炎
E14.600x920 糖尿病性无菌性肌坏死
E14.600x930 糖尿病性缺血性肌坏死
E14.700x031 糖尿病性足溃疡和周围血管病
E14.700x032 糖尿病性足溃疡和周围神经病
E52.x00 烟酸缺乏［糙皮病］
E52.x00x002 酒精性糙皮病
E65.x00x002 局部性肥胖症
E65.x00x010 肩部脂肪增多症
E65.x00x011 腋部脂肪增多症
E65.x00x013 小腿脂肪增多症
E65.x01 腰部脂肪堆积
E65.x02 背部脂肪堆积
E65.x03 上肢脂肪堆积
E65.x04 脂肪垫
E65.x05 下颌脂肪袋
E65.x07 颈部脂肪堆积
E65.x08 面颊脂肪堆积
E65.x09 大腿脂肪堆积
E65.x10 腹部脂肪堆积
E65.x11 臀部脂肪堆积
E65.x12 盆腔脂肪增多症
E65.x13 硬膜外脂肪过多症
E66.000 过度热能引起的肥胖症
E66.100 药物性肥胖症
E66.200 极度肥胖症伴有小泡性肺换气不足
E66.201 极度肥胖伴低通气综合征
E66.801 病态性肥胖
E66.900 肥胖症
E66.900x001 单纯性肥胖
E66.901 重度肥胖
E67.000 维生素 A 过多症
E67.100 高胡萝卜素血症
E67.200 大剂量维生素 B6综合征
E67.300 维生素 D 过多症
E71.300 脂肪酸代谢紊乱
E71.300x005 继发性肉碱缺乏症
E71.300x011 肾 上 腺 脑 白 质 营 养 不 良[Addison-Schilder 综合征]
E71.302 原发性肉碱缺乏症
E71.304 肉毒碱棕榈酰转移酶缺乏症
