包含以下主要手术或操作：
03.9400x001 骶神经电刺激器导线取出术
04.9200x003 骶神经神经刺激器导线置入术
04.9203 骶神经神经刺激器置入术
04.9301 骶神经刺激电极取出术
56.4103 输尿管口囊肿切除术
56.5101 乙状结肠膀胱腹壁造口术
56.5102 回肠输尿管皮肤造口术
56.7101 输尿管-回肠吻合术
56.7103 输尿管-直肠吻合术
56.7200 输尿管肠吻合术的修复术
56.7401 用膀胱补片的输尿管置换术
56.8909 腹腔镜下膀胱瓣代输尿管术
57.0x00x002 经尿道膀胱镜膀胱碎石钳碎石术
57.0x00x003 经尿道膀胱镜膀胱异物取出术
57.0x00x005 经尿道膀胱镜膀胱取石术
57.0x00x006 经尿道膀胱镜膀胱血块清除术
57.0x00x007 经尿道膀胱镜膀胱激光碎石术
57.0x00x008 经尿道膀胱镜膀胱超声碎石取石术
57.0x00x009 经尿道膀胱镜膀胱气压弹道碎石取石术
57.0x00x010 经尿道膀胱镜膀胱超声碎石术
57.0x00x011 经尿道膀胱镜膀胱气压弹道碎石术
57.0x00x012 经尿道膀胱镜膀胱激光碎石取石术
57.0x00x013 经尿道膀胱镜膀胱碎石钳碎石取石术
57.0x02 经尿道膀胱异物取出术
57.0x03 经尿道膀胱取石术
57.0x04 经尿道膀胱血块清除术
57.0x05 经尿道膀胱超声碎石术
57.0x06 经尿道膀胱激光碎石术
57.0x07 经尿道膀胱气压弹道碎石术
57.0x08 经尿道膀胱碎石钳碎石取石术
57.1200 膀胱切开的膀胱腔内粘连松解术
57.1700x002 经皮膀胱造口钬激光碎石取石术
57.1901 膀胱探查术
57.1902 膀胱切开取石术
57.1903 膀胱切开异物取出术
57.1904 膀胱切开引流术
57.1905 膀胱切开血块清除术
57.2100 膀胱造口术
57.2200 膀胱造口修复术
57.3400x002 直视下膀胱活检术
57.4100x002 经尿道膀胱腔内粘连松解术
57.4900x001 经尿道膀胱病损电切术
57.4901 经尿道膀胱病损切除术
57.4902 经尿道膀胱颈电切术
57.4903 经尿道膀胱病损激光烧灼术
57.4904 经尿道膀胱部分切除术
57.5100 脐尿管切除术
57.5100x001 脐尿管病损切除术
57.5100x003 腹腔镜下脐尿管病损切除术
57.5101 膀胱脐尿管瘘切除术
57.5102 腹腔镜下脐尿管切除术
57.5900x001 膀胱病损激光切除术
57.5900x002 膀胱镜下膀胱病损切除术
57.5901 膀胱病损切除术
57.5902 膀胱憩室切除术
57.5903 膀胱颈切除术
57.5904 膀胱病损耻骨上切除术
57.5905 膀胱内膜切除术
57.5906 膀胱病损电灼术
57.6x00 部分膀胱切除术
