包含以下主要手术或操作：
16.9200 眼眶病损切除术
16.9300x003 眶内病损切除术
18.2101 耳前病损切除术
18.2900x009 外耳道病损切除术
18.2902 外耳病损烧灼术
18.2903 外耳病损冷冻术
18.2904 外耳病损刮除术
18.2905 外耳病损电凝术
18.3901 外耳切断术
20.5100x002 耳后病损切除术
21.3101 鼻息肉切除术
21.3102 内镜下鼻息肉切除术
21.3103 鼻内病损切除术
21.3104 内镜下鼻内病损切除术
21.3105 鼻内病损破坏术
21.3106 内镜下鼻内病损破坏术
21.3107 鼻息肉激光烧灼术
21.3108 鼻内病损激光烧灼术
21.3109 内镜下鼻内病损射频消融术
21.3201 鼻部皮肤病损切除术
21.4x00 鼻部分切除术
26.2901 腮腺病损切除术
26.2902 涎腺病损切除术
26.2903 舌下腺病损切除术
26.2904 颌下腺病损切除术
26.2906 副腮腺病损切除术
26.3000 涎腺切除术
26.3100x008 腮腺深叶切除术
26.3100x009 腮腺浅叶切除术
26.3101 腮腺部分切除术
26.3102 腮腺叶切除术
26.3103 舌下腺部分切除术
26.3104 颌下腺部分切除术
26.3105 副腮腺切除术
26.3201 腮腺切除术
26.3202 舌下腺切除术
26.3203 颌下腺切除术
27.4200 唇病损广泛切除术
27.4301 唇病损切除术
27.4302 唇病损激光烧灼术
27.4900x007 口底病损切除术
27.4902 颌下区病损切除术
27.4903 颊内部病损切除术
27.4905 鼻唇病损切除术
27.4906 口腔病损切除术
27.4907 口病损射频消融术
27.4908 口病损激光烧灼术
27.4909 软腭射频消融术
27.4910 软腭切除术
27.9900x005 面部病损切除术
27.9901 颊部病损切除术
27.9902 颏下病损切除术
28.9200x002 扁桃体病损射频消融术
28.9201 扁桃体病损切除术
28.9202 腺样增殖体病损切除术
29.3900x001 鼻咽病损切除术
29.3900x007 支撑喉镜下鼻咽病损切除术
29.3900x017 咽颌淋巴烧灼术
29.3902 咽旁病损切除术
32.3001 胸腔镜下肺叶部分切除术
32.3902 肺叶部分切除术
34.0200x001 开胸探查术
34.0200x003 胸腔镜中转开胸探查术
34.2000 胸腔镜胸膜活组织检查
34.2100x001 胸腔镜检查
34.2200 纵隔镜检查
34.2502 胸腔镜下纵隔活组织检查
34.2600 开放性纵隔活组织检查
34.4x01 胸壁病损切除术
34.4x03 胸腔镜下胸壁病损切除术
34.5901 胸膜部分切除术
38.7x01 腔静脉结扎术
38.7x02 腔静脉折叠术
38.7x03 上腔静脉滤器置入术
38.7x04 下腔静脉滤器置入术
38.8606 脾动脉结扎术
39.7900x809 下肢静脉滤器置入术
39.7904 经导管脾动脉栓塞术
39.9000x010 脾动脉支架置入术
40.0x00x001 淋巴结切开引流术
40.0x00x002 皮下淋巴抽吸术
40.0x01 淋巴管探查术
40.1100x003 腹腔镜下淋巴结活检术
40.1100x004 纵隔镜下淋巴结活检术
40.2200 乳房内淋巴结切除术
40.2400 腹股沟淋巴结切除术
40.2900x002 单纯淋巴结切除术
40.2900x008 颌下淋巴结切除术
40.2900x017 腹膜后淋巴管瘤(囊肿)切除术
40.2900x019 肢体淋巴管瘤(囊肿)切除术
40.2900x020 腹壁淋巴管瘤(囊肿)切除术
40.2900x030 上肢淋巴结切除术
40.2900x031 下肢淋巴结切除术
40.2902 肺门淋巴结切除术
40.2904 纵隔淋巴结切除术
40.2906 腹腔淋巴结切除术
40.2908 肠系膜淋巴结切除术
40.2910 淋巴管瘤切除术
40.3x00x001 淋巴结扩大性区域性切除术
40.3x00x002 淋巴结区域性切除术
40.4100 根治性颈淋巴结清扫，单侧
40.4200 根治性颈淋巴结清扫，双侧
40.5000 淋巴结根治性切除术
40.5100 腋下淋巴结根治性切除术
40.5101 腔镜腋下淋巴结清扫术
40.5301 腹腔镜髂淋巴结清扫术
40.5400x001 腹股沟淋巴结清扫术
40.5400x002 腹腔镜下腹股沟淋巴结清扫术
40.5400x003 腹股沟浅淋巴结清扫术
40.5900x010 腹腔镜下腹膜后淋巴结清扫术
40.5900x021 下肢淋巴结清扫术
40.5901 颌下淋巴结清扫术
40.5905 肺门淋巴结清扫术
40.5906 纵隔淋巴结清扫术
40.5907 腹膜后淋巴结清扫术
40.5908 腹腔淋巴结清扫术
40.5909 肠系膜淋巴结清扫术
40.5910 盆腔淋巴结清扫术
40.5911 腹腔镜腹腔淋巴结清扫术
40.5912 腹腔镜盆腔淋巴结清扫术
40.5914 胸腔镜纵隔淋巴结清扫术
40.6100 胸导管套管置入术
40.6200 胸导管造瘘术
40.6300 胸导管瘘口闭合术
40.6301 胸腔镜淋巴瘘修补术
40.6400 胸导管结扎术
40.6900x002 胸导管-颈外静脉吻合术
40.6900x003 胸导管狭窄扩张术
40.6900x004 胸导管成形术
40.6901 胸导管颈内静脉吻合术
40.9x00x003 周围淋巴管-小静脉吻合术
40.9x00x004 淋巴干-小静脉吻合术
40.9x00x006 髂淋巴干-小静脉吻合术
40.9x00x007 肠淋巴干-小静脉吻合术
40.9x00x008 淋巴水肿矫正 Homans-Macey 手术[Homan 手术]
