诊断操作包括如下：
C47.000x001 头部周围神经和自主神经恶性肿瘤
C47.000x002 面部周围神经和自主神经恶性肿瘤
C47.000x003 颈部周围神经和自主神经恶性肿瘤
C47.100x001 上肢周围神经和自主神经恶性肿瘤
C47.100x004 腕周围神经和自主神经恶性肿瘤
C47.100x005 臂神经恶性肿瘤
C47.100x006 臂丛恶性肿瘤
C47.100x007 正中神经恶性肿瘤
C47.100x008 桡神经恶性肿瘤
C47.100x009 尺神经恶性肿瘤
C47.101 肩部神经恶性肿瘤
C47.102 手神经恶性肿瘤
C47.200x001 下肢周围神经和自主神经恶性肿瘤
C47.200x004 髂部周围神经和自主神经恶性肿瘤
C47.200x005 踝部周围神经和自主神经恶性肿瘤
C47.200x006 股神经恶性肿瘤
C47.200x007 闭孔神经恶性肿瘤
C47.200x008 坐骨神经恶性肿瘤
C47.201 髋神经恶性肿瘤
C47.202 足神经恶性肿瘤
C47.300 胸部周围神经恶性肿瘤
C47.300x002 腋部周围神经和自主神经恶性肿瘤
C47.300x003 膈部周围神经和自主神经恶性肿瘤
C47.300x004 肩胛区周围神经和自主神经恶性肿瘤
C47.300x005 肋间神经恶性肿瘤
C47.400 腹部周围神经恶性肿瘤
C47.400x002 脐部周围神经和自主神经恶性肿瘤
C47.500 盆腔周围神经恶性肿瘤
C47.500x001 骨盆周围神经和自主神经恶性肿瘤
C47.500x002 臀部周围神经和自主神经恶性肿瘤
C47.500x004 会阴周围神经和自主神经恶性肿瘤
C47.500x005 骶部周围神经和自主神经恶性肿瘤
C47.500x006 骶尾周围神经和自主神经恶性肿瘤
C47.500x007 直肠膀胱隔周围神经和自主神经恶性肿瘤
C47.500x008 直肠阴道隔周围神经和自主神经恶性肿瘤
C47.500x009 直肠周围周围神经和自主神经恶性肿瘤
C47.500x010 坐骨直肠窝周围神经和自主神经恶性肿瘤
C47.500x012 腰骶丛恶性肿瘤
C47.500x013 骶神经恶性肿瘤
C47.500x014 骶丛恶性肿瘤
C47.501 腹股沟神经恶性肿瘤
C47.600 躯干周围神经恶性肿瘤
C47.600x002 背部周围神经和自主神经恶性肿瘤
C47.600x003 腰部周围神经和自主神经恶性肿瘤
C47.800 周围神经和自主神经系统交搭跨越恶性肿瘤的损害
C47.900 周围神经和自主神经系统恶性肿瘤
C70.000 脑膜恶性肿瘤
C70.000x002 硬脑膜恶性肿瘤
C70.100x001 脊膜恶性肿瘤
C70.100x003 硬脊膜恶性肿瘤
C70.900 脑脊膜恶性肿瘤
C70.901 硬膜下恶性肿瘤
C71.000 大脑(除外脑叶和脑室)恶性肿瘤
C71.000x004 岛叶恶性肿瘤
C71.000x006 基底节恶性肿瘤
C71.000x007 脑白质恶性肿瘤
C71.001 幕上恶性肿瘤
C71.002 丘脑恶性肿瘤
C71.003 胼胝体恶性肿瘤
C71.100 额叶恶性肿瘤
C71.200 颞叶恶性肿瘤
C71.300 顶叶恶性肿瘤
C71.400 枕叶恶性肿瘤
C71.500 脑室恶性肿瘤
C71.500x003 侧脑室恶性肿瘤
C71.500x004 第三脑室恶性肿瘤
C71.501 脉络丛恶性肿瘤
C71.600 小脑恶性肿瘤
C71.601 小脑蚓部恶性肿瘤
C71.602 小脑扁桃体恶性肿瘤
C71.700 脑干恶性肿瘤
C71.701 脑桥恶性肿瘤
C71.702 延髓恶性肿瘤
C71.703 第四脑室恶性肿瘤
C71.704 幕下恶性肿瘤
C71.705 中脑恶性肿瘤
C71.800 脑交搭跨越恶性肿瘤的损害
C71.800x006 额颞岛叶恶性肿瘤
C71.800x007 额叶和丘脑及胼胝体恶性肿瘤
C71.800x008 大脑皮层多处恶性肿瘤
C71.801 额顶叶恶性肿瘤
C71.802 额颞顶叶恶性肿瘤
C71.803 顶枕叶恶性肿瘤
C71.804 顶颞叶恶性肿瘤
C71.805 颞顶枕叶恶性肿瘤
C71.806 额颞叶恶性肿瘤
C71.807 颞叶脑岛恶性肿瘤
C71.808 颞枕叶恶性肿瘤
C71.809 脑桥小脑角恶性肿瘤
