诊断操作包括如下：
C80.002+G63.1* 恶性肿瘤性周围神经病
D48.900x011+G63.1* 副肿瘤相关性周围神经病
D51.901+G32.0* 维生素 B12 缺乏性贫血性脊髓后侧索硬化
E05.900x002+G73.0* 甲状腺功能亢进症合并周期性麻痹
E10.400x021+G63.2* 1 型糖尿病性多发性神经病
E10.400x022+G63.2* 1 型糖尿病性胰岛素相关性神经炎
E10.400x024+G63.2* 1 型糖尿病性远端对称性周围神经病
E10.400x025+G63.2* 1 型糖尿病性小神经纤维周围神经病
E10.400x026+G63.2* 1 型糖尿病性感觉运动性周围神经病
E10.400x110+G59.0* 1 型糖尿病性单神经病
E10.400x111+G59.0* 1 型糖尿病性胸神经根病
E10.400x112+G59.0* 1 型糖尿病性躯干神经根病
E10.400x121+G73.0* 1 型糖尿病性肌无力综
E10.400x130+G59.0* 1 型糖尿病性脑神经麻合征 痹
E10.400x150+G59.0* 1 型糖尿病性外展神经麻痹
E10.400x160+G59.0* 1 型糖尿病性股神经病
E10.400x170+G59.0* 1 型糖尿病性多发性单神经病
E10.400x180+G59.0* 1 型糖尿病性眼肌麻痹
E10.400x190+G59.0* 1 型糖尿病性神经根病
E10.400x191+G59.0* 1 型糖尿病腰骶神经根神经丛病
E10.400x310+G99.0* 1 型糖尿病性出汗异常
E10.400x380+G99.0* 1 型糖尿病性膀胱张力减弱
E10.400x381+N33.8* 1 型糖尿病神经源性膀胱炎
E10.400x390+G99.0* 1 型糖尿病性神经性水肿
E10.400x901+G99.0* 1 型糖尿病性脊髓病
E10.400x910+G63.2* 1 型糖尿病伴神经系统并发症
E10.401+G63.2* 1 型糖尿病性周围神经病
E10.402+G99.0* 1 型糖尿病性自主神经病变
E10.403+G63.2* 1 型糖尿病性神经炎
E10.404+G99.0* 1 型糖尿病性神经源性膀胱
E11.400 2 型糖尿病伴有神经的并发症
E11.400x021+G63.2* 2 型糖尿病性多发性神经病
E11.400x022+G63.2* 2 型糖尿病性胰岛素相关性神经炎
E11.400x024+G63.2* 2 型糖尿病性远端对称性周围神经病
E11.400x025+G63.2* 2 型糖尿病性小神经纤维周围神经病
E11.400x026+G63.2* 2 型糖尿病性感觉运动性周围神经病
