诊断操作包括如下：
D17.000x004 肩部脂肪瘤
D17.100x001 躯干脂肪瘤
D17.100x002 乳房脂肪瘤
D17.100x003 胸壁脂肪瘤
D17.101 会阴脂肪瘤
D17.200x001 肢体脂肪瘤
D17.200x002 上肢脂肪瘤
D17.200x003 手脂肪瘤
D17.200x004 下肢脂肪瘤
D17.200x005 足脂肪瘤
D17.300x001 大阴唇脂肪瘤
D17.300x002 外阴脂肪瘤
D17.300x004 皮肤脂肪瘤
D17.300x005 皮下脂肪瘤
D17.301 皮肤和皮下组织良性脂肪瘤样肿瘤
D17.500x010 腹股沟脂肪瘤
D17.500x011 腹壁脂肪瘤
D17.900x001 多发性脂肪瘤
D17.900x002 脂肪瘤
D18.000x010 腹壁血管瘤
D18.000x018 肢端血管瘤
D18.000x847 臀血管瘤
D18.000x848 腰部血管瘤
D18.000x849 腋下血管瘤
D18.000x850 背血管瘤
D18.000x851 肘部血管瘤
D18.000x852 腕部血管瘤
D18.005 躯干部血管瘤
D18.006 肢体血管瘤
D18.007 皮肤血管瘤
D18.008 生殖器官血管瘤
D22.500 躯干黑素细胞痣
D22.500x008 骶部黑色素痣
D22.501 胸壁黑素细胞痣
D22.502 背黑素细胞痣
D22.503 乳房黑素细胞痣
D22.504 耻骨黑素细胞痣
D22.505 会阴黑素细胞痣
D22.506 肛门边缘黑素细胞痣
D22.507 肛门皮肤黑素细胞痣
D22.508 肛周黑素细胞痣
D22.509 肩胛间区黑素细胞痣
D22.510 腹股沟黑素细胞痣
D22.511 臀黑素细胞痣
D22.600 上肢(包括肩)黑素细胞痣
D22.601 肩黑素细胞痣
D22.602 手黑素细胞痣
D22.700 下肢(包括髋)黑素细胞痣
D22.701 足黑素细胞痣
D22.702 髋黑素细胞痣
D22.900 黑素细胞痣
D22.900x002 痣
D22.900x003 甲下痣
D22.900x017 大汗腺黑色素痣
D22.900x021 假性黑色素瘤
D23.400x003 头皮良性肿瘤
D23.401 颈部皮肤良性肿瘤
D23.500 躯干皮肤良性肿瘤
D23.500x003 肛门皮肤良性肿瘤
D23.500x006 胸部皮肤良性肿瘤
D23.500x010 会阴皮肤良性肿瘤
D23.501 背部皮肤良性肿瘤
D23.503 肛周皮肤良性肿瘤
D23.504 腹壁良性肿瘤
D23.505 腋皮肤良性肿瘤
D23.506 臀部皮肤良性肿瘤
D23.600x001 上肢皮肤良性肿瘤
D23.600x002 上肢端皮肤良性肿瘤
D23.601 肩皮肤良性肿瘤
D23.602 手皮肤良性肿瘤
D23.700x001 下肢皮肤良性肿瘤
D23.700x002 下肢端皮肤良性肿瘤
D23.701 髋皮肤良性肿瘤
D23.900 皮肤良性肿瘤
D28.000x001 外阴黑色素痣
D48.501 皮肤肿瘤
D48.503 头颈部皮肤肿瘤
D48.505 躯干皮肤肿瘤
D48.509 肛门边缘肿瘤
D48.511 肛门皮肤肿瘤
D48.513 肛周皮肤肿瘤
D48.515 上肢皮肤肿瘤
D48.517 下肢皮肤肿瘤
D86.300 皮肤结节病
D86.300x002 冻疮样狼疮型皮肤结节病
E05.906 甲亢性皮肤病
I89.800x012 乳糜回流障碍
I89.800x013 乳糜反流
