手术操作包括如下：
38.8609 子宫动脉结扎术
38.8700x002 卵巢动静脉高位结扎术
38.8700x008 子宫动静脉高位结扎术
38.8700x009 腹腔镜下卵巢动静脉高位结扎术
39.7900x019 髂动脉栓塞术
39.7900x023 卵巢静脉栓塞术
39.7906 经导管髂内动脉栓塞术
54.1101 腹腔镜中转剖腹探查术
65.0100x002 腹腔镜下卵巢切开探查术
65.0100x003 腹腔镜下卵巢切开引流术
65.0101 腹腔镜输卵管卵巢探查术
65.0102 腹腔镜卵巢造口术
65.0103 腹腔镜卵巢脓肿切开引流术
65.0105 腹腔镜卵巢囊肿开窗术
65.0900x003 卵巢切开探查术
65.0900x004 卵巢切开血肿清除术
65.0900x005 卵巢切开引流术
65.0901 输卵管卵巢切开探查术
65.0902 卵巢造口术
65.0903 卵巢脓肿切开引流术
65.0905 卵巢囊肿开窗术
65.1200x001 直视下卵巢活检术
65.2200 卵巢楔形切除术
65.2300 腹腔镜卵巢囊肿袋形缝合术[造袋术]
65.2400 腹腔镜卵巢楔形部分切除术
65.2500x003 腹腔镜下卵巢病损烧灼术
65.2500x005 腹腔镜下卵巢囊肿穿刺术
65.2500x011 腹腔镜下卵巢电凝术
65.2501 腹腔镜卵巢病损切除术
65.2502 腹腔镜卵巢病损破坏术
65.2503 腹腔镜卵巢黄体切除术
65.2504 腹腔镜卵巢黄体破坏术
65.2505 腹腔镜卵巢部分切除术
65.2900x001 卵巢病损烧灼术
65.2900x007 卵巢黄体血肿清除术
65.2900x011 卵巢囊肿穿刺术
65.2900x022 经阴道卵巢囊肿穿刺术
65.2901 卵巢病损切除术
65.2902 卵巢病损破坏术
65.2903 经阴道卵巢病损切除术
65.2904 经阴道卵巢病损破坏术
65.2905 卵巢黄体切除术
65.2906 卵巢部分切除术
65.3100 腹腔镜单侧卵巢切除术
65.3900x001 单侧卵巢切除术
65.4100 腹腔镜单侧输卵管-卵巢切除术
65.4900x001 单侧输卵管-卵巢切除术
65.4901 经阴道单侧输卵管卵巢切除术
65.5100 双侧卵巢切除术
65.5200 残留卵巢其他切除
65.5200x001 残留卵巢切除术
65.5300 腹腔镜双侧卵巢切除术
65.5400 腹腔镜残留卵巢切除术
65.6100 双侧输卵管卵巢切除术
65.6101 经阴道双侧输卵管卵巢切除术
65.6200x001 残留输卵管-卵巢切除术
65.6300 腹腔镜双侧卵巢和输卵管切除术
65.6400 腹腔镜残留卵巢和输卵管切除术
65.7100x001 卵巢单纯缝合术
65.7200x001 卵巢再植入术
65.7300x001 输卵管-卵巢成形术
65.7400 腹腔镜卵巢单纯缝合术
65.7500 腹腔镜卵巢再植入
65.7600 腹腔镜输卵管卵巢成形术
65.7900x008 腹腔镜下卵巢破裂修补术
65.7900x009 腹腔镜下卵巢破裂止血术
65.7900x010 卵巢重建术
65.7901 卵巢成形术
65.7902 卵巢固定术
65.7903 卵巢悬吊术
65.7904 腹腔镜卵巢悬吊术
65.7905 腹腔镜卵巢成形术
65.8101 腹腔镜卵巢粘连松解术
65.8102 腹腔镜输卵管粘连松解术
65.8900x001 输卵管-卵巢粘连松解术
65.8901 卵巢粘连松解术
65.8902 输卵管粘连松解术
65.9100 卵巢抽吸术
65.9101 腹腔镜卵巢穿刺抽吸术
65.9200 卵巢移植术
65.9400 卵巢去神经术
65.9500 卵巢扭转松解术
65.9901 卵巢打孔术
65.9902 腹腔镜卵巢打孔术
66.0100x003 腹腔镜下输卵管切开引流术
66.0100x005 输卵管切开引流术
66.0100x008 输卵管切开探查术
66.0101 腹腔镜输卵管探查术
66.0102 腹腔镜输卵管切开术
66.0200 输卵管造口术
66.0202 腹腔镜输卵管造口术
66.0203 腹腔镜输卵管造口去除输卵管妊娠术
66.2101 腹腔镜双侧输卵管挤压术
66.2102 腹腔镜双侧输卵管结扎和挤压术
66.2200x001 腹腔镜下双侧输卵管切断术
66.2201 腹腔镜双侧输卵管结扎和切断术
66.2900x001 腹腔镜下双侧输卵管电凝术
66.2900x003 宫腔镜下输卵管栓塞术
66.2901 腹腔镜输卵管绝育术
66.2902 腹腔镜输卵管激光绝育术
66.2903 腹腔镜双侧输卵管结扎术
66.3100 双侧输卵管其他结扎术和挤压术
66.3200x001 双侧输卵管切断术
66.3200x002 波罗伊手术[POMEROY 手术]
66.3201 双侧输卵管抽芯包埋术
66.3900x001 输卵管绝育术
66.3900x004 双侧输卵管结扎术
66.3901 双侧输卵管粘堵术
66.3902 双侧输卵管套环绝育术
66.4x00 单侧输卵管全部切除术
66.4x01 经阴道单侧输卵管切除术
66.4x02 腹腔镜单侧输卵管切除术
66.5100 双侧输卵管切除术
66.5102 腹腔镜双侧输卵管切除术
66.5200 残留输卵管切除术
66.5201 腹腔镜残留输卵管切除术
66.6100x002 腹腔镜下泡状附件电灼术
66.6100x003 腹腔镜下泡状附件切除术
66.6100x006 腹腔镜下输卵管伞端电凝术
66.6100x007 腹腔镜下输卵管系膜病损切除术
