手术操作包括如下：
01.1200 开放性脑膜活组织检查
01.1300x001 经皮脑活检
01.1300x002 立体定向脑活检
01.1301 神经导航下颅内病变活组织检查
01.1400 开放性大脑活组织检查
01.2400x005 开颅探查术
01.2400x009 颅内脓肿引流术
01.2400x013 硬脑膜外血肿清除术
01.2400x018 硬脑膜切开术
01.2405 硬膜外脓肿清除术
01.2407 颅骨钻孔探查术
01.2412 硬脑膜外切开引流术
01.2413 颅骨去骨瓣减压术
01.2414 颅骨钻孔减压术
01.2415 颅骨切开异物取出术
02.0101 线形颅骨切除术
02.0102 条带状颅骨切除术
02.0201 颅骨骨折减压术
02.0202 颅骨骨折清创术
02.0203 颅骨骨折复位术
02.0300x001 颅骨骨瓣修补术
02.0400x003 颅骨骨膜移植术
02.0500x004 颅骨硅橡胶板置入术
02.0500x005 颅骨有机玻璃板置入术
02.0502 颅骨钛板置入术
02.0600x003 颅骨修补术
02.0700 颅骨(金属)板去除
03.3201 硬脊膜活组织检查
03.3202 脊髓活组织检查术
03.4x00x002 脊髓病损栓塞术
03.4x00x004 硬脊膜切除术
06.0900x004 颈部探查术
06.2x00 单侧甲状腺叶切除术
06.2x01 腔镜下单侧甲状腺切除术
06.2x02 单侧甲状腺切除伴甲状腺峡部切除术
06.3900x003 单侧甲状腺部分切除术
06.3900x004 单侧甲状腺次全切除术
06.3900x012 双侧甲状腺部分切除术
06.3900x013 双侧甲状腺次全切除术
06.4x00 甲状腺全部切除术
06.4x02 腔镜下甲状腺全部切除术
06.5200 胸骨下甲状腺全部切除术
07.2102 腹腔镜肾上腺病损切除术
07.2902 腹腔镜肾上腺部分切除术
16.9200 眼眶病损切除术
21.3103 鼻内病损切除术
21.3104 内镜下鼻内病损切除术
21.3200x003 鼻前庭病损切除术
21.6901 鼻甲部分切除术
21.6903 内镜下鼻甲部分切除术
22.1100x002 鼻内窥镜下鼻窦活检
22.5300x004 鼻内窥镜下多个鼻窦开窗术
22.6201 内镜下上颌窦病损切除术
22.6303 内镜下筛窦病损切除术
25.0200 开放性舌活组织检查
25.1x01 舌病损切除术
25.1x02 舌病损破坏术
25.1x03 舌射频治疗术
25.1x04 支撑喉镜下舌根部病损切除术
25.1x05 支撑喉镜下舌病损激光烧灼术
25.2x00 舌部分切除术
25.2x01 半舌切除术
26.1100x003 腮腺活检
26.1200x001 直视下腮腺活检术
26.1200x002 直视下唾液腺活检术
26.2901 腮腺病损切除术
26.2903 舌下腺病损切除术
26.2904 颌下腺病损切除术
26.3100x008 腮腺深叶切除术
26.3100x009 腮腺浅叶切除术
26.3101 腮腺部分切除术
26.3104 颌下腺部分切除术
26.3201 腮腺切除术
26.3203 颌下腺切除术
27.3101 硬腭病损切除术
27.4902 颌下区病损切除术
27.9900x005 面部病损切除术
27.9901 颊部病损切除术
28.2x00x002 扁桃体切除术
28.2x00x003 支撑喉镜下扁桃体切除术
28.2x02 扁桃体激光切除术
28.2x04 内镜下扁桃体切除术
28.9200x002 扁桃体病损射频消融术
28.9201 扁桃体病损切除术
29.3900x019 咽旁间隙病损切除术
29.3901 咽部病损切除术
29.3905 支撑喉镜下咽部病损切除术
30.0900x016 支撑喉镜下声门病损切除术
30.0903 内镜下会厌病损切除术
31.5x04 内镜下气管病损切除术
32.2400x001 经皮肺病损射频消融术
32.2500x001 胸腔镜下肺病损射频消融术
33.2000 胸腔镜肺活组织检查
33.2000x002 纵隔镜下肺组织活检术
33.2402 超声内镜下支气管穿刺活组织检查术
33.2500x002 胸腔镜下支气管活检术
33.2500x003 直视下支气管活检术
33.2700x001 支气管镜下肺活检
33.2800x001 开胸肺活检术
34.2000 胸腔镜胸膜活组织检查
34.2100x001 胸腔镜检查
34.2400x001 胸膜活检
34.2501 内镜下纵隔活组织检查
34.2502 胸腔镜下纵隔活组织检查
34.2600 开放性纵隔活组织检查
34.2700x001 膈肌活检术
37.2401 胸腔镜下心包活组织检查
37.2500x001 经皮心肌活检
37.9100 开胸心脏按摩
39.9800x001 伤口止血术
39.9801 手术后伤口止血术
40.1100x003 腹腔镜下淋巴结活检术
40.1100x004 纵隔镜下淋巴结活检术
40.1100x005 经支气管超声内镜纵隔淋巴结穿刺活检术
40.1100x006 超声内镜下腹腔淋巴结细针穿刺活检(FNA)
40.2100 深部颈淋巴结切除术
40.2300 腋淋巴结切除术
40.2400 腹股沟淋巴结切除术
40.2900x002 单纯淋巴结切除术
40.2900x008 颌下淋巴结切除术
40.2900x021 颈淋巴结切除术
40.2901 锁骨上淋巴结切除术
40.2902 肺门淋巴结切除术
40.2906 腹腔淋巴结切除术
40.2908 肠系膜淋巴结切除术
40.3x00x002 淋巴结区域性切除术
40.4000 根治性颈淋巴结清扫
40.5903 锁骨上淋巴结清扫术
41.3300 开放性脾活组织检查
41.4200x003 经皮脾病损射频消融术
41.9100x001 供者骨髓采集术
41.9200 骨髓注入
42.1100 颈部食管造口术
42.1200 食管憩室外置术
42.1901 胸部食管造口术
42.2100 经手术切开的食管镜检查
42.2200 经人工造口的食管镜检查
42.2500 开放性食管活组织检查
42.3200x003 食管病损氩气刀治疗术
42.3201 食管病损切除术
42.3300x006 胃镜下食管病损电灼术
42.3301 内镜食管病损切除术
42.3303 内镜黏膜下隧道食管病损切除术
42.3305 内镜食管黏膜下剥离术
42.3306 内镜食管黏膜切除术
42.3309 内镜食管静脉曲张组织胶注射术
43.0x00x003 胃切开探查术
43.0x02 胃切开异物取出术
43.1100x001 内镜下经皮胃造瘘术
43.1900x003 永久性胃造口术
43.1900x005 暂时性胃造口术
43.4100x011 胃镜下贲门病损切除术
43.4100x013 胃镜下胃病损电切术
43.4100x014 胃镜下胃病损切除术
43.4100x015 胃镜下贲门病损电切术
43.4100x016 胃镜下胃病损硬化术
